drop,cond_median,cond_median_db,erank_median,capacity_10db,N,erank_ratio_pct
0,5.614554,14.986306,1.849163,8.036146,3,61.63876666666667
1,47.359507,33.508143,1.170168,5.904545,3,39.0056
2,6.679171,16.494451,1.669664,7.794513,3,55.65546666666666
3,2.723774,8.70342,2.267442,9.257696,3,75.5814
4,10.430168,20.365826,1.423794,6.923503,3,47.4598
5,3.207719,10.123926,2.193106,8.935914,3,73.10353333333333
6,8.50234,18.590769,1.868969,7.899759,3,62.298966666666665
7,10.178578,20.153742,1.943281,8.025299,3,64.77603333333334
8,4.099768,12.255185,2.062271,8.660684,3,68.74236666666667
9,5.976525,15.528974,2.049612,8.417321,3,68.3204
10,8.336039,18.419194,1.843007,7.786162,3,61.43356666666667
11,2.773531,8.860659,2.377759,9.30083,3,79.25863333333334
12,3.910407,11.84444,2.066256,8.67734,3,68.8752
13,18.480723,25.334379,1.151376,5.861637,3,38.3792
14,10.211499,20.18179,1.764466,7.788671,3,58.815533333333335
15,3.929194,11.88607,2.093591,8.57435,3,69.78636666666667
16,4.634246,13.319582,1.983869,8.464852,3,66.12896666666667
17,19.907837,25.980482,1.694824,7.581847,3,56.49413333333334
18,9.735358,19.767039,1.987682,8.08032,3,66.25606666666667
19,10.546754,20.462377,1.440816,6.948955,3,48.0272
0,16.705011,24.456935,2.639223,12.877628,5,52.78446
1,53.031558,34.490688,1.554712,9.402682,5,31.09424
2,30.403171,29.658378,1.957915,10.56795,5,39.158300000000004
3,14.220766,23.05846,3.113829,13.510842,5,62.27658
4,17.460318,24.841043,2.850481,12.908906,5,57.00961999999999
5,23.606284,27.460553,1.738099,10.138351,5,34.76198
6,13.245332,22.441257,3.188311,13.789251,5,63.766220000000004
7,5.639657,15.025054,3.408017,14.514124,5,68.16033999999999
8,39.512727,31.93474,2.011245,10.988956,5,40.224900000000005
9,11.687142,21.354166,2.999209,13.385111,5,59.984179999999995
10,21.657047,26.711985,2.826695,12.895609,5,56.5339
11,15.725244,23.931948,2.708704,12.636609,5,54.174080000000004
12,22.337769,26.980796,1.829691,10.638084,5,36.59382
13,9.476096,19.532589,2.515734,12.702362,5,50.31468
14,22.786496,27.153551,2.516489,12.420956,5,50.32978
15,12.822067,22.159161,3.462028,14.279155,5,69.24056
16,15.135275,23.599806,3.274889,13.878848,5,65.49777999999999
17,15.87788,24.01585,3.026223,13.264977,5,60.524460000000005
18,28.408083,29.068839,2.661111,12.209444,5,53.22222
19,24.694127,27.851874,2.971865,12.738143,5,59.43730000000001
0,102.504814,40.214885,2.102429,15.305732,9,23.360322222222223
1,58.677116,35.369375,3.854705,20.440963,9,42.83005555555556
2,31.07987,29.849584,4.779534,22.417293,9,53.10593333333333
3,49.321808,33.86078,4.052973,21.54384,9,45.03303333333333
4,88.962949,38.984183,3.075012,19.201188,9,34.1668
5,29.636329,29.436488,5.17083,23.610169,9,57.453666666666656
6,27.835605,28.892013,4.911908,22.93854,9,54.57675555555556
7,42.007108,32.466456,4.161029,21.178098,9,46.23365555555556
8,29.570931,29.4173,4.671378,22.63478,9,51.9042
9,32.630327,30.272429,4.595243,22.546315,9,51.058255555555554
10,67.981466,36.647811,4.073347,20.519151,9,45.25941111111111
11,191.115936,45.625938,1.357218,10.986784,9,15.0802
12,54.459033,34.721399,4.316185,21.587283,9,47.957611111111106
13,59.080725,35.428916,3.381483,19.328334,9,37.57203333333333
14,53.542369,34.573952,3.804882,20.115246,9,42.276466666666664
15,35.375819,30.97413,4.490692,22.742015,9,49.89657777777778
16,66.634376,36.473967,4.072262,21.04183,9,45.24735555555556
17,72.219433,37.173081,2.833265,18.602197,9,31.480722222222223
18,75.824872,37.596234,3.591539,19.937936,9,39.905988888888885
19,36.703127,31.294061,4.442494,22.076935,9,49.361044444444445
