N,rx_lens_angle_deg,capacity_median,capacity_p05,capacity_p95,snr_median_db
3,45,5.380282,2.90751,7.297654,16.590826
3,0,6.433945,2.984139,7.66592,19.562149
3,-45,5.78405,3.716327,8.50391,17.895313
5,60,5.702155,3.561451,8.138091,17.481945
5,30,6.310228,4.333645,8.212238,19.090183
5,0,6.957178,5.174754,8.857847,21.058067
5,-30,7.278836,5.451078,9.517728,21.945515
5,-60,5.934236,3.707421,8.425823,18.088249
9,60,6.697347,4.890896,9.537766,20.413094
9,45,7.487707,5.154093,9.749459,22.607607
9,30,7.29454,4.663241,9.335979,22.06826
9,15,8.020621,5.182103,10.348151,24.180822
9,0,7.683814,6.783537,11.628092,23.220303
9,-15,8.283607,6.217029,9.714041,24.991531
9,-30,8.317599,6.890205,9.607496,25.081303
9,-45,8.127462,6.238897,9.356546,24.498154
9,-60,7.433225,4.926395,8.971201,22.528591
