order_n,order_label,waypoint,distance_along_m,time_s,cond_median,cond_median_db,erank_median,capacity_10db
3,3×3,0,0.0,0.0,20.335369,26.165041,1.146537,5.817079
3,3×3,1,0.95,0.95,18.135687,25.17068,1.154247,5.85107
3,3×3,2,1.9,1.9,18.952791,25.553464,1.138245,5.791528
3,3×3,3,2.85,2.85,23.825179,27.540723,1.09936,5.572157
3,3×3,4,3.8,3.8,19.882252,25.969312,1.166768,5.940128
3,3×3,5,4.75,4.75,15.030643,23.539551,1.196927,6.081574
3,3×3,6,5.7,5.7,8.446295,18.533325,1.52728,7.334543
3,3×3,7,6.65,6.65,9.080106,19.161818,1.521463,7.243171
3,3×3,8,7.6,7.6,21.023863,26.45425,1.14024,5.808178
3,3×3,9,8.55,8.55,32.468203,30.229165,1.058693,5.311655
3,3×3,10,9.5,9.5,568.274407,55.091162,1.035208,5.185287
3,3×3,11,10.45,10.45,32.4076,30.212937,1.060337,5.316782
3,3×3,12,11.4,11.4,20.365191,26.17777,1.146577,5.843452
3,3×3,13,12.35,12.35,8.728551,18.818843,1.525425,7.282221
3,3×3,14,13.3,13.3,8.663056,18.753422,1.499884,7.266891
3,3×3,15,14.25,14.25,15.594814,23.859604,1.180309,6.007263
3,3×3,16,15.2,15.2,21.151975,26.507019,1.162483,5.915629
3,3×3,17,16.15,16.15,23.304601,27.348833,1.10221,5.590472
3,3×3,18,17.1,17.1,18.68809,25.431299,1.145333,5.834079
3,3×3,19,18.05,18.05,17.362645,24.792318,1.166846,5.913342
3,3×3,20,19.0,19.0,18.901272,25.529821,1.159663,5.888336
