order_n,order_label,waypoint,distance_along_m,time_s,median_pair_correlation,median_pair_decorrelation,minimum_pair_decorrelation,maximum_pair_decorrelation
5,5×5,0,0.0,0.0,0.398634,0.601366,0.440988,0.773986
5,5×5,1,0.95,0.95,0.42088,0.57912,0.314302,0.756554
5,5×5,2,1.9,1.9,0.367372,0.632628,0.366695,0.798046
5,5×5,3,2.85,2.85,0.403704,0.596296,0.325435,0.831661
5,5×5,4,3.8,3.8,0.339028,0.660972,0.421429,0.826234
5,5×5,5,4.75,4.75,0.562688,0.437312,0.130881,0.672034
5,5×5,6,5.7,5.7,0.575682,0.424318,0.151834,0.74965
5,5×5,7,6.65,6.65,0.612693,0.387307,0.159973,0.618414
5,5×5,8,7.6,7.6,0.617073,0.382927,0.033163,0.599128
5,5×5,9,8.55,8.55,0.52958,0.47042,0.035727,0.764909
5,5×5,10,9.5,9.5,0.643859,0.356141,0.127051,0.502677
5,5×5,11,10.45,10.45,0.528515,0.471485,0.035086,0.737262
5,5×5,12,11.4,11.4,0.622129,0.377871,0.034384,0.593205
5,5×5,13,12.35,12.35,0.617639,0.382361,0.163305,0.617843
5,5×5,14,13.3,13.3,0.560908,0.439092,0.155616,0.779978
5,5×5,15,14.25,14.25,0.528796,0.471204,0.149545,0.756878
5,5×5,16,15.2,15.2,0.343675,0.656325,0.43132,0.847139
5,5×5,17,16.15,16.15,0.419757,0.580243,0.326527,0.819014
5,5×5,18,17.1,17.1,0.359402,0.640598,0.344706,0.817442
5,5×5,19,18.05,18.05,0.404769,0.595231,0.32675,0.806624
5,5×5,20,19.0,19.0,0.412845,0.587155,0.402198,0.765386
