order_n,order_label,waypoint,distance_along_m,time_s,mean_spatial_correlation,mean_spatial_decorrelation,min_pair_decorrelation,max_pair_decorrelation
5,5×5,0,0.0,0.0,0.358913,0.641087,0.448185,0.870096
5,5×5,1,0.95,0.95,0.391098,0.608902,0.309008,0.812479
5,5×5,2,1.9,1.9,0.348823,0.651177,0.367116,0.840461
5,5×5,3,2.85,2.85,0.401873,0.598127,0.326165,0.833696
5,5×5,4,3.8,3.8,0.338889,0.661111,0.420036,0.82119
5,5×5,5,4.75,4.75,0.562396,0.437604,0.131133,0.672245
5,5×5,6,5.7,5.7,0.575741,0.424259,0.153415,0.750754
5,5×5,7,6.65,6.65,0.612298,0.387702,0.159979,0.618996
5,5×5,8,7.6,7.6,0.616731,0.383269,0.033122,0.599129
5,5×5,9,8.55,8.55,0.528799,0.471201,0.035708,0.768947
5,5×5,10,9.5,9.5,0.611361,0.388639,0.126727,0.550012
5,5×5,11,10.45,10.45,0.527626,0.472374,0.034868,0.748456
5,5×5,12,11.4,11.4,0.622049,0.377951,0.034419,0.591688
5,5×5,13,12.35,12.35,0.617584,0.382416,0.163803,0.619753
5,5×5,14,13.3,13.3,0.560651,0.439349,0.15556,0.780307
5,5×5,15,14.25,14.25,0.529589,0.470411,0.149293,0.75271
5,5×5,16,15.2,15.2,0.343379,0.656621,0.429891,0.848622
5,5×5,17,16.15,16.15,0.417195,0.582805,0.328759,0.826729
5,5×5,18,17.1,17.1,0.348252,0.651748,0.346227,0.827256
5,5×5,19,18.05,18.05,0.374178,0.625822,0.327699,0.908722
5,5×5,20,19.0,19.0,0.36117,0.63883,0.410924,0.886176
