order_n,order_label,waypoint,distance_along_m,time_s,mean_raw_cross_correlation,mean_raw_difference_power,min_raw_difference_power,max_raw_difference_power
5,5×5,0,0.0,0.0,1.853126e-09,2.247838e-08,1.201873e-09,5.165299e-08
5,5×5,1,0.95,0.95,2.068088e-09,1.552624e-08,1.470543e-09,3.92997e-08
5,5×5,2,1.9,1.9,2.305711e-09,1.508844e-08,1.936952e-09,2.732566e-08
5,5×5,3,2.85,2.85,2.646067e-09,2.117156e-08,1.659741e-09,6.93649e-08
5,5×5,4,3.8,3.8,2.900359e-09,3.248325e-08,1.819143e-09,8.107004e-08
5,5×5,5,4.75,4.75,5.239969e-09,5.037604e-08,2.910276e-09,1.453465e-07
5,5×5,6,5.7,5.7,7.233939e-09,6.996448e-08,3.807376e-09,1.778478e-07
5,5×5,7,6.65,6.65,8.524224e-09,5.913e-08,2.753872e-09,2.051544e-07
5,5×5,8,7.6,7.6,9.31088e-09,5.16126e-08,2.117176e-09,1.364719e-07
5,5×5,9,8.55,8.55,1.041749e-08,7.818473e-08,4.086908e-09,1.999463e-07
5,5×5,10,9.5,9.5,7.162588e-09,9.208543e-08,3.2497e-09,2.442216e-07
5,5×5,11,10.45,10.45,1.040798e-08,7.012355e-08,4.100219e-09,1.704594e-07
5,5×5,12,11.4,11.4,9.20346e-09,4.091828e-08,2.06759e-09,7.835713e-08
5,5×5,13,12.35,12.35,8.435612e-09,4.076168e-08,2.692758e-09,1.02902e-07
5,5×5,14,13.3,13.3,6.926265e-09,6.855438e-08,3.657497e-09,1.772902e-07
5,5×5,15,14.25,14.25,5.042787e-09,5.316804e-08,4.065017e-09,1.447779e-07
5,5×5,16,15.2,15.2,2.951794e-09,3.078996e-08,1.787132e-09,8.062586e-08
5,5×5,17,16.15,16.15,2.727816e-09,2.046628e-08,1.660458e-09,6.857569e-08
5,5×5,18,17.1,17.1,2.28893e-09,1.467032e-08,1.781906e-09,2.692606e-08
5,5×5,19,18.05,18.05,2.004241e-09,1.559125e-08,1.589275e-09,3.864926e-08
5,5×5,20,19.0,19.0,1.78409e-09,1.987029e-08,1.268992e-09,4.900756e-08
