order_n,order_label,rx_config_index,rx_config_name,rx_lens_angle_deg,capacity_median,capacity_min,channel_magnitude_median_db,snr_median_db,outage_probability
3,3×3,0,Simul_+45deg,45,3.612021,2.258436,-86.491104,10.956356,0.0
3,3×3,1,Simul_+0deg,0,3.53673,1.958338,-86.854622,10.702959,0.0
3,3×3,2,Simul_-45deg,-45,3.552169,2.292136,-86.745621,10.906945,0.0
5,5×5,0,Simul_+60deg,60,3.757487,2.984866,-88.753929,11.174016,0.0
5,5×5,1,Simul_+30deg,30,4.428047,1.911621,-85.731232,13.28969,0.0
5,5×5,2,Simul_+0deg,0,4.24017,2.633887,-86.938469,12.756886,0.0
5,5×5,3,Simul_-30deg,-30,4.437798,1.894974,-85.730675,13.32575,0.0
5,5×5,4,Simul_-60deg,-60,3.777191,3.014205,-88.750809,11.239927,0.0
9,9×9,0,Simul_+60deg,60,4.762234,3.856338,-88.222351,14.260545,0.0
9,9×9,1,Simul_+45deg,45,5.206644,3.669613,-86.548111,15.783835,0.0
9,9×9,2,Simul_+30deg,30,5.179326,2.555081,-86.14444,15.570322,0.0
9,9×9,3,Simul_+15deg,15,5.711494,2.0392,-85.110397,17.439201,0.0
9,9×9,4,Simul_+0deg,0,4.964177,3.578584,-87.408806,14.959954,0.0
9,9×9,5,Simul_-15deg,-15,5.685271,2.027839,-85.332664,17.390329,0.0
9,9×9,6,Simul_-30deg,-30,5.193699,2.526245,-86.133331,15.613548,0.0
9,9×9,7,Simul_-45deg,-45,5.189403,3.676514,-86.646873,15.776613,0.0
9,9×9,8,Simul_-60deg,-60,4.785147,3.892985,-88.193283,14.332309,0.0
