order_n,order_label,waypoint,distance_along_m,time_s,median_pair_correlation,median_pair_decorrelation,minimum_pair_decorrelation,maximum_pair_decorrelation
3,3×3,0,0.0,0.0,0.510072,0.489928,0.357041,0.715594
3,3×3,1,0.95,0.95,0.424618,0.575382,0.460272,0.690738
3,3×3,2,1.9,1.9,0.260363,0.739637,0.446489,0.895156
3,3×3,3,2.85,2.85,0.369052,0.630948,0.531292,0.68743
3,3×3,4,3.8,3.8,0.410554,0.589446,0.472798,0.778593
3,3×3,5,4.75,4.75,0.427022,0.572978,0.489759,0.719622
3,3×3,6,5.7,5.7,0.272237,0.727763,0.643426,0.877494
3,3×3,7,6.65,6.65,0.595015,0.404985,0.335599,0.455072
3,3×3,8,7.6,7.6,0.577731,0.422269,0.170907,0.570659
3,3×3,9,8.55,8.55,0.705487,0.294513,0.226848,0.413893
3,3×3,10,9.5,9.5,0.731039,0.268961,0.259826,0.274972
3,3×3,11,10.45,10.45,0.692652,0.307348,0.240459,0.428374
3,3×3,12,11.4,11.4,0.572416,0.427584,0.161296,0.578526
3,3×3,13,12.35,12.35,0.553894,0.446106,0.389821,0.48001
3,3×3,14,13.3,13.3,0.243799,0.756201,0.644074,0.906074
3,3×3,15,14.25,14.25,0.36806,0.63194,0.530739,0.786967
3,3×3,16,15.2,15.2,0.376647,0.623353,0.485463,0.834553
3,3×3,17,16.15,16.15,0.382085,0.617915,0.536973,0.730011
3,3×3,18,17.1,17.1,0.228026,0.771974,0.47198,0.951088
3,3×3,19,18.05,18.05,0.356413,0.643587,0.480652,0.762837
3,3×3,20,19.0,19.0,0.574378,0.425622,0.315958,0.553746
5,5×5,0,0.0,0.0,0.398634,0.601366,0.440988,0.773986
5,5×5,1,0.95,0.95,0.42088,0.57912,0.314302,0.756554
5,5×5,2,1.9,1.9,0.367372,0.632628,0.366695,0.798046
5,5×5,3,2.85,2.85,0.403704,0.596296,0.325435,0.831661
5,5×5,4,3.8,3.8,0.339028,0.660972,0.421429,0.826234
5,5×5,5,4.75,4.75,0.562688,0.437312,0.130881,0.672034
5,5×5,6,5.7,5.7,0.575682,0.424318,0.151834,0.74965
5,5×5,7,6.65,6.65,0.612693,0.387307,0.159973,0.618414
5,5×5,8,7.6,7.6,0.617073,0.382927,0.033163,0.599128
5,5×5,9,8.55,8.55,0.52958,0.47042,0.035727,0.764909
5,5×5,10,9.5,9.5,0.643859,0.356141,0.127051,0.502677
5,5×5,11,10.45,10.45,0.528515,0.471485,0.035086,0.737262
5,5×5,12,11.4,11.4,0.622129,0.377871,0.034384,0.593205
5,5×5,13,12.35,12.35,0.617639,0.382361,0.163305,0.617843
5,5×5,14,13.3,13.3,0.560908,0.439092,0.155616,0.779978
5,5×5,15,14.25,14.25,0.528796,0.471204,0.149545,0.756878
5,5×5,16,15.2,15.2,0.343675,0.656325,0.43132,0.847139
5,5×5,17,16.15,16.15,0.419757,0.580243,0.326527,0.819014
5,5×5,18,17.1,17.1,0.359402,0.640598,0.344706,0.817442
5,5×5,19,18.05,18.05,0.404769,0.595231,0.32675,0.806624
5,5×5,20,19.0,19.0,0.412845,0.587155,0.402198,0.765386
9,9×9,0,0.0,0.0,0.471569,0.528431,0.04985,0.834867
9,9×9,1,0.95,0.95,0.429237,0.570763,0.175183,0.922313
9,9×9,2,1.9,1.9,0.399699,0.600301,0.223064,0.895148
9,9×9,3,2.85,2.85,0.430066,0.569934,0.089718,0.854157
9,9×9,4,3.8,3.8,0.382244,0.617756,0.021487,0.907565
9,9×9,5,4.75,4.75,0.575653,0.424347,0.008466,0.719623
9,9×9,6,5.7,5.7,0.590238,0.409762,0.02889,0.885974
9,9×9,7,6.65,6.65,0.592067,0.407933,0.008125,0.883632
9,9×9,8,7.6,7.6,0.630405,0.369595,0.012766,0.854709
9,9×9,9,8.55,8.55,0.62688,0.37312,0.002236,0.932005
9,9×9,10,9.5,9.5,0.665394,0.334606,0.001875,0.739628
9,9×9,11,10.45,10.45,0.618944,0.381056,0.002136,0.98062
9,9×9,12,11.4,11.4,0.632255,0.367745,0.013976,0.818536
9,9×9,13,12.35,12.35,0.582397,0.417603,0.007932,0.871994
9,9×9,14,13.3,13.3,0.575578,0.424422,0.028383,0.907812
9,9×9,15,14.25,14.25,0.539462,0.460538,0.009021,0.802354
9,9×9,16,15.2,15.2,0.377229,0.622771,0.019988,0.929934
9,9×9,17,16.15,16.15,0.435994,0.564006,0.086299,0.851043
9,9×9,18,17.1,17.1,0.39341,0.60659,0.213,0.951108
9,9×9,19,18.05,18.05,0.423624,0.576376,0.17867,0.900196
9,9×9,20,19.0,19.0,0.472321,0.527679,0.052071,0.797354
