order_n,order_label,waypoint,distance_along_m,time_s,mean_spatial_correlation,mean_spatial_decorrelation,min_pair_decorrelation,max_pair_decorrelation
3,3×3,0,0.0,0.0,0.493677,0.506323,0.36362,0.746847
3,3×3,1,0.95,0.95,0.39108,0.60892,0.453412,0.798924
3,3×3,2,1.9,1.9,0.24719,0.75281,0.443684,0.934274
3,3×3,3,2.85,2.85,0.366961,0.633039,0.532524,0.691963
3,3×3,4,3.8,3.8,0.409809,0.590191,0.474,0.779239
3,3×3,5,4.75,4.75,0.427091,0.572909,0.490524,0.719419
3,3×3,6,5.7,5.7,0.274627,0.725373,0.644804,0.876424
3,3×3,7,6.65,6.65,0.594947,0.405053,0.335557,0.455139
3,3×3,8,7.6,7.6,0.577514,0.422486,0.171211,0.570672
3,3×3,9,8.55,8.55,0.70545,0.29455,0.226076,0.414691
3,3×3,10,9.5,9.5,0.705439,0.294561,0.258742,0.353327
3,3×3,11,10.45,10.45,0.691198,0.308802,0.240904,0.431457
3,3×3,12,11.4,11.4,0.571273,0.428727,0.161292,0.579018
3,3×3,13,12.35,12.35,0.555782,0.444218,0.387232,0.478583
3,3×3,14,13.3,13.3,0.243362,0.756638,0.648053,0.906393
3,3×3,15,14.25,14.25,0.370389,0.629611,0.530767,0.780386
3,3×3,16,15.2,15.2,0.377364,0.622636,0.485595,0.832559
3,3×3,17,16.15,16.15,0.381386,0.618614,0.538219,0.731413
3,3×3,18,17.1,17.1,0.206885,0.793115,0.471811,0.962772
3,3×3,19,18.05,18.05,0.318494,0.681506,0.472873,0.877003
3,3×3,20,19.0,19.0,0.536699,0.463301,0.327238,0.6419
5,5×5,0,0.0,0.0,0.358913,0.641087,0.448185,0.870096
5,5×5,1,0.95,0.95,0.391098,0.608902,0.309008,0.812479
5,5×5,2,1.9,1.9,0.348823,0.651177,0.367116,0.840461
5,5×5,3,2.85,2.85,0.401873,0.598127,0.326165,0.833696
5,5×5,4,3.8,3.8,0.338889,0.661111,0.420036,0.82119
5,5×5,5,4.75,4.75,0.562396,0.437604,0.131133,0.672245
5,5×5,6,5.7,5.7,0.575741,0.424259,0.153415,0.750754
5,5×5,7,6.65,6.65,0.612298,0.387702,0.159979,0.618996
5,5×5,8,7.6,7.6,0.616731,0.383269,0.033122,0.599129
5,5×5,9,8.55,8.55,0.528799,0.471201,0.035708,0.768947
5,5×5,10,9.5,9.5,0.611361,0.388639,0.126727,0.550012
5,5×5,11,10.45,10.45,0.527626,0.472374,0.034868,0.748456
5,5×5,12,11.4,11.4,0.622049,0.377951,0.034419,0.591688
5,5×5,13,12.35,12.35,0.617584,0.382416,0.163803,0.619753
5,5×5,14,13.3,13.3,0.560651,0.439349,0.15556,0.780307
5,5×5,15,14.25,14.25,0.529589,0.470411,0.149293,0.75271
5,5×5,16,15.2,15.2,0.343379,0.656621,0.429891,0.848622
5,5×5,17,16.15,16.15,0.417195,0.582805,0.328759,0.826729
5,5×5,18,17.1,17.1,0.348252,0.651748,0.346227,0.827256
5,5×5,19,18.05,18.05,0.374178,0.625822,0.327699,0.908722
5,5×5,20,19.0,19.0,0.36117,0.63883,0.410924,0.886176
9,9×9,0,0.0,0.0,0.424965,0.575035,0.049734,0.963361
9,9×9,1,0.95,0.95,0.397118,0.602882,0.178691,0.971085
9,9×9,2,1.9,1.9,0.389921,0.610079,0.221427,0.934252
9,9×9,3,2.85,2.85,0.428007,0.571993,0.088998,0.857306
9,9×9,4,3.8,3.8,0.381873,0.618127,0.021457,0.908688
9,9×9,5,4.75,4.75,0.575021,0.424979,0.008441,0.719421
9,9×9,6,5.7,5.7,0.590829,0.409171,0.028842,0.888453
9,9×9,7,6.65,6.65,0.59193,0.40807,0.008165,0.88147
9,9×9,8,7.6,7.6,0.630061,0.369939,0.012762,0.856448
9,9×9,9,8.55,8.55,0.626568,0.373432,0.002242,0.932811
9,9×9,10,9.5,9.5,0.650294,0.349706,0.001934,0.741081
9,9×9,11,10.45,10.45,0.618584,0.381416,0.002124,0.981616
9,9×9,12,11.4,11.4,0.632144,0.367856,0.013993,0.818391
9,9×9,13,12.35,12.35,0.58272,0.41728,0.007956,0.86938
9,9×9,14,13.3,13.3,0.574812,0.425188,0.028435,0.906526
9,9×9,15,14.25,14.25,0.539345,0.460655,0.009008,0.803773
9,9×9,16,15.2,15.2,0.377197,0.622803,0.020134,0.928361
9,9×9,17,16.15,16.15,0.433987,0.566013,0.085948,0.859914
9,9×9,18,17.1,17.1,0.385858,0.614142,0.212657,0.962764
9,9×9,19,18.05,18.05,0.387945,0.612055,0.181382,0.931337
9,9×9,20,19.0,19.0,0.418495,0.581505,0.053451,0.897457
