order_n,order_label,waypoint,distance_along_m,time_s,mean_raw_cross_correlation,mean_raw_difference_power,min_raw_difference_power,max_raw_difference_power
3,3×3,0,0.0,0.0,2.211881e-09,2.055364e-08,2.114439e-09,3.515074e-08
3,3×3,1,0.95,0.95,2.056322e-09,2.764852e-08,2.236224e-09,4.467e-08
3,3×3,2,1.9,1.9,2.135613e-09,3.929397e-08,2.715358e-09,6.288013e-08
3,3×3,3,2.85,2.85,3.013036e-09,5.539124e-08,2.578996e-09,8.891411e-08
3,3×3,4,3.8,3.8,4.713146e-09,5.82777e-08,5.648336e-09,9.34365e-08
3,3×3,5,4.75,4.75,3.625924e-09,4.187975e-08,4.306898e-09,6.660717e-08
3,3×3,6,5.7,5.7,1.352197e-09,1.252204e-08,4.839966e-09,1.949725e-08
3,3×3,7,6.65,6.65,3.002115e-09,1.086863e-08,4.303541e-09,1.672918e-08
3,3×3,8,7.6,7.6,8.497525e-09,6.556518e-08,1.105829e-08,1.189061e-07
3,3×3,9,8.55,8.55,1.332868e-08,1.311271e-07,3.747175e-09,1.960017e-07
3,3×3,10,9.5,9.5,1.491493e-08,1.528767e-07,1.243053e-08,2.640081e-07
3,3×3,11,10.45,10.45,1.29997e-08,8.442579e-08,3.62868e-09,1.253989e-07
3,3×3,12,11.4,11.4,8.858924e-09,4.602141e-08,1.24087e-08,8.385729e-08
3,3×3,13,12.35,12.35,2.713537e-09,1.618108e-08,3.666934e-09,2.2483e-08
3,3×3,14,13.3,13.3,1.233752e-09,1.273917e-08,4.571892e-09,1.861482e-08
3,3×3,15,14.25,14.25,3.24203e-09,4.478048e-08,3.210041e-09,6.782605e-08
3,3×3,16,15.2,15.2,4.57297e-09,5.229226e-08,4.042794e-09,7.711412e-08
3,3×3,17,16.15,16.15,3.298316e-09,5.948761e-08,3.131671e-09,8.818575e-08
3,3×3,18,17.1,17.1,1.788837e-09,3.740439e-08,2.970999e-09,5.922865e-08
3,3×3,19,18.05,18.05,1.722441e-09,2.89267e-08,1.754585e-09,4.307913e-08
3,3×3,20,19.0,19.0,2.228818e-09,2.30417e-08,1.715831e-09,3.522898e-08
5,5×5,0,0.0,0.0,1.853126e-09,2.247838e-08,1.201873e-09,5.165299e-08
5,5×5,1,0.95,0.95,2.068088e-09,1.552624e-08,1.470543e-09,3.92997e-08
5,5×5,2,1.9,1.9,2.305711e-09,1.508844e-08,1.936952e-09,2.732566e-08
5,5×5,3,2.85,2.85,2.646067e-09,2.117156e-08,1.659741e-09,6.93649e-08
5,5×5,4,3.8,3.8,2.900359e-09,3.248325e-08,1.819143e-09,8.107004e-08
5,5×5,5,4.75,4.75,5.239969e-09,5.037604e-08,2.910276e-09,1.453465e-07
5,5×5,6,5.7,5.7,7.233939e-09,6.996448e-08,3.807376e-09,1.778478e-07
5,5×5,7,6.65,6.65,8.524224e-09,5.913e-08,2.753872e-09,2.051544e-07
5,5×5,8,7.6,7.6,9.31088e-09,5.16126e-08,2.117176e-09,1.364719e-07
5,5×5,9,8.55,8.55,1.041749e-08,7.818473e-08,4.086908e-09,1.999463e-07
5,5×5,10,9.5,9.5,7.162588e-09,9.208543e-08,3.2497e-09,2.442216e-07
5,5×5,11,10.45,10.45,1.040798e-08,7.012355e-08,4.100219e-09,1.704594e-07
5,5×5,12,11.4,11.4,9.20346e-09,4.091828e-08,2.06759e-09,7.835713e-08
5,5×5,13,12.35,12.35,8.435612e-09,4.076168e-08,2.692758e-09,1.02902e-07
5,5×5,14,13.3,13.3,6.926265e-09,6.855438e-08,3.657497e-09,1.772902e-07
5,5×5,15,14.25,14.25,5.042787e-09,5.316804e-08,4.065017e-09,1.447779e-07
5,5×5,16,15.2,15.2,2.951794e-09,3.078996e-08,1.787132e-09,8.062586e-08
5,5×5,17,16.15,16.15,2.727816e-09,2.046628e-08,1.660458e-09,6.857569e-08
5,5×5,18,17.1,17.1,2.28893e-09,1.467032e-08,1.781906e-09,2.692606e-08
5,5×5,19,18.05,18.05,2.004241e-09,1.559125e-08,1.589275e-09,3.864926e-08
5,5×5,20,19.0,19.0,1.78409e-09,1.987029e-08,1.268992e-09,4.900756e-08
9,9×9,0,0.0,0.0,2.635622e-09,2.154876e-08,2.857301e-10,1.309556e-07
9,9×9,1,0.95,0.95,2.704196e-09,1.908567e-08,4.689266e-10,9.641064e-08
9,9×9,2,1.9,1.9,3.242986e-09,2.345566e-08,5.280764e-10,1.016137e-07
9,9×9,3,2.85,2.85,3.93866e-09,3.154353e-08,8.248689e-10,2.018804e-07
9,9×9,4,3.8,3.8,5.068254e-09,4.081636e-08,1.788952e-09,2.386882e-07
9,9×9,5,4.75,4.75,7.733007e-09,4.272064e-08,1.28238e-09,1.453464e-07
9,9×9,6,5.7,5.7,1.000875e-08,4.996499e-08,1.681547e-09,1.778478e-07
9,9×9,7,6.65,6.65,1.088358e-08,6.523715e-08,2.69472e-09,2.095721e-07
9,9×9,8,7.6,7.6,1.367232e-08,8.166183e-08,2.117214e-09,5.271187e-07
9,9×9,9,8.55,8.55,1.642989e-08,8.976987e-08,3.109138e-09,6.051947e-07
9,9×9,10,9.5,9.5,1.546534e-08,8.673507e-08,3.250064e-09,5.105734e-07
9,9×9,11,10.45,10.45,1.63087e-08,7.029484e-08,3.409035e-09,2.488634e-07
9,9×9,12,11.4,11.4,1.37237e-08,6.477831e-08,2.068023e-09,2.428154e-07
9,9×9,13,12.35,12.35,1.0685e-08,5.804807e-08,2.681482e-09,1.727643e-07
9,9×9,14,13.3,13.3,9.968139e-09,4.926823e-08,1.742107e-09,1.772903e-07
9,9×9,15,14.25,14.25,7.660021e-09,4.487588e-08,1.419479e-09,1.44778e-07
9,9×9,16,15.2,15.2,5.05978e-09,3.969587e-08,1.787144e-09,2.441585e-07
9,9×9,17,16.15,16.15,3.93346e-09,3.118871e-08,8.355749e-10,1.973504e-07
9,9×9,18,17.1,17.1,3.154432e-09,2.216599e-08,5.717002e-10,9.510019e-08
