order_n,order_label,rx_config_index,name,rx_lens_angle_deg,combined_gain_db,mean_|rho|_offdiag,max_|rho|_offdiag,capacity_10dB_bits/s/Hz
3,3×3,1,Simul_+0deg,0,-72.977201,0.972858,0.999864,3.439221
3,3×3,2,Simul_-45deg,-45,-76.060374,0.766971,0.829936,3.330617
3,3×3,0,Simul_+45deg,45,-76.177716,0.806024,0.925461,3.296537
5,5×5,2,Simul_+0deg,0,-70.708602,0.85576,0.999864,3.452402
5,5×5,3,Simul_-30deg,-30,-71.947776,0.616963,0.976211,3.421207
5,5×5,1,Simul_+30deg,30,-72.023515,0.654238,0.978708,3.433293
5,5×5,4,Simul_-60deg,-60,-72.802534,0.766984,0.910831,3.395952
5,5×5,0,Simul_+60deg,60,-72.981454,0.773844,0.934458,3.421451
9,9×9,5,Simul_-15deg,-15,-68.031056,0.39066,0.9559,3.445236
9,9×9,3,Simul_+15deg,15,-68.066115,0.383226,0.942312,3.450547
9,9×9,4,Simul_+0deg,0,-69.938792,0.456078,0.999864,3.450224
9,9×9,6,Simul_-30deg,-30,-70.563431,0.403088,0.976211,3.419912
9,9×9,2,Simul_+30deg,30,-70.624861,0.427131,0.978708,3.425617
9,9×9,7,Simul_-45deg,-45,-71.632274,0.421676,0.921482,3.411245
9,9×9,1,Simul_+45deg,45,-71.800309,0.421073,0.92546,3.404008
9,9×9,8,Simul_-60deg,-60,-71.870379,0.42983,0.910831,3.417224
9,9×9,0,Simul_+60deg,60,-72.040084,0.41279,0.934458,3.432547
