order_n,order_label,waypoint,distance_along_m,time_s,cond_median,cond_median_db,erank_median,capacity_10db
3,3×3,0,0.0,0.0,20.335369,26.165041,1.146537,5.817079
3,3×3,1,0.95,0.95,18.135687,25.17068,1.154247,5.85107
3,3×3,2,1.9,1.9,18.952791,25.553464,1.138245,5.791528
3,3×3,3,2.85,2.85,23.825179,27.540723,1.09936,5.572157
3,3×3,4,3.8,3.8,19.882252,25.969312,1.166768,5.940128
3,3×3,5,4.75,4.75,15.030643,23.539551,1.196927,6.081574
3,3×3,6,5.7,5.7,8.446295,18.533325,1.52728,7.334543
3,3×3,7,6.65,6.65,9.080106,19.161818,1.521463,7.243171
3,3×3,8,7.6,7.6,21.023863,26.45425,1.14024,5.808178
3,3×3,9,8.55,8.55,32.468203,30.229165,1.058693,5.311655
3,3×3,10,9.5,9.5,568.274407,55.091162,1.035208,5.185287
3,3×3,11,10.45,10.45,32.4076,30.212937,1.060337,5.316782
3,3×3,12,11.4,11.4,20.365191,26.17777,1.146577,5.843452
3,3×3,13,12.35,12.35,8.728551,18.818843,1.525425,7.282221
3,3×3,14,13.3,13.3,8.663056,18.753422,1.499884,7.266891
3,3×3,15,14.25,14.25,15.594814,23.859604,1.180309,6.007263
3,3×3,16,15.2,15.2,21.151975,26.507019,1.162483,5.915629
3,3×3,17,16.15,16.15,23.304601,27.348833,1.10221,5.590472
3,3×3,18,17.1,17.1,18.68809,25.431299,1.145333,5.834079
3,3×3,19,18.05,18.05,17.362645,24.792318,1.166846,5.913342
3,3×3,20,19.0,19.0,18.901272,25.529821,1.159663,5.888336
5,5×5,0,0.0,0.0,44.99948,33.06415,1.643853,9.496372
5,5×5,1,0.95,0.95,34.579461,30.776364,1.700632,9.62211
5,5×5,2,1.9,1.9,28.896044,29.216768,2.079605,10.715015
5,5×5,3,2.85,2.85,34.2291,30.68791,1.939674,10.361332
5,5×5,4,3.8,3.8,47.366474,33.509421,1.488288,9.125793
5,5×5,5,4.75,4.75,58.690949,35.371423,1.311803,8.16072
5,5×5,6,5.7,5.7,63.651381,36.076157,1.284277,8.073022
5,5×5,7,6.65,6.65,57.56757,35.203558,1.326874,8.226066
5,5×5,8,7.6,7.6,51.546317,34.243953,1.263794,7.965577
5,5×5,9,8.55,8.55,64.188775,36.149182,1.128729,6.873686
5,5×5,10,9.5,9.5,1267.125119,62.05639,1.061107,6.251208
5,5×5,11,10.45,10.45,63.149759,36.007434,1.128715,6.875035
5,5×5,12,11.4,11.4,50.609882,34.084707,1.269026,7.99782
5,5×5,13,12.35,12.35,55.186668,34.836683,1.331975,8.254274
5,5×5,14,13.3,13.3,64.776068,36.228292,1.284326,8.086331
5,5×5,15,14.25,14.25,56.813652,35.089054,1.307228,8.143751
5,5×5,16,15.2,15.2,52.670612,34.431367,1.490764,9.12614
5,5×5,17,16.15,16.15,34.653886,30.795039,1.936311,10.349906
5,5×5,18,17.1,17.1,29.631776,29.435154,2.074456,10.707589
5,5×5,19,18.05,18.05,34.80398,30.832578,1.717122,9.645698
5,5×5,20,19.0,19.0,43.082786,32.686076,1.619036,9.473026
9,9×9,0,0.0,0.0,118.019112,41.439047,2.441985,15.931644
9,9×9,1,0.95,0.95,107.039097,40.590849,2.566092,16.230419
9,9×9,2,1.9,1.9,105.149051,40.436107,2.692874,16.707976
9,9×9,3,2.85,2.85,96.017438,39.647002,2.440832,16.000037
9,9×9,4,3.8,3.8,137.553621,42.769441,2.321756,15.712304
9,9×9,5,4.75,4.75,138.957545,42.857643,2.039373,14.562188
9,9×9,6,5.7,5.7,157.790935,43.961641,1.87797,13.887362
9,9×9,7,6.65,6.65,157.709907,43.95718,1.519827,12.13788
9,9×9,8,7.6,7.6,210.414972,46.461533,1.296732,10.375291
9,9×9,9,8.55,8.55,254.2812,48.106285,1.173888,9.115297
9,9×9,10,9.5,9.5,3930.978102,71.890012,1.085215,7.842278
9,9×9,11,10.45,10.45,253.124127,48.066671,1.175418,9.130582
9,9×9,12,11.4,11.4,202.36186,46.122573,1.301817,10.41033
9,9×9,13,12.35,12.35,147.982078,43.404182,1.5242,12.178149
9,9×9,14,13.3,13.3,161.879806,44.183854,1.886928,13.926761
9,9×9,15,14.25,14.25,139.387316,42.884465,2.042505,14.547708
9,9×9,16,15.2,15.2,146.420427,43.312033,2.311354,15.645061
9,9×9,17,16.15,16.15,97.103089,39.744661,2.468778,16.090636
9,9×9,18,17.1,17.1,106.557349,40.551668,2.697685,16.743893
9,9×9,19,18.05,18.05,107.347343,40.615826,2.604148,16.336612
9,9×9,20,19.0,19.0,134.951811,42.603574,2.447989,15.976239
