scenario,order_n,cell_index,cell_type,execution_count,section,included,output_count,source_first_line
order_3x3,3,0,markdown,,,True,0,# Setup 20m x 20m — Lens Antenna 3-TX x 1-RX + Linear TX-User Trajectory
order_3x3,3,1,code,1.0,,True,1,import os
order_3x3,3,2,markdown,,1.0,True,0,"## 1. Antenna pattern loader (farfield HFSS, rotation baked-in)"
order_3x3,3,3,code,2.0,1.0,True,0,class HFSSPattern(AntennaPattern):
order_3x3,3,4,markdown,,2.0,True,0,"## 2. Orientation utilities (world-frame Euler angle, Sionna convention)"
order_3x3,3,5,code,3.0,2.0,True,0,def R_of(o):
order_3x3,3,6,markdown,,3.0,True,0,"## 3. Room scene (20m x 20m x 3m), reused from `Setup_20mx20m_9x9.ipynb`"
order_3x3,3,7,code,4.0,3.0,True,0,"def generate_room_xml(room_x=20, room_y=20, room_z=3, xml_path=""room_20x20.xml""):"
order_3x3,3,8,markdown,,4.0,True,0,## 4. RX lens farfield — angle mapping & mirroring the positive side
order_3x3,3,9,code,5.0,4.0,True,0,"LENS_DIR = Path(""farfieldAntennaData"")"
order_3x3,3,10,markdown,,5.0,True,0,## 5. ⚠️ CONFIGURATION — EDIT HERE
order_3x3,3,11,code,6.0,5.0,True,1,FREQ_GHZ = 38
order_3x3,3,12,markdown,,5.0,True,0,### 5b. Full layout preview (3 TX x 3 RX) — top view & 3D perspective
order_3x3,3,13,code,7.0,5.0,True,2,"def plot_full_layout(tx_positions, sim_configs, room_x, room_y, room_z, figsize=(14, 6)):"
order_3x3,3,14,markdown,,5.0,True,0,### 5c. RX cluster — zoomed view
order_3x3,3,15,code,8.0,5.0,True,2,"def plot_rx_zoom(sim_configs, pad_ratio=0.3, figsize=(14, 6)):"
order_3x3,3,16,markdown,,6.0,True,0,"## 6. Scene builder — 3 TX (same pattern, simultaneous radiation) + 1 RX (lens differs per simulation)"
order_3x3,3,17,code,9.0,6.0,True,0,"def build_scene(tx_positions, tx_orientation_deg, tx_pattern_name,"
order_3x3,3,18,markdown,,7.0,True,0,"## 7. Beamform validation utilities (position, orientation, peak beam direction in world frame)"
order_3x3,3,19,code,10.0,7.0,True,0,def _p3(v):
order_3x3,3,20,markdown,,7.0,True,0,"### 7b. Antenna pattern profile (radiation pattern, `compute_gain`/`show`)"
order_3x3,3,21,code,11.0,7.0,True,0,"def get_builtin_pattern(name, polarization=""V"", polarization_model=""tr38901_2""):"
order_3x3,3,22,markdown,,7.0,True,0,### 7c. TX Antenna Profile — review before the main loop
order_3x3,3,23,code,12.0,7.0,True,4,"print(""="" * 60)"
order_3x3,3,24,markdown,,7.0,True,0,### 7d. RX Antenna Profile — review all scenarios before the main loop
order_3x3,3,25,code,13.0,7.0,True,7,"print(""="" * 60)"
order_3x3,3,26,markdown,,8.0,True,0,"## 8. Main loop — 3 simulations (3 RX scenarios, each with 3 simultaneous TX)"
order_3x3,3,27,code,14.0,8.0,True,0,"def plot_received_power(cfg, Hf, freqs):"
order_3x3,3,28,code,15.0,8.0,True,25,"generate_room_xml(ROOM_X, ROOM_Y, ROOM_Z, ROOM_XML)"
order_3x3,3,29,markdown,,9.0,True,0,## 9. Per-RX-scenario evaluation
order_3x3,3,30,code,16.0,9.0,True,1,def tx_branch_correlation(Hf_i):
order_3x3,3,31,code,17.0,9.0,True,1,"fig, ax = plt.subplots(1, 2, figsize=(12, 4.5))"
order_3x3,3,32,code,18.0,9.0,True,1,"fig, axes = plt.subplots(1, n_rx_cfg, figsize=(4 * n_rx_cfg, 4))"
order_3x3,3,33,code,19.0,9.0,True,1,"print(""="" * 60)"
order_3x3,3,34,markdown,,10.0,True,0,## 10. Combine the channels into a 3x3 MIMO matrix (from 3 simulations of 3x1)
order_3x3,3,35,code,20.0,10.0,True,0,def mimo_metrics_3x3(H9):
order_3x3,3,36,code,21.0,10.0,True,1,"H_3x3 = H_all  # (rx_config, tx_element, freq) -- direct combination, already in 3x3 MIMO form"
order_3x3,3,37,code,22.0,10.0,True,2,if SHOW_MIMO_PLOTS:
order_3x3,3,38,markdown,,10.0,True,0,### 10b. Spatial correlation (decorrelation) evaluation — combined 3x3 MIMO
order_3x3,3,39,code,23.0,10.0,True,1,def rx_correlation_3x3(H9):
order_3x3,3,40,code,24.0,10.0,True,1,if SHOW_MIMO_PLOTS:
order_3x3,3,41,markdown,,10.0,True,0,## Notes & further TODOs
order_3x3,3,42,markdown,,11.0,True,0,## 11. TX user bergerak linear di dalam ruangan
order_3x3,3,43,code,25.0,11.0,True,1,# --- Parameter lintasan linear TX user (edit di sini) ---
order_3x3,3,44,code,26.0,11.0,True,0,"def linear_tx_trajectory(start, end, n_points, element_positions=TX_POSITIONS,"
order_3x3,3,45,code,27.0,11.0,True,2,trajectory_results = pd.DataFrame()
order_3x3,3,46,markdown,,11.0,True,0,### 11b. Visualisasi lintasan dan data channel TX user
order_3x3,3,47,code,28.0,11.0,True,2,"def plot_linear_tx_trajectory(centers, tx_positions, rx_position,"
order_3x3,3,48,code,29.0,11.0,True,2,if RUN_LINEAR_TX_TRAJECTORY and not trajectory_results.empty:
order_3x3,3,49,markdown,,11.0,True,0,### 11c. Conditioning 3×3 MIMO sepanjang trajectory
order_3x3,3,50,code,30.0,11.0,True,3,trajectory_mimo_results = pd.DataFrame()
order_3x3,3,51,markdown,,11.0,True,0,### Interpretasi hasil trajectory
order_3x3,3,52,markdown,,12.0,True,0,## 12. Evaluasi spatial decorrelation — 1 TX × 3 RX
order_3x3,3,53,code,31.0,12.0,True,2,# --- Spatial-decorrelation configuration ---
order_3x3,3,54,code,32.0,12.0,True,2,"def plot_matrix_with_values(ax, matrix, labels, title, cmap, vmin=0.0, vmax=1.0):"
order_3x3,3,55,markdown,,12.0,True,0,### Interpretasi spatial decorrelation
order_3x3,3,56,markdown,,13.0,True,0,## 13. Spatial decorrelation tanpa normalisasi energi channel
order_3x3,3,57,code,33.0,13.0,True,2,def raw_spatial_matrices(H_rx_samples):
order_3x3,3,58,code,34.0,13.0,True,2,if raw_spatial_cross_correlation_overall.size:
order_3x3,3,59,markdown,,13.0,True,0,### Interpretasi hasil tanpa normalisasi
order_3x3,3,60,markdown,,14.0,True,0,## 14. Median-based spatial correlation — robust terhadap outlier
order_3x3,3,61,code,35.0,14.0,True,2,def correlation_blocks_frequency(H_rx_time_frequency):
order_3x3,3,62,code,36.0,14.0,True,2,if median_spatial_correlation_overall.size:
order_3x3,3,63,markdown,,14.0,True,0,### Interpretasi metode median
order_5x5,5,0,markdown,,,True,0,# Setup 20m x 20m — Lens Antenna 5-TX x 1-RX + Linear TX-User Trajectory
order_5x5,5,1,code,1.0,,True,1,import os
order_5x5,5,2,markdown,,1.0,True,0,"## 1. Antenna pattern loader (farfield HFSS, rotation baked-in)"
order_5x5,5,3,code,2.0,1.0,True,0,class HFSSPattern(AntennaPattern):
order_5x5,5,4,markdown,,2.0,True,0,"## 2. Orientation utilities (world-frame Euler angle, Sionna convention)"
order_5x5,5,5,code,3.0,2.0,True,0,def R_of(o):
order_5x5,5,6,markdown,,3.0,True,0,"## 3. Room scene (20m x 20m x 3m), reused from `Setup_20mx20m_9x9.ipynb`"
order_5x5,5,7,code,4.0,3.0,True,0,"def generate_room_xml(room_x=20, room_y=20, room_z=3, xml_path=""room_20x20.xml""):"
order_5x5,5,8,markdown,,4.0,True,0,## 4. RX lens farfield — angle mapping & mirroring the positive side
order_5x5,5,9,code,5.0,4.0,True,0,"LENS_DIR = Path(""farfieldAntennaData"")"
order_5x5,5,10,markdown,,5.0,True,0,## 5. ⚠️ CONFIGURATION — EDIT HERE
order_5x5,5,11,code,6.0,5.0,True,1,FREQ_GHZ = 38
order_5x5,5,12,markdown,,5.0,True,0,### 5b. Full layout preview (5 TX x 5 RX) — top view & 3D perspective
order_5x5,5,13,code,7.0,5.0,True,2,"def plot_full_layout(tx_positions, sim_configs, room_x, room_y, room_z, figsize=(14, 6)):"
order_5x5,5,14,markdown,,5.0,True,0,### 5c. RX cluster — zoomed view
order_5x5,5,15,code,8.0,5.0,True,2,"def plot_rx_zoom(sim_configs, pad_ratio=0.3, figsize=(14, 6)):"
