scenario,order_n,section,cell_index,output_index,relative_path,bytes,png_signature_valid
order_3x3,3,11,47,0,figures/source_notebook_sections_11_14/order_3x3/section_11_cell_047_01.png,139052,True
order_3x3,3,11,48,1,figures/source_notebook_sections_11_14/order_3x3/section_11_cell_048_01.png,304523,True
order_3x3,3,11,50,1,figures/source_notebook_sections_11_14/order_3x3/section_11_cell_050_01.png,78626,True
order_3x3,3,12,54,0,figures/source_notebook_sections_11_14/order_3x3/section_12_cell_054_01.png,46893,True
order_3x3,3,12,54,1,figures/source_notebook_sections_11_14/order_3x3/section_12_cell_054_02.png,78033,True
order_3x3,3,13,58,0,figures/source_notebook_sections_11_14/order_3x3/section_13_cell_058_01.png,41140,True
order_3x3,3,13,58,1,figures/source_notebook_sections_11_14/order_3x3/section_13_cell_058_02.png,73694,True
order_3x3,3,14,62,0,figures/source_notebook_sections_11_14/order_3x3/section_14_cell_062_01.png,46765,True
order_3x3,3,14,62,1,figures/source_notebook_sections_11_14/order_3x3/section_14_cell_062_02.png,55131,True
order_5x5,5,11,47,0,figures/source_notebook_sections_11_14/order_5x5/section_11_cell_047_01.png,139057,True
order_5x5,5,11,48,1,figures/source_notebook_sections_11_14/order_5x5/section_11_cell_048_01.png,381543,True
order_5x5,5,11,50,1,figures/source_notebook_sections_11_14/order_5x5/section_11_cell_050_01.png,75014,True
order_5x5,5,12,54,0,figures/source_notebook_sections_11_14/order_5x5/section_12_cell_054_01.png,68920,True
order_5x5,5,12,54,1,figures/source_notebook_sections_11_14/order_5x5/section_12_cell_054_02.png,67602,True
order_5x5,5,13,58,0,figures/source_notebook_sections_11_14/order_5x5/section_13_cell_058_01.png,56581,True
order_5x5,5,13,58,1,figures/source_notebook_sections_11_14/order_5x5/section_13_cell_058_02.png,65925,True
order_5x5,5,14,62,0,figures/source_notebook_sections_11_14/order_5x5/section_14_cell_062_01.png,70391,True
order_5x5,5,14,62,1,figures/source_notebook_sections_11_14/order_5x5/section_14_cell_062_02.png,48558,True
order_9x9,9,11,47,0,figures/source_notebook_sections_11_14/order_9x9/section_11_cell_047_01.png,139075,True
order_9x9,9,11,48,1,figures/source_notebook_sections_11_14/order_9x9/section_11_cell_048_01.png,540079,True
order_9x9,9,11,50,1,figures/source_notebook_sections_11_14/order_9x9/section_11_cell_050_01.png,75987,True
order_9x9,9,12,54,0,figures/source_notebook_sections_11_14/order_9x9/section_12_cell_054_01.png,125764,True
order_9x9,9,12,54,1,figures/source_notebook_sections_11_14/order_9x9/section_12_cell_054_02.png,61343,True
order_9x9,9,13,58,0,figures/source_notebook_sections_11_14/order_9x9/section_13_cell_058_01.png,72669,True
order_9x9,9,13,58,1,figures/source_notebook_sections_11_14/order_9x9/section_13_cell_058_02.png,59946,True
order_9x9,9,14,62,0,figures/source_notebook_sections_11_14/order_9x9/section_14_cell_062_01.png,130882,True
order_9x9,9,14,62,1,figures/source_notebook_sections_11_14/order_9x9/section_14_cell_062_02.png,45547,True
