waypoint,distance_along_m,time_s,mean_spatial_correlation,mean_spatial_decorrelation,min_pair_decorrelation,max_pair_decorrelation
0,0.0,0.0,0.494798,0.505202,0.396452,0.675804
1,0.785149,0.785149,0.568976,0.431024,0.143437,0.618025
2,1.570298,1.570298,0.438426,0.561574,0.252376,0.727789
3,2.355447,2.355447,0.344378,0.655622,0.587651,0.691078
4,3.140596,3.140596,0.390715,0.609285,0.584899,0.635256
5,3.925745,3.925745,0.365125,0.634875,0.516187,0.706908
6,4.710894,4.710894,0.542353,0.457647,0.346033,0.604651
7,5.496043,5.496043,0.583914,0.416086,0.220919,0.535005
8,6.281192,6.281192,0.448574,0.551426,0.403741,0.694186
9,7.066341,7.066341,0.41425,0.58575,0.383076,0.738761
10,7.85149,7.85149,0.345864,0.654136,0.433374,0.856913
11,8.636639,8.636639,0.483448,0.516552,0.390325,0.595445
12,9.421788,9.421788,0.454865,0.545135,0.421127,0.700796
13,10.206937,10.206937,0.203395,0.796605,0.642124,0.967872
14,10.992086,10.992086,0.451772,0.548228,0.478604,0.626853
15,11.777235,11.777235,0.650471,0.349529,0.161991,0.467779
16,12.562384,12.562384,0.72079,0.27921,0.230697,0.366823
17,13.347533,13.347533,0.720324,0.279676,0.167532,0.387407
18,14.132682,14.132682,0.70544,0.29456,0.258742,0.353327
19,14.91783,14.91783,0.692361,0.307639,0.167889,0.425182
20,15.702979,15.702979,0.738584,0.261416,0.200566,0.327727
21,16.488128,16.488128,0.595335,0.404665,0.160253,0.543062
22,17.273277,17.273277,0.438606,0.561394,0.499364,0.601149
23,18.058426,18.058426,0.180324,0.819676,0.708033,0.966903
24,18.843575,18.843575,0.410224,0.589776,0.501739,0.744903
25,19.628724,19.628724,0.508643,0.491357,0.401273,0.593822
26,20.413873,20.413873,0.309823,0.690177,0.437061,0.935211
27,21.199022,21.199022,0.429991,0.570009,0.366377,0.724205
28,21.984171,21.984171,0.433836,0.566164,0.365176,0.710313
29,22.76932,22.76932,0.504037,0.495963,0.198378,0.681539
30,23.554469,23.554469,0.436407,0.563593,0.36739,0.729426
31,24.339618,24.339618,0.282624,0.717376,0.574552,0.79975
32,25.124767,25.124767,0.310305,0.689695,0.680268,0.705404
33,25.909916,25.909916,0.35584,0.64416,0.533465,0.714973
34,26.695065,26.695065,0.451056,0.548944,0.279426,0.689622
35,27.480214,27.480214,0.548648,0.451352,0.198351,0.62261
36,28.265363,28.265363,0.528975,0.471025,0.263414,0.644706
