trajectory,system,waypoint,distance_along_m,time_s,cond_median,cond_median_db,erank_median,capacity_10db
Half-Circular,Lens,0,0.0,0.0,11.965579,21.558675,1.305197,6.58399
Half-Circular,Lens,1,0.785149,0.785149,10.886528,20.737788,1.43041,6.9146
Half-Circular,Lens,2,1.570298,1.570298,11.271153,21.039367,1.335903,6.657795
Half-Circular,Lens,3,2.355447,2.355447,11.165369,20.957461,1.279154,6.447872
Half-Circular,Lens,4,3.140596,3.140596,10.315705,20.269979,1.405221,6.787246
Half-Circular,Lens,5,3.925745,3.925745,8.813251,18.902723,1.605652,7.420891
Half-Circular,Lens,6,4.710894,4.710894,7.121739,17.051721,1.614692,7.503375
Half-Circular,Lens,7,5.496043,5.496043,12.759168,22.116447,1.342439,6.699599
Half-Circular,Lens,8,6.281192,6.281192,12.928554,22.230999,1.265672,6.387882
Half-Circular,Lens,9,7.066341,7.066341,16.367755,24.279783,1.18567,6.033451
Half-Circular,Lens,10,7.85149,7.85149,17.40623,24.814094,1.160299,5.9023
Half-Circular,Lens,11,8.636639,8.636639,20.014361,26.026834,1.14542,5.822518
Half-Circular,Lens,12,9.421788,9.421788,16.924871,24.570507,1.196973,6.082294
Half-Circular,Lens,13,10.206937,10.206937,10.958755,20.795224,1.343982,6.720407
Half-Circular,Lens,14,10.992086,10.992086,6.35762,16.065891,1.802955,7.94802
Half-Circular,Lens,15,11.777235,11.777235,10.278314,20.238438,1.411077,6.943594
Half-Circular,Lens,16,12.562384,12.562384,16.36887,24.280374,1.161413,5.943505
Half-Circular,Lens,17,13.347533,13.347533,19.992235,26.017227,1.11254,5.655634
Half-Circular,Lens,18,14.132682,14.132682,16.323591,24.256314,1.100589,5.58318
Half-Circular,Lens,19,14.91783,14.91783,20.65201,26.299246,1.109615,5.639538
Half-Circular,Lens,20,15.702979,15.702979,16.468395,24.333025,1.16505,5.980604
Half-Circular,Lens,21,16.488128,16.488128,9.936831,19.944958,1.425672,6.98838
Half-Circular,Lens,22,17.273277,17.273277,6.452295,16.194284,1.806651,7.961488
Half-Circular,Lens,23,18.058426,18.058426,11.584622,21.277637,1.327861,6.650934
Half-Circular,Lens,24,18.843575,18.843575,17.75082,24.984369,1.183207,6.025586
Half-Circular,Lens,25,19.628724,19.628724,19.840837,25.9512,1.149294,5.83548
Half-Circular,Lens,26,20.413873,20.413873,16.468948,24.333317,1.165787,5.938903
Half-Circular,Lens,27,21.199022,21.199022,16.52129,24.360879,1.200022,6.092045
Half-Circular,Lens,28,21.984171,21.984171,13.066017,22.322864,1.271891,6.414929
Half-Circular,Lens,29,22.76932,22.76932,13.102113,22.346827,1.321126,6.618561
Half-Circular,Lens,30,23.554469,23.554469,7.273266,17.23459,1.605115,7.45524
Half-Circular,Lens,31,24.339618,24.339618,8.281245,18.361912,1.65888,7.536486
Half-Circular,Lens,32,25.124767,25.124767,10.108982,20.094148,1.417228,6.837412
Half-Circular,Lens,33,25.909916,25.909916,10.551138,20.465986,1.290135,6.493421
Half-Circular,Lens,34,26.695065,26.695065,11.353772,21.102803,1.319706,6.611865
Half-Circular,Lens,35,27.480214,27.480214,11.356868,21.105172,1.405459,6.839226
Half-Circular,Lens,36,28.265363,28.265363,12.551496,21.97391,1.27579,6.467066
