trajectory,system,waypoint,waypoint_count,trajectory_angle_deg,distance_along_m,rx_config_name,snr_db_log_rounded,capacity_bits_s_hz_log_rounded,trajectory_angle_deg_exact,distance_along_m_exact,tx_center_x_m,tx_center_y_m,tx_center_z_m
Half-Circular,Lens,0,37,,0.0,Simul_+45deg,7.2,2.52,-90.0,0.0,-9.0,-9.0,2.0
Half-Circular,Lens,0,37,,0.0,Simul_+0deg,10.0,3.34,-90.0,0.0,-9.0,-9.0,2.0
Half-Circular,Lens,0,37,,0.0,Simul_-45deg,18.7,6.21,-90.0,0.0,-9.0,-9.0,2.0
Half-Circular,Lens,1,37,,0.79,Simul_+45deg,6.7,2.41,-85.0,0.7853981633974483,-8.215598315271077,-8.96575228282571,2.0
Half-Circular,Lens,1,37,,0.79,Simul_+0deg,10.2,3.43,-85.0,0.7853981633974483,-8.215598315271077,-8.96575228282571,2.0
Half-Circular,Lens,1,37,,0.79,Simul_-45deg,18.2,6.01,-85.0,0.7853981633974483,-8.215598315271077,-8.96575228282571,2.0
Half-Circular,Lens,2,37,,1.57,Simul_+45deg,6.0,2.19,-80.0,1.5707963267948966,-7.437166400997626,-8.863269777109872,2.0
Half-Circular,Lens,2,37,,1.57,Simul_+0deg,8.5,2.9,-80.0,1.5707963267948966,-7.437166400997626,-8.863269777109872,2.0
Half-Circular,Lens,2,37,,1.57,Simul_-45deg,18.5,6.11,-80.0,1.5707963267948966,-7.437166400997626,-8.863269777109872,2.0
Half-Circular,Lens,3,37,,2.36,Simul_+45deg,6.6,2.35,-75.0,2.356194490192345,-6.670628594077313,-8.693332436601615,2.0
Half-Circular,Lens,3,37,,2.36,Simul_+0deg,8.0,2.72,-75.0,2.356194490192345,-6.670628594077313,-8.693332436601615,2.0
Half-Circular,Lens,3,37,,2.36,Simul_-45deg,20.0,6.56,-75.0,2.356194490192345,-6.670628594077313,-8.693332436601615,2.0
Half-Circular,Lens,4,37,,3.14,Simul_+45deg,7.0,2.45,-70.0,3.141592653589793,-5.9218187100689805,-8.457233587073175,2.0
Half-Circular,Lens,4,37,,3.14,Simul_+0deg,9.3,3.11,-70.0,3.141592653589793,-5.9218187100689805,-8.457233587073175,2.0
