waypoint,distance_along_m,time_s,mean_raw_cross_correlation,mean_raw_difference_power,min_raw_difference_power,max_raw_difference_power
0,0.0,0.0,3.220038e-09,9.662364e-09,5.711364e-09,1.16618e-08
1,0.785149,0.785149,2.126004e-09,6.432922e-09,3.744982e-09,8.23187e-09
2,1.570298,1.570298,2.42792e-09,7.4937e-09,5.133784e-09,8.862305e-09
3,2.355447,2.355447,3.174638e-09,9.884776e-09,8.615307e-09,1.066109e-08
4,3.140596,3.140596,3.939276e-09,1.226437e-08,1.168992e-08,1.322399e-08
5,3.925745,3.925745,4.39917e-09,1.330895e-08,1.105317e-08,1.762158e-08
6,4.710894,4.710894,5.219248e-09,1.260053e-08,8.827523e-09,2.002434e-08
7,5.496043,5.496043,5.816868e-09,1.038545e-08,6.974954e-09,1.716854e-08
8,6.281192,6.281192,6.805439e-09,5.783438e-09,4.259734e-09,8.738589e-09
9,7.066341,7.066341,8.020308e-09,1.960335e-09,1.654904e-09,2.553063e-09
10,7.85149,7.85149,9.40514e-09,8.588476e-09,5.244585e-09,1.518924e-08
11,8.636639,8.636639,1.111682e-08,2.596213e-08,1.724594e-08,4.332334e-08
12,9.421788,9.421788,1.29741e-08,4.068101e-08,3.585629e-08,5.007387e-08
13,10.206937,10.206937,1.416066e-08,4.273831e-08,2.008631e-08,5.408006e-08
14,10.992086,10.992086,1.56457e-08,4.456429e-08,4.027439e-09,6.510706e-08
15,11.777235,11.777235,1.660248e-08,5.110213e-08,4.08735e-08,5.645962e-08
16,12.562384,12.562384,1.821686e-08,4.804951e-08,3.522376e-08,7.364727e-08
17,13.347533,13.347533,1.824379e-08,1.935842e-08,1.088734e-08,3.613719e-08
18,14.132682,14.132682,1.891746e-08,1.027922e-09,8.212952e-10,1.384439e-09
19,14.91783,14.91783,1.835973e-08,1.972429e-08,1.108763e-08,3.681407e-08
20,15.702979,15.702979,1.810434e-08,4.79884e-08,3.531011e-08,7.330712e-08
21,16.488128,16.488128,1.670823e-08,5.138808e-08,4.080804e-08,5.690522e-08
22,17.273277,17.273277,1.534873e-08,4.3683e-08,3.787228e-09,6.396127e-08
23,18.058426,18.058426,1.418971e-08,4.286893e-08,2.034785e-08,5.433281e-08
24,18.843575,18.843575,1.310549e-08,4.101713e-08,3.619937e-08,5.055116e-08
25,19.628724,19.628724,1.1224e-08,2.612001e-08,1.726414e-08,4.365748e-08
26,20.413873,20.413873,9.526307e-09,8.566809e-09,5.243667e-09,1.515805e-08
27,21.199022,21.199022,8.137747e-09,2.063626e-09,1.753579e-09,2.675135e-09
28,21.984171,21.984171,6.869402e-09,5.859242e-09,4.308875e-09,8.956659e-09
29,22.76932,22.76932,6.08268e-09,1.049131e-08,7.018352e-09,1.742664e-08
30,23.554469,23.554469,5.224357e-09,1.279772e-08,8.993951e-09,2.023136e-08
31,24.339618,24.339618,4.569031e-09,1.379834e-08,1.15312e-08,1.819092e-08
32,25.124767,25.124767,4.084993e-09,1.272399e-08,1.207365e-08,1.384779e-08
33,25.909916,25.909916,3.222676e-09,1.00491e-08,8.553807e-09,1.080671e-08
34,26.695065,26.695065,3.21446e-09,9.795276e-09,7.065493e-09,1.123729e-08
35,27.480214,27.480214,2.275866e-09,6.960683e-09,4.216989e-09,8.724578e-09
36,28.265363,28.265363,1.498904e-09,4.759268e-09,2.806061e-09,5.862166e-09
