trajectory,system,waypoint,distance_along_m,time_s,cond_median,cond_median_db,erank_median,capacity_10db
Half-Circular,Without Lens,0,0.0,0.0,31.876244,30.069343,1.101687,5.539124
Half-Circular,Without Lens,1,0.785149,0.785149,22.033789,26.861784,1.176855,5.825439
Half-Circular,Without Lens,2,1.570298,1.570298,23.848899,27.549367,1.172822,5.826549
Half-Circular,Without Lens,3,2.355447,2.355447,24.350496,27.730156,1.150124,5.77547
Half-Circular,Without Lens,4,3.140596,3.140596,27.137714,28.671465,1.159553,5.84577
Half-Circular,Without Lens,5,3.925745,3.925745,23.469307,27.410005,1.233727,6.191623
Half-Circular,Without Lens,6,4.710894,4.710894,23.056968,27.256044,1.18714,5.993153
Half-Circular,Without Lens,7,5.496043,5.496043,15.97061,24.06643,1.30004,6.515741
Half-Circular,Without Lens,8,6.281192,6.281192,14.831739,23.423842,1.323452,6.62516
Half-Circular,Without Lens,9,7.066341,7.066341,13.328002,22.495301,1.362653,6.787146
Half-Circular,Without Lens,10,7.85149,7.85149,9.815599,19.838336,1.410707,6.990079
Half-Circular,Without Lens,11,8.636639,8.636639,10.973208,20.806672,1.379284,6.885672
Half-Circular,Without Lens,12,9.421788,9.421788,11.169448,20.960634,1.347789,6.782984
Half-Circular,Without Lens,13,10.206937,10.206937,13.220901,22.425221,1.353665,6.779017
Half-Circular,Without Lens,14,10.992086,10.992086,20.056484,26.045096,1.366623,6.753094
Half-Circular,Without Lens,15,11.777235,11.777235,18.359641,25.277284,1.402737,6.840358
Half-Circular,Without Lens,16,12.562384,12.562384,18.991119,25.571011,1.37513,6.7429
Half-Circular,Without Lens,17,13.347533,13.347533,19.130295,25.634433,1.357017,6.710885
Half-Circular,Without Lens,18,14.132682,14.132682,14.243609,23.072401,1.403255,6.790311
Half-Circular,Without Lens,19,14.91783,14.91783,19.220116,25.67512,1.356869,6.709383
Half-Circular,Without Lens,20,15.702979,15.702979,19.007271,25.578396,1.375287,6.741193
Half-Circular,Without Lens,21,16.488128,16.488128,18.360966,25.27791,1.403236,6.83991
Half-Circular,Without Lens,22,17.273277,17.273277,20.100174,26.063996,1.366326,6.754633
Half-Circular,Without Lens,23,18.058426,18.058426,13.121845,22.359898,1.354679,6.783318
Half-Circular,Without Lens,24,18.843575,18.843575,11.119681,20.921847,1.349133,6.783922
Half-Circular,Without Lens,25,19.628724,19.628724,10.968291,20.802779,1.380706,6.886039
Half-Circular,Without Lens,26,20.413873,20.413873,9.875756,19.891407,1.410729,6.986665
Half-Circular,Without Lens,27,21.199022,21.199022,13.354035,22.51225,1.361975,6.78278
Half-Circular,Without Lens,28,21.984171,21.984171,15.067274,23.560693,1.320755,6.616063
Half-Circular,Without Lens,29,22.76932,22.76932,16.102251,24.137732,1.298239,6.507969
Half-Circular,Without Lens,30,23.554469,23.554469,23.427369,27.39447,1.183514,5.981641
Half-Circular,Without Lens,31,24.339618,24.339618,23.733324,27.507172,1.231086,6.178855
Half-Circular,Without Lens,32,25.124767,25.124767,27.508388,28.789303,1.158433,5.836065
Half-Circular,Without Lens,33,25.909916,25.909916,24.920512,27.931139,1.146433,5.760124
Half-Circular,Without Lens,34,26.695065,26.695065,24.46229,27.769942,1.164944,5.802736
Half-Circular,Without Lens,35,27.480214,27.480214,22.723681,27.129574,1.169506,5.797939
Half-Circular,Without Lens,36,28.265363,28.265363,33.07292,30.389451,1.096963,5.51363
