trajectory,system,waypoint,waypoint_count,trajectory_angle_deg,distance_along_m,rx_config_name,snr_db_log_rounded,capacity_bits_s_hz_log_rounded,trajectory_angle_deg_exact,distance_along_m_exact,tx_center_x_m,tx_center_y_m,tx_center_z_m
Half-Circular,Without Lens,0,37,,0.0,Simul_+1,10.8,3.62,-90.0,0.0,-9.0,-9.0,2.0
Half-Circular,Without Lens,0,37,,0.0,Simul_0,10.8,3.63,-90.0,0.0,-9.0,-9.0,2.0
Half-Circular,Without Lens,0,37,,0.0,Simul_-1,10.8,3.62,-90.0,0.0,-9.0,-9.0,2.0
Half-Circular,Without Lens,1,37,,0.79,Simul_+1,9.3,3.1,-85.0,0.7853981633974483,-8.215598315271077,-8.96575228282571,2.0
Half-Circular,Without Lens,1,37,,0.79,Simul_0,9.5,3.16,-85.0,0.7853981633974483,-8.215598315271077,-8.96575228282571,2.0
Half-Circular,Without Lens,1,37,,0.79,Simul_-1,9.8,3.26,-85.0,0.7853981633974483,-8.215598315271077,-8.96575228282571,2.0
Half-Circular,Without Lens,2,37,,1.57,Simul_+1,10.2,3.42,-80.0,1.5707963267948966,-7.437166400997626,-8.863269777109872,2.0
Half-Circular,Without Lens,2,37,,1.57,Simul_0,10.3,3.42,-80.0,1.5707963267948966,-7.437166400997626,-8.863269777109872,2.0
Half-Circular,Without Lens,2,37,,1.57,Simul_-1,10.4,3.44,-80.0,1.5707963267948966,-7.437166400997626,-8.863269777109872,2.0
Half-Circular,Without Lens,3,37,,2.36,Simul_+1,11.1,3.73,-75.0,2.356194490192345,-6.670628594077313,-8.693332436601615,2.0
Half-Circular,Without Lens,3,37,,2.36,Simul_0,11.0,3.69,-75.0,2.356194490192345,-6.670628594077313,-8.693332436601615,2.0
Half-Circular,Without Lens,3,37,,2.36,Simul_-1,10.9,3.65,-75.0,2.356194490192345,-6.670628594077313,-8.693332436601615,2.0
Half-Circular,Without Lens,4,37,,3.14,Simul_+1,11.8,3.9,-70.0,3.141592653589793,-5.9218187100689805,-8.457233587073175,2.0
Half-Circular,Without Lens,4,37,,3.14,Simul_0,11.7,3.9,-70.0,3.141592653589793,-5.9218187100689805,-8.457233587073175,2.0
Half-Circular,Without Lens,4,37,,3.14,Simul_-1,11.7,3.9,-70.0,3.141592653589793,-5.9218187100689805,-8.457233587073175,2.0
Half-Circular,Without Lens,5,37,,3.93,Simul_+1,12.6,4.19,-65.0,3.9269908169872414,-5.196435644333706,-8.15677008332985,2.0
Half-Circular,Without Lens,5,37,,3.93,Simul_0,12.5,4.16,-65.0,3.9269908169872414,-5.196435644333706,-8.15677008332985,2.0
Half-Circular,Without Lens,5,37,,3.93,Simul_-1,12.5,4.15,-65.0,3.9269908169872414,-5.196435644333706,-8.15677008332985,2.0
Half-Circular,Without Lens,6,37,,4.71,Simul_+1,13.4,4.41,-60.0,4.71238898038469,-4.499999999999999,-7.794228634059947,2.0
Half-Circular,Without Lens,6,37,,4.71,Simul_0,13.4,4.4,-60.0,4.71238898038469,-4.499999999999999,-7.794228634059947,2.0
Half-Circular,Without Lens,6,37,,4.71,Simul_-1,13.3,4.37,-60.0,4.71238898038469,-4.499999999999999,-7.794228634059947,2.0
Half-Circular,Without Lens,7,37,,5.5,Simul_+1,13.8,4.59,-55.0,5.497787143782138,-3.8378120728405856,-7.372368398600926,2.0
Half-Circular,Without Lens,7,37,,5.5,Simul_0,13.8,4.59,-55.0,5.497787143782138,-3.8378120728405856,-7.372368398600926,2.0
Half-Circular,Without Lens,7,37,,5.5,Simul_-1,14.0,4.63,-55.0,5.497787143782138,-3.8378120728405856,-7.372368398600926,2.0
Half-Circular,Without Lens,8,37,,6.28,Simul_+1,14.7,4.87,-50.0,6.283185307179586,-3.2149115128211454,-6.894399988070802,2.0
Half-Circular,Without Lens,8,37,,6.28,Simul_0,14.7,4.87,-50.0,6.283185307179586,-3.2149115128211454,-6.894399988070802,2.0
Half-Circular,Without Lens,8,37,,6.28,Simul_-1,14.6,4.86,-50.0,6.283185307179586,-3.2149115128211454,-6.894399988070802,2.0
Half-Circular,Without Lens,9,37,,7.07,Simul_+1,15.3,5.09,-45.0,7.0685834705770345,-2.6360389693210715,-6.3639610306789285,2.0
Half-Circular,Without Lens,9,37,,7.07,Simul_0,15.3,5.07,-45.0,7.0685834705770345,-2.6360389693210715,-6.3639610306789285,2.0
Half-Circular,Without Lens,9,37,,7.07,Simul_-1,15.3,5.08,-45.0,7.0685834705770345,-2.6360389693210715,-6.3639610306789285,2.0
Half-Circular,Without Lens,10,37,,7.85,Simul_+1,16.0,5.31,-40.0,7.853981633974483,-2.105600011929198,-5.785088487178854,2.0
Half-Circular,Without Lens,10,37,,7.85,Simul_0,15.9,5.3,-40.0,7.853981633974483,-2.105600011929198,-5.785088487178854,2.0
Half-Circular,Without Lens,10,37,,7.85,Simul_-1,16.0,5.32,-40.0,7.853981633974483,-2.105600011929198,-5.785088487178854,2.0
Half-Circular,Without Lens,11,37,,8.64,Simul_+1,16.6,5.52,-35.0,8.639379797371932,-1.6276316013990737,-5.162187927159414,2.0
Half-Circular,Without Lens,11,37,,8.64,Simul_0,16.6,5.5,-35.0,8.639379797371932,-1.6276316013990737,-5.162187927159414,2.0
Half-Circular,Without Lens,11,37,,8.64,Simul_-1,16.6,5.51,-35.0,8.639379797371932,-1.6276316013990737,-5.162187927159414,2.0
Half-Circular,Without Lens,12,37,,9.42,Simul_+1,17.1,5.68,-30.0,9.42477796076938,-1.205771365940052,-4.499999999999999,2.0
Half-Circular,Without Lens,12,37,,9.42,Simul_0,17.1,5.68,-30.0,9.42477796076938,-1.205771365940052,-4.499999999999999,2.0
Half-Circular,Without Lens,12,37,,9.42,Simul_-1,17.1,5.68,-30.0,9.42477796076938,-1.205771365940052,-4.499999999999999,2.0
Half-Circular,Without Lens,13,37,,10.21,Simul_+1,17.5,5.8,-25.0,10.210176124166829,-0.8432299166701505,-3.803564355666295,2.0
Half-Circular,Without Lens,13,37,,10.21,Simul_0,17.5,5.8,-25.0,10.210176124166829,-0.8432299166701505,-3.803564355666295,2.0
Half-Circular,Without Lens,13,37,,10.21,Simul_-1,17.5,5.81,-25.0,10.210176124166829,-0.8432299166701505,-3.803564355666295,2.0
Half-Circular,Without Lens,14,37,,10.99,Simul_+1,17.9,5.94,-20.0,10.995574287564276,-0.5427664129268237,-3.0781812899310186,2.0
Half-Circular,Without Lens,14,37,,10.99,Simul_0,17.9,5.94,-20.0,10.995574287564276,-0.5427664129268237,-3.0781812899310186,2.0
Half-Circular,Without Lens,14,37,,10.99,Simul_-1,17.9,5.94,-20.0,10.995574287564276,-0.5427664129268237,-3.0781812899310186,2.0
Half-Circular,Without Lens,15,37,,11.78,Simul_+1,18.2,6.04,-15.0,11.780972450961725,-0.30666756339838486,-2.3293714059226867,2.0
