waypoint,distance_along_m,time_s,median_pair_correlation,median_pair_decorrelation,minimum_pair_decorrelation,maximum_pair_decorrelation
0,0.0,0.0,0.817959,0.182041,0.10389,0.232221
1,0.95,0.95,0.865732,0.134268,0.116161,0.157246
2,1.9,1.9,0.771225,0.228775,0.194247,0.248123
3,2.85,2.85,0.842583,0.157417,0.154637,0.162697
4,3.8,3.8,0.865477,0.134523,0.047871,0.178765
5,4.75,4.75,0.928501,0.071499,0.018778,0.099225
6,5.7,5.7,0.916588,0.083412,0.08133,0.084713
7,6.65,6.65,0.919044,0.080956,0.066274,0.109791
8,7.6,7.6,0.94919,0.05081,0.048361,0.055464
9,8.55,8.55,0.967268,0.032732,0.029823,0.034305
10,9.5,9.5,0.974652,0.025348,0.02211,0.031234
11,10.45,10.45,0.967009,0.032991,0.029386,0.035308
12,11.4,11.4,0.949176,0.050824,0.048059,0.05629
13,12.35,12.35,0.919036,0.080964,0.066307,0.11008
14,13.3,13.3,0.916781,0.083219,0.080964,0.084922
15,14.25,14.25,0.929427,0.070573,0.018486,0.09815
16,15.2,15.2,0.863851,0.136149,0.047017,0.181601
17,16.15,16.15,0.845333,0.154667,0.151143,0.16013
18,17.1,17.1,0.777828,0.222172,0.191891,0.240616
19,18.05,18.05,0.869807,0.130193,0.104936,0.175045
20,19.0,19.0,0.826423,0.173577,0.075613,0.245606
