waypoint,distance_along_m,time_s,mean_spatial_correlation,mean_spatial_decorrelation,min_pair_decorrelation,max_pair_decorrelation
0,0.0,0.0,0.805677,0.194323,0.105347,0.242176
1,0.95,0.95,0.866402,0.133598,0.113944,0.160817
2,1.9,1.9,0.773314,0.226686,0.19646,0.242255
3,2.85,2.85,0.842195,0.157805,0.154662,0.163142
4,3.8,3.8,0.865118,0.134882,0.047962,0.179352
5,4.75,4.75,0.928566,0.071434,0.018849,0.099031
6,5.7,5.7,0.916462,0.083538,0.081432,0.084794
7,6.65,6.65,0.918837,0.081163,0.066452,0.110097
8,7.6,7.6,0.949174,0.050826,0.048563,0.05534
9,8.55,8.55,0.96732,0.03268,0.029809,0.034162
10,9.5,9.5,0.973567,0.026433,0.021103,0.035614
11,10.45,10.45,0.966915,0.033085,0.02951,0.03517
12,11.4,11.4,0.949234,0.050766,0.047998,0.056046
13,12.35,12.35,0.918859,0.081141,0.066404,0.110422
14,13.3,13.3,0.916841,0.083159,0.080802,0.085022
15,14.25,14.25,0.929549,0.070451,0.018538,0.097852
16,15.2,15.2,0.864117,0.135883,0.047081,0.180948
17,16.15,16.15,0.845395,0.154605,0.151294,0.160274
18,17.1,17.1,0.776654,0.223346,0.192641,0.24078
19,18.05,18.05,0.870882,0.129118,0.106453,0.169847
20,19.0,19.0,0.819154,0.180846,0.095119,0.236979
