trajectory,system,waypoint,distance_along_m,time_s,median_pair_correlation,median_pair_decorrelation,minimum_pair_decorrelation,maximum_pair_decorrelation
Linear,Without Lens,0,0.0,0.0,0.817959,0.182041,0.10389,0.232221
Linear,Without Lens,1,0.95,0.95,0.865732,0.134268,0.116161,0.157246
Linear,Without Lens,2,1.9,1.9,0.771225,0.228775,0.194247,0.248123
Linear,Without Lens,3,2.85,2.85,0.842583,0.157417,0.154637,0.162697
Linear,Without Lens,4,3.8,3.8,0.865477,0.134523,0.047871,0.178765
Linear,Without Lens,5,4.75,4.75,0.928501,0.071499,0.018778,0.099225
Linear,Without Lens,6,5.7,5.7,0.916588,0.083412,0.08133,0.084713
Linear,Without Lens,7,6.65,6.65,0.919044,0.080956,0.066274,0.109791
Linear,Without Lens,8,7.6,7.6,0.94919,0.05081,0.048361,0.055464
Linear,Without Lens,9,8.55,8.55,0.967268,0.032732,0.029823,0.034305
Linear,Without Lens,10,9.5,9.5,0.974652,0.025348,0.02211,0.031234
Linear,Without Lens,11,10.45,10.45,0.967009,0.032991,0.029386,0.035308
Linear,Without Lens,12,11.4,11.4,0.949176,0.050824,0.048059,0.05629
Linear,Without Lens,13,12.35,12.35,0.919036,0.080964,0.066307,0.11008
Linear,Without Lens,14,13.3,13.3,0.916781,0.083219,0.080964,0.084922
Linear,Without Lens,15,14.25,14.25,0.929427,0.070573,0.018486,0.09815
Linear,Without Lens,16,15.2,15.2,0.863851,0.136149,0.047017,0.181601
Linear,Without Lens,17,16.15,16.15,0.845333,0.154667,0.151143,0.16013
Linear,Without Lens,18,17.1,17.1,0.777828,0.222172,0.191891,0.240616
Linear,Without Lens,19,18.05,18.05,0.869807,0.130193,0.104936,0.175045
Linear,Without Lens,20,19.0,19.0,0.826423,0.173577,0.075613,0.245606
Half-Circular,Without Lens,0,0.0,0.0,0.962827,0.037173,0.023895,0.062456
Half-Circular,Without Lens,1,0.785149,0.785149,0.953267,0.046733,0.027551,0.080194
Half-Circular,Without Lens,2,1.570298,1.570298,0.92954,0.07046,0.043985,0.120287
Half-Circular,Without Lens,3,2.355447,2.355447,0.939706,0.060294,0.037738,0.103269
Half-Circular,Without Lens,4,3.140596,3.140596,0.948079,0.051921,0.03481,0.084497
Half-Circular,Without Lens,5,3.925745,3.925745,0.92684,0.07316,0.056863,0.104585
Half-Circular,Without Lens,6,4.710894,4.710894,0.94474,0.05526,0.036128,0.093138
Half-Circular,Without Lens,7,5.496043,5.496043,0.886929,0.113071,0.091462,0.155697
Half-Circular,Without Lens,8,6.281192,6.281192,0.84655,0.15345,0.13138,0.192414
Half-Circular,Without Lens,9,7.066341,7.066341,0.893585,0.106415,0.091371,0.135474
Half-Circular,Without Lens,10,7.85149,7.85149,0.911618,0.088382,0.085211,0.090228
Half-Circular,Without Lens,11,8.636639,8.636639,0.908418,0.091582,0.05592,0.109501
Half-Circular,Without Lens,12,9.421788,9.421788,0.929167,0.070833,0.014947,0.098899
Half-Circular,Without Lens,13,10.206937,10.206937,0.931907,0.068093,0.042991,0.080935
Half-Circular,Without Lens,14,10.992086,10.992086,0.933184,0.066816,0.054555,0.09024
Half-Circular,Without Lens,15,11.777235,11.777235,0.955062,0.044938,0.038701,0.056694
Half-Circular,Without Lens,16,12.562384,12.562384,0.96186,0.03814,0.033113,0.048052
Half-Circular,Without Lens,17,13.347533,13.347533,0.969353,0.030647,0.029741,0.032133
Half-Circular,Without Lens,18,14.132682,14.132682,0.97465,0.02535,0.022111,0.031235
Half-Circular,Without Lens,19,14.91783,14.91783,0.970006,0.029994,0.027897,0.033279
Half-Circular,Without Lens,20,15.702979,15.702979,0.961045,0.038955,0.034079,0.048621
Half-Circular,Without Lens,21,16.488128,16.488128,0.955109,0.044891,0.038776,0.056825
Half-Circular,Without Lens,22,17.273277,17.273277,0.93346,0.06654,0.054663,0.09
Half-Circular,Without Lens,23,18.058426,18.058426,0.931775,0.068225,0.043263,0.0816
Half-Circular,Without Lens,24,18.843575,18.843575,0.930544,0.069456,0.015118,0.097163
Half-Circular,Without Lens,25,19.628724,19.628724,0.908156,0.091844,0.055825,0.110802
Half-Circular,Without Lens,26,20.413873,20.413873,0.912915,0.087085,0.086145,0.088605
Half-Circular,Without Lens,27,21.199022,21.199022,0.890417,0.109583,0.094473,0.139131
Half-Circular,Without Lens,28,21.984171,21.984171,0.849984,0.150016,0.128235,0.191891
Half-Circular,Without Lens,29,22.76932,22.76932,0.893069,0.106931,0.083447,0.152856
Half-Circular,Without Lens,30,23.554469,23.554469,0.940724,0.059276,0.038799,0.098006
Half-Circular,Without Lens,31,24.339618,24.339618,0.930645,0.069355,0.053584,0.100437
Half-Circular,Without Lens,32,25.124767,25.124767,0.946721,0.053279,0.036563,0.086637
Half-Circular,Without Lens,33,25.909916,25.909916,0.936905,0.063095,0.040895,0.107278
Half-Circular,Without Lens,34,26.695065,26.695065,0.95716,0.04284,0.02823,0.072038
Half-Circular,Without Lens,35,27.480214,27.480214,0.944403,0.055597,0.031314,0.096623
Half-Circular,Without Lens,36,28.265363,28.265363,0.882785,0.117215,0.074382,0.197776
Linear,Lens,0,0.0,0.0,0.510072,0.489928,0.357041,0.715594
Linear,Lens,1,0.95,0.95,0.424618,0.575382,0.460272,0.690738
Linear,Lens,2,1.9,1.9,0.260363,0.739637,0.446489,0.895156
