scenario,section,cell_index,output_index,relative_path,bytes,png_signature_valid
linear_without_lens,11,47,0,figures/source_notebook_sections_11_14/linear_without_lens/section_11_cell_047_01.png,139235,True
linear_without_lens,11,48,1,figures/source_notebook_sections_11_14/linear_without_lens/section_11_cell_048_01.png,238593,True
linear_without_lens,11,50,1,figures/source_notebook_sections_11_14/linear_without_lens/section_11_cell_050_01.png,76136,True
linear_without_lens,12,54,0,figures/source_notebook_sections_11_14/linear_without_lens/section_12_cell_054_01.png,41085,True
linear_without_lens,12,54,1,figures/source_notebook_sections_11_14/linear_without_lens/section_12_cell_054_02.png,57776,True
linear_without_lens,13,58,0,figures/source_notebook_sections_11_14/linear_without_lens/section_13_cell_058_01.png,36931,True
linear_without_lens,13,58,1,figures/source_notebook_sections_11_14/linear_without_lens/section_13_cell_058_02.png,92532,True
linear_without_lens,14,62,0,figures/source_notebook_sections_11_14/linear_without_lens/section_14_cell_062_01.png,39890,True
linear_without_lens,14,62,1,figures/source_notebook_sections_11_14/linear_without_lens/section_14_cell_062_02.png,42803,True
half_circular_without_lens,11,47,0,figures/source_notebook_sections_11_14/half_circular_without_lens/section_11_cell_047_01.png,156255,True
half_circular_without_lens,11,48,1,figures/source_notebook_sections_11_14/half_circular_without_lens/section_11_cell_048_01.png,195451,True
half_circular_without_lens,11,50,1,figures/source_notebook_sections_11_14/half_circular_without_lens/section_11_cell_050_01.png,88494,True
half_circular_without_lens,12,54,0,figures/source_notebook_sections_11_14/half_circular_without_lens/section_12_cell_054_01.png,40880,True
half_circular_without_lens,12,54,1,figures/source_notebook_sections_11_14/half_circular_without_lens/section_12_cell_054_02.png,55145,True
half_circular_without_lens,13,58,0,figures/source_notebook_sections_11_14/half_circular_without_lens/section_13_cell_058_01.png,42920,True
half_circular_without_lens,13,58,1,figures/source_notebook_sections_11_14/half_circular_without_lens/section_13_cell_058_02.png,102649,True
half_circular_without_lens,14,62,0,figures/source_notebook_sections_11_14/half_circular_without_lens/section_14_cell_062_01.png,40383,True
half_circular_without_lens,14,62,1,figures/source_notebook_sections_11_14/half_circular_without_lens/section_14_cell_062_02.png,40104,True
linear_lens,11,47,0,figures/source_notebook_sections_11_14/linear_lens/section_11_cell_047_01.png,139052,True
linear_lens,11,48,1,figures/source_notebook_sections_11_14/linear_lens/section_11_cell_048_01.png,304523,True
linear_lens,11,50,1,figures/source_notebook_sections_11_14/linear_lens/section_11_cell_050_01.png,78626,True
linear_lens,12,54,0,figures/source_notebook_sections_11_14/linear_lens/section_12_cell_054_01.png,46893,True
linear_lens,12,54,1,figures/source_notebook_sections_11_14/linear_lens/section_12_cell_054_02.png,78033,True
linear_lens,13,58,0,figures/source_notebook_sections_11_14/linear_lens/section_13_cell_058_01.png,41140,True
linear_lens,13,58,1,figures/source_notebook_sections_11_14/linear_lens/section_13_cell_058_02.png,73694,True
linear_lens,14,62,0,figures/source_notebook_sections_11_14/linear_lens/section_14_cell_062_01.png,46765,True
linear_lens,14,62,1,figures/source_notebook_sections_11_14/linear_lens/section_14_cell_062_02.png,55131,True
half_circular_lens,11,47,0,figures/source_notebook_sections_11_14/half_circular_lens/section_11_cell_047_01.png,156253,True
half_circular_lens,11,48,1,figures/source_notebook_sections_11_14/half_circular_lens/section_11_cell_048_01.png,267270,True
half_circular_lens,11,50,1,figures/source_notebook_sections_11_14/half_circular_lens/section_11_cell_050_01.png,102387,True
half_circular_lens,12,54,0,figures/source_notebook_sections_11_14/half_circular_lens/section_12_cell_054_01.png,46622,True
half_circular_lens,12,54,1,figures/source_notebook_sections_11_14/half_circular_lens/section_12_cell_054_02.png,92854,True
half_circular_lens,13,58,0,figures/source_notebook_sections_11_14/half_circular_lens/section_13_cell_058_01.png,37197,True
half_circular_lens,13,58,1,figures/source_notebook_sections_11_14/half_circular_lens/section_13_cell_058_02.png,88081,True
half_circular_lens,14,62,0,figures/source_notebook_sections_11_14/half_circular_lens/section_14_cell_062_01.png,47149,True
half_circular_lens,14,62,1,figures/source_notebook_sections_11_14/half_circular_lens/section_14_cell_062_02.png,58252,True
