waypoint,distance_along_m,time_s,median_pair_correlation,median_pair_decorrelation,minimum_pair_decorrelation,maximum_pair_decorrelation
0,0.0,0.0,0.421502,0.578498,0.064197,0.913519
1,0.785149,0.785149,0.360045,0.639955,0.164379,0.919044
2,1.570298,1.570298,0.355943,0.644057,0.183457,0.950794
3,2.355447,2.355447,0.388538,0.611462,0.194308,0.955897
4,3.140596,3.140596,0.344482,0.655518,0.236954,0.950757
5,3.925745,3.925745,0.302792,0.697208,0.180861,0.935255
6,4.710894,4.710894,0.337563,0.662437,0.187142,0.934496
7,5.496043,5.496043,0.42034,0.57966,0.197014,0.940992
8,6.281192,6.281192,0.517027,0.482973,0.134702,0.925109
9,7.066341,7.066341,0.462122,0.537878,0.082626,0.955271
10,7.85149,7.85149,0.378791,0.621209,0.053917,0.947059
11,8.636639,8.636639,0.467291,0.532709,0.032872,0.865709
12,9.421788,9.421788,0.45662,0.54338,0.033842,0.799796
13,10.206937,10.206937,0.456957,0.543043,0.021043,0.867842
14,10.992086,10.992086,0.405131,0.594869,0.008022,0.918617
15,11.777235,11.777235,0.489288,0.510712,0.005231,0.922772
16,12.562384,12.562384,0.494205,0.505795,0.003983,0.91597
17,13.347533,13.347533,0.512419,0.487581,0.004008,0.915761
18,14.132682,14.132682,0.603356,0.396644,0.004786,0.803931
19,14.91783,14.91783,0.483842,0.516158,0.003294,0.888028
20,15.702979,15.702979,0.487334,0.512666,0.003347,0.921887
21,16.488128,16.488128,0.491791,0.508209,0.004875,0.912868
22,17.273277,17.273277,0.406758,0.593242,0.006584,0.928523
23,18.058426,18.058426,0.458518,0.541482,0.018081,0.832938
24,18.843575,18.843575,0.44548,0.55452,0.033015,0.809833
25,19.628724,19.628724,0.465223,0.534777,0.028795,0.883992
26,20.413873,20.413873,0.369452,0.630548,0.051773,0.940934
27,21.199022,21.199022,0.453696,0.546304,0.082537,0.983371
28,21.984171,21.984171,0.509976,0.490024,0.163511,0.891354
29,22.76932,22.76932,0.412755,0.587245,0.181834,0.919568
30,23.554469,23.554469,0.327516,0.672484,0.186161,0.947166
31,24.339618,24.339618,0.303263,0.696737,0.169968,0.951374
32,25.124767,25.124767,0.348332,0.651668,0.216392,0.921052
33,25.909916,25.909916,0.398715,0.601285,0.168489,0.953625
34,26.695065,26.695065,0.337345,0.662655,0.190099,0.965968
35,27.480214,27.480214,0.355068,0.644932,0.160751,0.903196
36,28.265363,28.265363,0.428561,0.571439,0.120996,0.895097
