waypoint,distance_along_m,time_s,mean_raw_cross_correlation,mean_raw_difference_power,min_raw_difference_power,max_raw_difference_power
0,0.0,0.0,2.712046e-09,2.18165e-08,4.859509e-10,1.234063e-07
1,0.785149,0.785149,2.541332e-09,1.787107e-08,3.139068e-10,6.870364e-08
2,1.570298,1.570298,2.355804e-09,1.910542e-08,3.184956e-10,7.896021e-08
3,2.355447,2.355447,2.301012e-09,2.00573e-08,4.465094e-10,1.089952e-07
4,3.140596,3.140596,2.291439e-09,2.205949e-08,7.226092e-10,1.32779e-07
5,3.925745,3.925745,2.255544e-09,2.257368e-08,9.690334e-10,1.259698e-07
6,4.710894,4.710894,2.594588e-09,2.232404e-08,9.203535e-10,9.041923e-08
7,5.496043,5.496043,2.925623e-09,1.880997e-08,7.179534e-10,5.966643e-08
8,6.281192,6.281192,4.0239e-09,2.15668e-08,9.96545e-10,7.985539e-08
9,7.066341,7.066341,3.521809e-09,2.006922e-08,1.180612e-09,6.379893e-08
10,7.85149,7.85149,3.397648e-09,2.288694e-08,1.108175e-09,6.67911e-08
11,8.636639,8.636639,3.987943e-09,2.536336e-08,1.16127e-09,7.760688e-08
12,9.421788,9.421788,3.81023e-09,2.300536e-08,1.444738e-09,1.046826e-07
13,10.206937,10.206937,3.753358e-09,2.441596e-08,1.269598e-09,1.401657e-07
14,10.992086,10.992086,3.37967e-09,2.41844e-08,9.541255e-10,1.608332e-07
15,11.777235,11.777235,4.361733e-09,2.725985e-08,1.141075e-09,1.786541e-07
16,12.562384,12.562384,4.752861e-09,2.744955e-08,1.522737e-09,1.696036e-07
17,13.347533,13.347533,5.360248e-09,3.044787e-08,2.85025e-09,1.826923e-07
18,14.132682,14.132682,5.145184e-09,2.885239e-08,1.664861e-09,1.561362e-07
19,14.91783,14.91783,4.868518e-09,2.739958e-08,2.124118e-09,1.230708e-07
20,15.702979,15.702979,4.751433e-09,2.285088e-08,1.451858e-09,8.000908e-08
21,16.488128,16.488128,4.345281e-09,2.218842e-08,1.260675e-09,7.248049e-08
22,17.273277,17.273277,3.43613e-09,2.053803e-08,9.514378e-10,6.427396e-08
23,18.058426,18.058426,3.801242e-09,1.991945e-08,1.302603e-09,6.686284e-08
24,18.843575,18.843575,3.791908e-09,1.915309e-08,1.417528e-09,6.910398e-08
25,19.628724,19.628724,3.874186e-09,2.217246e-08,1.171474e-09,5.895103e-08
26,20.413873,20.413873,3.357616e-09,2.14863e-08,1.123837e-09,5.687135e-08
27,21.199022,21.199022,3.578061e-09,2.006396e-08,1.101009e-09,6.510021e-08
28,21.984171,21.984171,4.023385e-09,2.118e-08,1.544495e-09,7.882363e-08
29,22.76932,22.76932,2.959463e-09,1.95834e-08,8.117178e-10,6.041235e-08
30,23.554469,23.554469,2.567487e-09,2.237225e-08,9.318566e-10,9.310761e-08
31,24.339618,24.339618,2.258369e-09,2.230327e-08,1.00123e-09,1.28719e-07
32,25.124767,25.124767,2.266338e-09,2.17289e-08,7.704493e-10,1.330963e-07
33,25.909916,25.909916,2.383513e-09,1.950183e-08,3.81211e-10,1.099465e-07
34,26.695065,26.695065,2.321338e-09,1.703013e-08,3.069268e-10,7.587637e-08
35,27.480214,27.480214,2.44648e-09,1.730857e-08,3.578823e-10,6.527628e-08
36,28.265363,28.265363,2.574666e-09,1.935252e-08,4.342425e-10,1.018164e-07
