waypoint,distance_along_m,time_s,median_pair_correlation,median_pair_decorrelation,minimum_pair_decorrelation,maximum_pair_decorrelation
0,0.0,0.0,0.747493,0.252507,0.085514,0.418808
1,0.785149,0.785149,0.7261,0.2739,0.084512,0.542536
2,1.570298,1.570298,0.702825,0.297175,0.134033,0.509428
3,2.355447,2.355447,0.762116,0.237884,0.041314,0.431522
4,3.140596,3.140596,0.704729,0.295271,0.192701,0.400775
5,3.925745,3.925745,0.745592,0.254408,0.09718,0.435669
6,4.710894,4.710894,0.700822,0.299178,0.077343,0.484434
7,5.496043,5.496043,0.796559,0.203441,0.087955,0.325508
8,6.281192,6.281192,0.794823,0.205177,0.079834,0.320411
9,7.066341,7.066341,0.784843,0.215157,0.090623,0.289623
10,7.85149,7.85149,0.726241,0.273759,0.097424,0.388998
11,8.636639,8.636639,0.794986,0.205014,0.063704,0.322394
12,9.421788,9.421788,0.758954,0.241046,0.094359,0.416513
13,10.206937,10.206937,0.760704,0.239296,0.108203,0.438542
14,10.992086,10.992086,0.850676,0.149324,0.080658,0.211636
15,11.777235,11.777235,0.889251,0.110749,0.064952,0.172954
16,12.562384,12.562384,0.873131,0.126869,0.048387,0.20313
17,13.347533,13.347533,0.92238,0.07762,0.016979,0.138055
18,14.132682,14.132682,0.967162,0.032838,0.009503,0.085508
19,14.91783,14.91783,0.922873,0.077127,0.018039,0.132947
20,15.702979,15.702979,0.881129,0.118871,0.0445,0.194289
21,16.488128,16.488128,0.892022,0.107978,0.061119,0.17149
22,17.273277,17.273277,0.846087,0.153913,0.081445,0.213293
23,18.058426,18.058426,0.765222,0.234778,0.107506,0.430438
24,18.843575,18.843575,0.758713,0.241287,0.094799,0.416909
25,19.628724,19.628724,0.791236,0.208764,0.066592,0.330159
26,20.413873,20.413873,0.73012,0.26988,0.092859,0.382696
27,21.199022,21.199022,0.78326,0.21674,0.087128,0.297385
28,21.984171,21.984171,0.794875,0.205125,0.078872,0.315595
29,22.76932,22.76932,0.796939,0.203061,0.083718,0.326921
30,23.554469,23.554469,0.700346,0.299654,0.075604,0.490226
31,24.339618,24.339618,0.745823,0.254177,0.097468,0.438589
32,25.124767,25.124767,0.702204,0.297796,0.189056,0.403857
33,25.909916,25.909916,0.762335,0.237665,0.045905,0.438563
34,26.695065,26.695065,0.708681,0.291319,0.113555,0.470728
35,27.480214,27.480214,0.734377,0.265623,0.08146,0.530294
36,28.265363,28.265363,0.735129,0.264871,0.093419,0.445309
