waypoint,distance_along_m,time_s,mean_spatial_correlation,mean_spatial_decorrelation,min_pair_decorrelation,max_pair_decorrelation
0,0.0,0.0,0.744056,0.255944,0.09289,0.418276
1,0.785149,0.785149,0.726461,0.273539,0.084067,0.541657
2,1.570298,1.570298,0.702833,0.297167,0.134394,0.506272
3,2.355447,2.355447,0.76042,0.23958,0.043566,0.424726
4,3.140596,3.140596,0.704524,0.295476,0.194002,0.401486
5,3.925745,3.925745,0.744882,0.255118,0.098911,0.443842
6,4.710894,4.710894,0.699489,0.300511,0.077097,0.479524
7,5.496043,5.496043,0.796328,0.203672,0.087323,0.326485
8,6.281192,6.281192,0.794383,0.205617,0.080383,0.318064
9,7.066341,7.066341,0.78524,0.21476,0.089707,0.289988
10,7.85149,7.85149,0.726127,0.273873,0.098656,0.38999
11,8.636639,8.636639,0.792046,0.207954,0.069599,0.300213
12,9.421788,9.421788,0.758207,0.241793,0.096961,0.413582
13,10.206937,10.206937,0.760152,0.239848,0.10792,0.439572
14,10.992086,10.992086,0.850354,0.149646,0.080445,0.211827
15,11.777235,11.777235,0.888577,0.111423,0.064721,0.173508
16,12.562384,12.562384,0.873967,0.126033,0.048015,0.201141
17,13.347533,13.347533,0.922893,0.077107,0.017386,0.132828
18,14.132682,14.132682,0.965821,0.034179,0.009169,0.088584
19,14.91783,14.91783,0.922651,0.077349,0.018222,0.131171
20,15.702979,15.702979,0.881101,0.118899,0.04474,0.192669
21,16.488128,16.488128,0.891327,0.108673,0.061743,0.172153
22,17.273277,17.273277,0.845797,0.154203,0.082262,0.214179
23,18.058426,18.058426,0.764514,0.235486,0.107822,0.430272
24,18.843575,18.843575,0.75875,0.24125,0.096753,0.415141
25,19.628724,19.628724,0.785807,0.214193,0.0698,0.307685
26,20.413873,20.413873,0.729512,0.270488,0.094847,0.382854
27,21.199022,21.199022,0.78328,0.21672,0.085724,0.298135
28,21.984171,21.984171,0.794543,0.205457,0.078418,0.316082
29,22.76932,22.76932,0.796771,0.203229,0.083855,0.327671
30,23.554469,23.554469,0.699774,0.300226,0.076702,0.492852
31,24.339618,24.339618,0.745625,0.254375,0.09696,0.443313
32,25.124767,25.124767,0.702362,0.297638,0.188751,0.40656
33,25.909916,25.909916,0.761472,0.238528,0.047758,0.43744
34,26.695065,26.695065,0.708837,0.291163,0.114459,0.472375
35,27.480214,27.480214,0.734598,0.265402,0.081542,0.529885
36,28.265363,28.265363,0.734356,0.265644,0.097311,0.447785
