waypoint,distance_along_m,time_s,median_pair_correlation,median_pair_decorrelation,minimum_pair_decorrelation,maximum_pair_decorrelation
0,0.0,0.0,0.471569,0.528431,0.04985,0.834867
1,0.95,0.95,0.429237,0.570763,0.175183,0.922313
2,1.9,1.9,0.399699,0.600301,0.223064,0.895148
3,2.85,2.85,0.430066,0.569934,0.089718,0.854157
4,3.8,3.8,0.382244,0.617756,0.021487,0.907565
5,4.75,4.75,0.575653,0.424347,0.008466,0.719623
6,5.7,5.7,0.590238,0.409762,0.02889,0.885974
7,6.65,6.65,0.592067,0.407933,0.008125,0.883632
8,7.6,7.6,0.630405,0.369595,0.012766,0.854709
9,8.55,8.55,0.62688,0.37312,0.002236,0.932005
10,9.5,9.5,0.665394,0.334606,0.001875,0.739628
11,10.45,10.45,0.618944,0.381056,0.002136,0.98062
12,11.4,11.4,0.632255,0.367745,0.013976,0.818536
13,12.35,12.35,0.582397,0.417603,0.007932,0.871994
14,13.3,13.3,0.575578,0.424422,0.028383,0.907812
15,14.25,14.25,0.539462,0.460538,0.009021,0.802354
16,15.2,15.2,0.377229,0.622771,0.019988,0.929934
17,16.15,16.15,0.435994,0.564006,0.086299,0.851043
18,17.1,17.1,0.39341,0.60659,0.213,0.951108
19,18.05,18.05,0.423624,0.576376,0.17867,0.900196
20,19.0,19.0,0.472321,0.527679,0.052071,0.797354
