trajectory,system,waypoint,distance_along_m,time_s,cond_median,cond_median_db,erank_median,capacity_10db
Linear,Lens,0,0.0,0.0,118.019112,41.439047,2.441985,15.931644
Linear,Lens,1,0.95,0.95,107.039097,40.590849,2.566092,16.230419
Linear,Lens,2,1.9,1.9,105.149051,40.436107,2.692874,16.707976
Linear,Lens,3,2.85,2.85,96.017438,39.647002,2.440832,16.000037
Linear,Lens,4,3.8,3.8,137.553621,42.769441,2.321756,15.712304
Linear,Lens,5,4.75,4.75,138.957545,42.857643,2.039373,14.562188
Linear,Lens,6,5.7,5.7,157.790935,43.961641,1.87797,13.887362
Linear,Lens,7,6.65,6.65,157.709907,43.95718,1.519827,12.13788
Linear,Lens,8,7.6,7.6,210.414972,46.461533,1.296732,10.375291
Linear,Lens,9,8.55,8.55,254.2812,48.106285,1.173888,9.115297
Linear,Lens,10,9.5,9.5,3930.978102,71.890012,1.085215,7.842278
Linear,Lens,11,10.45,10.45,253.124127,48.066671,1.175418,9.130582
Linear,Lens,12,11.4,11.4,202.36186,46.122573,1.301817,10.41033
Linear,Lens,13,12.35,12.35,147.982078,43.404182,1.5242,12.178149
Linear,Lens,14,13.3,13.3,161.879806,44.183854,1.886928,13.926761
Linear,Lens,15,14.25,14.25,139.387316,42.884465,2.042505,14.547708
Linear,Lens,16,15.2,15.2,146.420427,43.312033,2.311354,15.645061
Linear,Lens,17,16.15,16.15,97.103089,39.744661,2.468778,16.090636
Linear,Lens,18,17.1,17.1,106.557349,40.551668,2.697685,16.743893
Linear,Lens,19,18.05,18.05,107.347343,40.615826,2.604148,16.336612
Linear,Lens,20,19.0,19.0,134.951811,42.603574,2.447989,15.976239
