trajectory,system,waypoint,distance_along_m,time_s,cond_median,cond_median_db,erank_median,capacity_10db
Linear,Without Lens,0,0.0,0.0,114.494177,41.175668,3.41791,18.46336
Linear,Without Lens,1,0.95,0.95,60.304201,35.606951,3.50245,18.995695
Linear,Without Lens,2,1.9,1.9,47.591821,33.550646,3.91811,20.245166
Linear,Without Lens,3,2.85,2.85,89.769518,39.062578,3.712963,19.531638
Linear,Without Lens,4,3.8,3.8,94.38928,39.498453,3.568245,18.90135
Linear,Without Lens,5,4.75,4.75,151.340908,43.599127,3.15872,17.193844
Linear,Without Lens,6,5.7,5.7,218.389361,46.78463,3.054379,16.963197
Linear,Without Lens,7,6.65,6.65,248.601134,47.910062,2.758277,16.186761
Linear,Without Lens,8,7.6,7.6,311.744704,49.875982,2.175273,14.053451
Linear,Without Lens,9,8.55,8.55,302.360994,49.610515,1.561016,11.620311
Linear,Without Lens,10,9.5,9.5,29884.707206,89.50898,1.10234,8.062711
Linear,Without Lens,11,10.45,10.45,306.106914,49.717463,1.560773,11.621277
Linear,Without Lens,12,11.4,11.4,312.256532,49.890231,2.174962,14.05082
Linear,Without Lens,13,12.35,12.35,246.250723,47.82755,2.761345,16.199594
Linear,Without Lens,14,13.3,13.3,219.704828,46.836792,3.059455,16.980976
Linear,Without Lens,15,14.25,14.25,150.657619,43.559822,3.160406,17.19997
Linear,Without Lens,16,15.2,15.2,94.959618,39.550779,3.568296,18.902795
Linear,Without Lens,17,16.15,16.15,90.917433,39.172943,3.711632,19.525496
Linear,Without Lens,18,17.1,17.1,47.340746,33.504702,3.914079,20.228401
Linear,Without Lens,19,18.05,18.05,60.196185,35.591379,3.496471,18.965905
Linear,Without Lens,20,19.0,19.0,115.207909,41.229646,3.408605,18.430213
