trajectory,system,waypoint,distance_along_m,time_s,mean_spatial_correlation,mean_spatial_decorrelation,min_pair_decorrelation,max_pair_decorrelation
Linear,Without Lens,0,0.0,0.0,0.779458,0.220542,0.090666,0.426169
Linear,Without Lens,1,0.95,0.95,0.814419,0.185581,0.049505,0.284877
Linear,Without Lens,2,1.9,1.9,0.794806,0.205194,0.125211,0.250325
Linear,Without Lens,3,2.85,2.85,0.864515,0.135485,0.091955,0.173876
Linear,Without Lens,4,3.8,3.8,0.867775,0.132225,0.045723,0.183083
Linear,Without Lens,5,4.75,4.75,0.936814,0.063186,0.018822,0.101266
Linear,Without Lens,6,5.7,5.7,0.922984,0.077016,0.041021,0.117397
Linear,Without Lens,7,6.65,6.65,0.929061,0.070939,0.029484,0.11331
Linear,Without Lens,8,7.6,7.6,0.94502,0.05498,0.025737,0.091929
Linear,Without Lens,9,8.55,8.55,0.95467,0.04533,0.029384,0.069256
Linear,Without Lens,10,9.5,9.5,0.975411,0.024589,0.007993,0.041889
Linear,Without Lens,11,10.45,10.45,0.954369,0.045631,0.029513,0.06929
Linear,Without Lens,12,11.4,11.4,0.945181,0.054819,0.025745,0.091314
Linear,Without Lens,13,12.35,12.35,0.928493,0.071507,0.031149,0.114915
Linear,Without Lens,14,13.3,13.3,0.923277,0.076723,0.04174,0.118755
Linear,Without Lens,15,14.25,14.25,0.937595,0.062405,0.018394,0.101197
Linear,Without Lens,16,15.2,15.2,0.868744,0.131256,0.04438,0.182773
Linear,Without Lens,17,16.15,16.15,0.867911,0.132089,0.090657,0.172065
Linear,Without Lens,18,17.1,17.1,0.797112,0.202888,0.12548,0.247908
Linear,Without Lens,19,18.05,18.05,0.811978,0.188022,0.052359,0.290228
Linear,Without Lens,20,19.0,19.0,0.796563,0.203437,0.087104,0.398621
Half-Circular,Without Lens,0,0.0,0.0,0.744056,0.255944,0.09289,0.418276
Half-Circular,Without Lens,1,0.785149,0.785149,0.726461,0.273539,0.084067,0.541657
Half-Circular,Without Lens,2,1.570298,1.570298,0.702833,0.297167,0.134394,0.506272
Half-Circular,Without Lens,3,2.355447,2.355447,0.76042,0.23958,0.043566,0.424726
Half-Circular,Without Lens,4,3.140596,3.140596,0.704524,0.295476,0.194002,0.401486
Half-Circular,Without Lens,5,3.925745,3.925745,0.744882,0.255118,0.098911,0.443842
Half-Circular,Without Lens,6,4.710894,4.710894,0.699489,0.300511,0.077097,0.479524
Half-Circular,Without Lens,7,5.496043,5.496043,0.796328,0.203672,0.087323,0.326485
Half-Circular,Without Lens,8,6.281192,6.281192,0.794383,0.205617,0.080383,0.318064
Half-Circular,Without Lens,9,7.066341,7.066341,0.78524,0.21476,0.089707,0.289988
Half-Circular,Without Lens,10,7.85149,7.85149,0.726127,0.273873,0.098656,0.38999
Half-Circular,Without Lens,11,8.636639,8.636639,0.792046,0.207954,0.069599,0.300213
Half-Circular,Without Lens,12,9.421788,9.421788,0.758207,0.241793,0.096961,0.413582
Half-Circular,Without Lens,13,10.206937,10.206937,0.760152,0.239848,0.10792,0.439572
Half-Circular,Without Lens,14,10.992086,10.992086,0.850354,0.149646,0.080445,0.211827
Half-Circular,Without Lens,15,11.777235,11.777235,0.888577,0.111423,0.064721,0.173508
Half-Circular,Without Lens,16,12.562384,12.562384,0.873967,0.126033,0.048015,0.201141
Half-Circular,Without Lens,17,13.347533,13.347533,0.922893,0.077107,0.017386,0.132828
Half-Circular,Without Lens,18,14.132682,14.132682,0.965821,0.034179,0.009169,0.088584
Half-Circular,Without Lens,19,14.91783,14.91783,0.922651,0.077349,0.018222,0.131171
Half-Circular,Without Lens,20,15.702979,15.702979,0.881101,0.118899,0.04474,0.192669
Half-Circular,Without Lens,21,16.488128,16.488128,0.891327,0.108673,0.061743,0.172153
Half-Circular,Without Lens,22,17.273277,17.273277,0.845797,0.154203,0.082262,0.214179
Half-Circular,Without Lens,23,18.058426,18.058426,0.764514,0.235486,0.107822,0.430272
Half-Circular,Without Lens,24,18.843575,18.843575,0.75875,0.24125,0.096753,0.415141
Half-Circular,Without Lens,25,19.628724,19.628724,0.785807,0.214193,0.0698,0.307685
Half-Circular,Without Lens,26,20.413873,20.413873,0.729512,0.270488,0.094847,0.382854
Half-Circular,Without Lens,27,21.199022,21.199022,0.78328,0.21672,0.085724,0.298135
Half-Circular,Without Lens,28,21.984171,21.984171,0.794543,0.205457,0.078418,0.316082
Half-Circular,Without Lens,29,22.76932,22.76932,0.796771,0.203229,0.083855,0.327671
Half-Circular,Without Lens,30,23.554469,23.554469,0.699774,0.300226,0.076702,0.492852
Half-Circular,Without Lens,31,24.339618,24.339618,0.745625,0.254375,0.09696,0.443313
Half-Circular,Without Lens,32,25.124767,25.124767,0.702362,0.297638,0.188751,0.40656
Half-Circular,Without Lens,33,25.909916,25.909916,0.761472,0.238528,0.047758,0.43744
Half-Circular,Without Lens,34,26.695065,26.695065,0.708837,0.291163,0.114459,0.472375
Half-Circular,Without Lens,35,27.480214,27.480214,0.734598,0.265402,0.081542,0.529885
Half-Circular,Without Lens,36,28.265363,28.265363,0.734356,0.265644,0.097311,0.447785
Linear,Lens,0,0.0,0.0,0.424965,0.575035,0.049734,0.963361
Linear,Lens,1,0.95,0.95,0.397118,0.602882,0.178691,0.971085
Linear,Lens,2,1.9,1.9,0.389921,0.610079,0.221427,0.934252
Linear,Lens,3,2.85,2.85,0.428007,0.571993,0.088998,0.857306
Linear,Lens,4,3.8,3.8,0.381873,0.618127,0.021457,0.908688
Linear,Lens,5,4.75,4.75,0.575021,0.424979,0.008441,0.719421
Linear,Lens,6,5.7,5.7,0.590829,0.409171,0.028842,0.888453
Linear,Lens,7,6.65,6.65,0.59193,0.40807,0.008165,0.88147
Linear,Lens,8,7.6,7.6,0.630061,0.369939,0.012762,0.856448
Linear,Lens,9,8.55,8.55,0.626568,0.373432,0.002242,0.932811
Linear,Lens,10,9.5,9.5,0.650294,0.349706,0.001934,0.741081
Linear,Lens,11,10.45,10.45,0.618584,0.381416,0.002124,0.981616
Linear,Lens,12,11.4,11.4,0.632144,0.367856,0.013993,0.818391
Linear,Lens,13,12.35,12.35,0.58272,0.41728,0.007956,0.86938
Linear,Lens,14,13.3,13.3,0.574812,0.425188,0.028435,0.906526
Linear,Lens,15,14.25,14.25,0.539345,0.460655,0.009008,0.803773
Linear,Lens,16,15.2,15.2,0.377197,0.622803,0.020134,0.928361
Linear,Lens,17,16.15,16.15,0.433987,0.566013,0.085948,0.859914
Linear,Lens,18,17.1,17.1,0.385858,0.614142,0.212657,0.962764
Linear,Lens,19,18.05,18.05,0.387945,0.612055,0.181382,0.931337
Linear,Lens,20,19.0,19.0,0.418495,0.581505,0.053451,0.897457
Half-Circular,Lens,0,0.0,0.0,0.372112,0.627888,0.066317,0.949513
Half-Circular,Lens,1,0.785149,0.785149,0.356833,0.643167,0.166585,0.949757
Half-Circular,Lens,2,1.570298,1.570298,0.352281,0.647719,0.190315,0.95282
Half-Circular,Lens,3,2.355447,2.355447,0.377574,0.622426,0.193779,0.963936
Half-Circular,Lens,4,3.140596,3.140596,0.335776,0.664224,0.231228,0.944794
Half-Circular,Lens,5,3.925745,3.925745,0.300381,0.699619,0.181594,0.960247
Half-Circular,Lens,6,4.710894,4.710894,0.336275,0.663725,0.188493,0.940267
Half-Circular,Lens,7,5.496043,5.496043,0.418048,0.581952,0.19708,0.958671
Half-Circular,Lens,8,6.281192,6.281192,0.516032,0.483968,0.135968,0.925365
Half-Circular,Lens,9,7.066341,7.066341,0.462858,0.537142,0.0826,0.956086
Half-Circular,Lens,10,7.85149,7.85149,0.371918,0.628082,0.053727,0.950385
Half-Circular,Lens,11,8.636639,8.636639,0.436495,0.563505,0.033139,0.931208
Half-Circular,Lens,12,9.421788,9.421788,0.45384,0.54616,0.034144,0.819618
Half-Circular,Lens,13,10.206937,10.206937,0.455655,0.544345,0.020957,0.87284
Half-Circular,Lens,14,10.992086,10.992086,0.404701,0.595299,0.007929,0.919068
Half-Circular,Lens,15,11.777235,11.777235,0.484681,0.515319,0.005212,0.983096
Half-Circular,Lens,16,12.562384,12.562384,0.490141,0.509859,0.004006,0.932103
Half-Circular,Lens,17,13.347533,13.347533,0.472958,0.527042,0.004042,0.966985
Half-Circular,Lens,18,14.132682,14.132682,0.520485,0.479515,0.004968,0.96946
Half-Circular,Lens,19,14.91783,14.91783,0.462497,0.537503,0.003279,0.971005
Half-Circular,Lens,20,15.702979,15.702979,0.486663,0.513337,0.003345,0.921981
Half-Circular,Lens,21,16.488128,16.488128,0.487526,0.512474,0.00481,0.952244
Half-Circular,Lens,22,17.273277,17.273277,0.404376,0.595624,0.00659,0.937273
Half-Circular,Lens,23,18.058426,18.058426,0.456931,0.543069,0.018431,0.833603
Half-Circular,Lens,24,18.843575,18.843575,0.444109,0.555891,0.033902,0.821432
Half-Circular,Lens,25,19.628724,19.628724,0.4335,0.5665,0.032457,0.975406
Half-Circular,Lens,26,20.413873,20.413873,0.365631,0.634369,0.052643,0.948526
Half-Circular,Lens,27,21.199022,21.199022,0.454814,0.545186,0.082694,0.985418
Half-Circular,Lens,28,21.984171,21.984171,0.507973,0.492027,0.16524,0.897114
Half-Circular,Lens,29,22.76932,22.76932,0.411042,0.588958,0.18277,0.938334
Half-Circular,Lens,30,23.554469,23.554469,0.326097,0.673903,0.185571,0.947138
Half-Circular,Lens,31,24.339618,24.339618,0.301305,0.698695,0.172486,0.961712
Half-Circular,Lens,32,25.124767,25.124767,0.336097,0.663903,0.221804,0.970798
Half-Circular,Lens,33,25.909916,25.909916,0.389571,0.610429,0.176822,0.968191
Half-Circular,Lens,34,26.695065,26.695065,0.330747,0.669253,0.19491,0.979513
Half-Circular,Lens,35,27.480214,27.480214,0.348931,0.651069,0.165289,0.916664
Half-Circular,Lens,36,28.265363,28.265363,0.374416,0.625584,0.120445,0.896239
