trajectory,system,waypoint,distance_along_m,time_s,mean_raw_cross_correlation,mean_raw_difference_power,min_raw_difference_power,max_raw_difference_power
Linear,Without Lens,0,0.0,0.0,4.303103e-09,3.494745e-09,1.177341e-09,7.843703e-09
Linear,Without Lens,1,0.95,0.95,4.596247e-09,5.129027e-09,1.324766e-09,1.26287e-08
Linear,Without Lens,2,1.9,1.9,5.562565e-09,1.531075e-08,4.728906e-09,2.559325e-08
Linear,Without Lens,3,2.85,2.85,6.832212e-09,1.688032e-08,1.46296e-09,3.022164e-08
Linear,Without Lens,4,3.8,3.8,8.559616e-09,2.186681e-08,2.009694e-09,3.889967e-08
Linear,Without Lens,5,4.75,4.75,1.065809e-08,2.553421e-08,2.478915e-09,4.252307e-08
Linear,Without Lens,6,5.7,5.7,1.263542e-08,3.073633e-08,6.51087e-09,5.226603e-08
Linear,Without Lens,7,6.65,6.65,1.470766e-08,3.541639e-08,2.040104e-09,6.015513e-08
Linear,Without Lens,8,7.6,7.6,1.653912e-08,3.861285e-08,2.579285e-09,6.781893e-08
Linear,Without Lens,9,8.55,8.55,1.786913e-08,3.991991e-08,2.054979e-09,7.03678e-08
Linear,Without Lens,10,9.5,9.5,1.898725e-08,9.710613e-10,3.146721e-10,1.635367e-09
Linear,Without Lens,11,10.45,10.45,1.780655e-08,3.972941e-08,2.387173e-09,7.04164e-08
Linear,Without Lens,12,11.4,11.4,1.66086e-08,3.879175e-08,2.791649e-09,6.858274e-08
Linear,Without Lens,13,12.35,12.35,1.466808e-08,3.535018e-08,1.789034e-09,5.97653e-08
Linear,Without Lens,14,13.3,13.3,1.251763e-08,3.044562e-08,6.448003e-09,5.182967e-08
Linear,Without Lens,15,14.25,14.25,1.063329e-08,2.545904e-08,2.447534e-09,4.211272e-08
Linear,Without Lens,16,15.2,15.2,8.592133e-09,2.193467e-08,1.980851e-09,3.912946e-08
Linear,Without Lens,17,16.15,16.15,6.909749e-09,1.700483e-08,1.447301e-09,3.053369e-08
Linear,Without Lens,18,17.1,17.1,5.612374e-09,1.537587e-08,4.669603e-09,2.577341e-08
Linear,Without Lens,19,18.05,18.05,4.597262e-09,5.041259e-09,1.303115e-09,1.241433e-08
Linear,Without Lens,20,19.0,19.0,4.375224e-09,3.364764e-09,1.149606e-09,8.071117e-09
Half-Circular,Without Lens,0,0.0,0.0,4.210003e-09,3.139181e-09,1.108466e-09,4.988639e-09
