trajectory,system,waypoint,distance_along_m,time_s,cond_median,cond_median_db,erank_median,capacity_10db
Linear,Without Lens,0,0.0,0.0,114.494177,41.175668,3.41791,18.46336
Linear,Without Lens,1,0.95,0.95,60.304201,35.606951,3.50245,18.995695
Linear,Without Lens,2,1.9,1.9,47.591821,33.550646,3.91811,20.245166
Linear,Without Lens,3,2.85,2.85,89.769518,39.062578,3.712963,19.531638
Linear,Without Lens,4,3.8,3.8,94.38928,39.498453,3.568245,18.90135
Linear,Without Lens,5,4.75,4.75,151.340908,43.599127,3.15872,17.193844
Linear,Without Lens,6,5.7,5.7,218.389361,46.78463,3.054379,16.963197
Linear,Without Lens,7,6.65,6.65,248.601134,47.910062,2.758277,16.186761
Linear,Without Lens,8,7.6,7.6,311.744704,49.875982,2.175273,14.053451
Linear,Without Lens,9,8.55,8.55,302.360994,49.610515,1.561016,11.620311
Linear,Without Lens,10,9.5,9.5,29884.707206,89.50898,1.10234,8.062711
Linear,Without Lens,11,10.45,10.45,306.106914,49.717463,1.560773,11.621277
Linear,Without Lens,12,11.4,11.4,312.256532,49.890231,2.174962,14.05082
Linear,Without Lens,13,12.35,12.35,246.250723,47.82755,2.761345,16.199594
Linear,Without Lens,14,13.3,13.3,219.704828,46.836792,3.059455,16.980976
Linear,Without Lens,15,14.25,14.25,150.657619,43.559822,3.160406,17.19997
Linear,Without Lens,16,15.2,15.2,94.959618,39.550779,3.568296,18.902795
Linear,Without Lens,17,16.15,16.15,90.917433,39.172943,3.711632,19.525496
Linear,Without Lens,18,17.1,17.1,47.340746,33.504702,3.914079,20.228401
Linear,Without Lens,19,18.05,18.05,60.196185,35.591379,3.496471,18.965905
Linear,Without Lens,20,19.0,19.0,115.207909,41.229646,3.408605,18.430213
Half-Circular,Without Lens,0,0.0,0.0,65.56081,36.332886,3.530135,19.190029
Half-Circular,Without Lens,1,0.785149,0.785149,73.882106,37.370785,3.629509,19.211914
Half-Circular,Without Lens,2,1.570298,1.570298,53.562217,34.577171,3.837666,19.943228
Half-Circular,Without Lens,3,2.355447,2.355447,61.348936,35.756141,3.824852,19.81344
Half-Circular,Without Lens,4,3.140596,3.140596,89.161318,39.00353,3.799561,19.510511
Half-Circular,Without Lens,5,3.925745,3.925745,84.636839,38.551189,4.09263,20.255516
Half-Circular,Without Lens,6,4.710894,4.710894,111.358291,40.934451,4.013839,20.170265
Half-Circular,Without Lens,7,5.496043,5.496043,127.525706,42.111955,4.15728,20.460306
Half-Circular,Without Lens,8,6.281192,6.281192,126.219106,42.022502,4.236938,20.56512
Half-Circular,Without Lens,9,7.066341,7.066341,122.782067,41.782699,4.00534,20.118056
Half-Circular,Without Lens,10,7.85149,7.85149,91.967905,39.272726,4.266686,20.97721
Half-Circular,Without Lens,11,8.636639,8.636639,79.92629,38.053793,4.056123,20.49174
Half-Circular,Without Lens,12,9.421788,9.421788,86.651952,38.755567,4.11801,20.545025
Half-Circular,Without Lens,13,10.206937,10.206937,138.787817,42.847027,3.963546,19.99383
Half-Circular,Without Lens,14,10.992086,10.992086,164.801521,44.339224,4.085837,20.169492
Half-Circular,Without Lens,15,11.777235,11.777235,223.504637,46.985731,3.89322,19.352978
Half-Circular,Without Lens,16,12.562384,12.562384,147.828485,43.395162,3.527032,17.921023
Half-Circular,Without Lens,17,13.347533,13.347533,278.509826,48.89681,3.389521,17.426041
Half-Circular,Without Lens,18,14.132682,14.132682,98.82067,39.896956,3.440792,17.317428
Half-Circular,Without Lens,19,14.91783,14.91783,275.412909,48.799686,3.389097,17.424382
Half-Circular,Without Lens,20,15.702979,15.702979,148.528511,43.436197,3.524094,17.915808
Half-Circular,Without Lens,21,16.488128,16.488128,227.615632,47.144042,3.89246,19.346595
Half-Circular,Without Lens,22,17.273277,17.273277,163.873375,44.290168,4.085334,20.169639
Half-Circular,Without Lens,23,18.058426,18.058426,138.48526,42.828071,3.964705,19.990461
Half-Circular,Without Lens,24,18.843575,18.843575,87.982054,38.887882,4.118405,20.546449
Half-Circular,Without Lens,25,19.628724,19.628724,79.599099,38.018163,4.057156,20.501777
Half-Circular,Without Lens,26,20.413873,20.413873,91.495574,39.228002,4.269252,20.987757
Half-Circular,Without Lens,27,21.199022,21.199022,122.953638,41.794828,4.012238,20.127586
Half-Circular,Without Lens,28,21.984171,21.984171,128.225472,42.159486,4.238542,20.569659
Half-Circular,Without Lens,29,22.76932,22.76932,126.731865,42.057716,4.162682,20.471075
Half-Circular,Without Lens,30,23.554469,23.554469,111.657133,40.957729,4.017355,20.173207
Half-Circular,Without Lens,31,24.339618,24.339618,85.627249,38.65224,4.094175,20.254031
Half-Circular,Without Lens,32,25.124767,25.124767,89.556649,39.041957,3.795963,19.49789
Half-Circular,Without Lens,33,25.909916,25.909916,60.756573,35.671865,3.820739,19.792328
Half-Circular,Without Lens,34,26.695065,26.695065,53.954702,34.640586,3.829976,19.91597
Half-Circular,Without Lens,35,27.480214,27.480214,73.960357,37.37998,3.62164,19.181518
Half-Circular,Without Lens,36,28.265363,28.265363,66.120942,36.406781,3.518083,19.153413
Linear,Lens,0,0.0,0.0,118.019112,41.439047,2.441985,15.931644
Linear,Lens,1,0.95,0.95,107.039097,40.590849,2.566092,16.230419
Linear,Lens,2,1.9,1.9,105.149051,40.436107,2.692874,16.707976
Linear,Lens,3,2.85,2.85,96.017438,39.647002,2.440832,16.000037
Linear,Lens,4,3.8,3.8,137.553621,42.769441,2.321756,15.712304
Linear,Lens,5,4.75,4.75,138.957545,42.857643,2.039373,14.562188
Linear,Lens,6,5.7,5.7,157.790935,43.961641,1.87797,13.887362
Linear,Lens,7,6.65,6.65,157.709907,43.95718,1.519827,12.13788
Linear,Lens,8,7.6,7.6,210.414972,46.461533,1.296732,10.375291
Linear,Lens,9,8.55,8.55,254.2812,48.106285,1.173888,9.115297
Linear,Lens,10,9.5,9.5,3930.978102,71.890012,1.085215,7.842278
Linear,Lens,11,10.45,10.45,253.124127,48.066671,1.175418,9.130582
Linear,Lens,12,11.4,11.4,202.36186,46.122573,1.301817,10.41033
Linear,Lens,13,12.35,12.35,147.982078,43.404182,1.5242,12.178149
Linear,Lens,14,13.3,13.3,161.879806,44.183854,1.886928,13.926761
Linear,Lens,15,14.25,14.25,139.387316,42.884465,2.042505,14.547708
Linear,Lens,16,15.2,15.2,146.420427,43.312033,2.311354,15.645061
Linear,Lens,17,16.15,16.15,97.103089,39.744661,2.468778,16.090636
Linear,Lens,18,17.1,17.1,106.557349,40.551668,2.697685,16.743893
