"patch_W [mm]","Freq [GHz]","S(1,1) []"
2.4,25,0.646080664687656 - 0.683935362161153i
2.4,25.0625,0.617519103267765 - 0.710213887292091i
2.4,25.125,0.587838325267126 - 0.735316408236136i
2.4,25.1875,0.557089494663221 - 0.75919024733611i
2.4,25.25,0.525326469386965 - 0.781785326408769i
2.4,25.3125,0.492605635945048 - 0.803054313703805i
2.4,25.375,0.458985735602807 - 0.82295275765013i
2.4,25.4375,0.42452768338205 - 0.841439206900183i
2.4,25.5,0.38929438115216 - 0.858475316316449i
2.4,25.5625,0.353350526101213 - 0.874025938677678i
2.4,25.625,0.316762415867509 - 0.888059202013494i
2.4,25.6875,0.279597751591158 - 0.900546572603512i
2.4,25.75,0.241925440111043 - 0.911462903799116i
2.4,25.8125,0.203815396485873 - 0.920786470941096i
2.4,25.875,0.165338347960055 - 0.928498992753306i
2.4,25.9375,0.126565640427081 - 0.934585639690122i
2.4,26,0.0875690483667811 - 0.939035029802969i
2.4,26.0625,0.0484205891490235 - 0.941839212767844i
2.4,26.125,0.0091923425073322 - 0.942993642781128i
2.4,26.1875,-0.0300437241074218 - 0.942497141084772i
2.4,26.25,-0.0692159236791518 - 0.940351848924171i
2.4,26.3125,-0.108253010767546 - 0.936563171772697i
2.4,26.375,-0.147084335218033 - 0.931139715676428i
2.4,26.4375,-0.18563998811668 - 0.924093216581292i
2.4,26.5,-0.223850939759194 - 0.915438463503378i
2.4,26.5625,-0.261649169492954 - 0.905193216392231i
2.4,26.625,-0.298967787376458 - 0.893378119517088i
2.4,26.6875,-0.335741147680775 - 0.880016611178376i
2.4,26.75,-0.371904954332022 - 0.865134830511994i
2.4,26.8125,-0.407396358462128 - 0.848761522112921i
2.4,26.875,-0.442154048296721 - 0.830927939158512i
2.4,26.9375,-0.476118331663458 - 0.811667745661268i
2.4,27,-0.509231211451951 - 0.791016918426746i
2.4,27.0625,-0.541436454396737 - 0.769013649235669i
2.4,27.125,-0.572679653588305 - 0.745698247710714i
2.4,27.1875,-0.602908285143748 - 0.721113045268887i
2.4,27.25,-0.632071759488383 - 0.695302300500442i
2.4,27.3125,-0.660121467713074 - 0.668312106255631i
2.4,27.375,-0.687010823479184 - 0.640190298661731i
2.4,27.4375,-0.712695300944445 - 0.610986368235346i
2.4,27.5,-0.737132469178883 - 0.580751373199428i
2.4,27.5625,-0.76028202353082 - 0.549537855060982i
2.4,27.625,-0.782105814388984 - 0.517399756454741i
2.4,27.6875,-0.802567873768656 - 0.484392341210071i
2.4,27.75,-0.821634440127642 - 0.450572116553587i
2.4,27.8125,-0.839273981792234 - 0.415996757318481i
2.4,27.875,-0.855457219344646 - 0.380725031993439i
2.4,27.9375,-0.870157147291847 - 0.344816730409622i
2.4,28,-0.8833490553018 - 0.308332592833469i
2.4,28.0625,-0.895010549257153 - 0.271334240205935i
2.4,28.125,-0.90512157233865 - 0.23388410524571i
2.4,28.1875,-0.913664426311372 - 0.196045364114506i
2.4,28.25,-0.92062379314655 - 0.157881868327134i
2.4,28.3125,-0.925986757070593 - 0.11945807657712i
2.4,28.375,-0.929742827091091 - 0.0808389861413124i
2.4,28.4375,-0.931883960007567 - 0.0420900635225338i
2.4,28.5,-0.932404583872571 - 0.0032771739895183i
2.4,28.5625,-0.931301621826757 + 0.0355334903229788i
2.4,28.625,-0.928574516190168 + 0.0742754840835382i
2.4,28.6875,-0.924225252651118 + 0.112882184521214i
2.4,28.75,-0.918258384354365 + 0.15128686957375i
2.4,28.8125,-0.910681055651694 + 0.189422798711576i
2.4,28.875,-0.901503025241012 + 0.227223296699937i
2.4,28.9375,-0.890736688384907 + 0.26462184053566i
2.4,29,-0.878397097866423 + 0.301552149765872i
2.4,29.0625,-0.864501983309119 + 0.337948280363248i
2.4,29.125,-0.84907176846039 + 0.37374472229656i
2.4,29.1875,-0.832129586011923 + 0.408876500896437i
2.4,29.25,-0.813701289509444 + 0.443279282074324i
2.4,29.3125,-0.793815461885627 + 0.476889481408327i
2.4,29.375,-0.772503420135827 + 0.509644377062655i
2.4,29.4375,-0.749799215646189 + 0.541482226458373i
2.4,29.5,-0.725739629678065 + 0.572342386562463i
2.4,29.5625,-0.700364163511865 + 0.602165437609826i
2.4,29.625,-0.673715022757622 + 0.630893310019628i
2.4,29.6875,-0.645837095348893 + 0.658469414213518i
2.4,29.75,-0.616777922751416 + 0.684838772989248i
2.4,29.8125,-0.586587663938286 + 0.709948156049558i
2.4,29.875,-0.555319051709271 + 0.733746216233704i
2.4,29.9375,-0.523027340963565 + 0.75618362694778i
2.4,30,-0.489770248572515 + 0.777213220241086i
2.4,30.0625,-0.455607884541602 + 0.796790124929679i
2.4,30.125,-0.420602674199173 + 0.814871904125383i
2.4,30.1875,-0.384819271202819 + 0.83141869148982i
2.4,30.25,-0.348324461212307 + 0.846393325499032i
2.4,30.3125,-0.311187056140732 + 0.859761480975351i
2.4,30.375,-0.273477778962069 + 0.871491797120291i
2.4,30.4375,-0.235269139123238 + 0.881556001265706i
2.4,30.5,-0.196635298681583 + 0.889929027550697i
2.4,30.5625,-0.157651929363548 + 0.896589129729443i
2.4,30.625,-0.11839606081627 + 0.901517987320389i
2.4,30.6875,-0.0789459204006089 + 0.904700804320376i
2.4,30.75,-0.0393807649501487 + 0.906126399728624i
2.4,30.8125,0.000219295004341544 + 0.905787289154894i
2.4,30.875,0.039773477972904 + 0.903679756823661i
2.4,30.9375,0.0792005205653795 + 0.899803917331696i
2.4,31,0.118418872164632 + 0.894163766569592i
2.4,31.0625,0.157346894447008 + 0.886767221278276i
2.4,31.125,0.195903064928832 + 0.877626146778782i
2.4,31.1875,0.234006183670202 + 0.866756372487006i
2.4,31.25,0.271575582227332 + 0.85417769490398i
2.4,31.3125,0.308531333913089 + 0.839913867855634i
2.4,31.375,0.344794464402091 + 0.823992579843147i
2.4,31.4375,0.380287161703451 + 0.80644541845467i
2.4,31.5,0.414932984519627 + 0.787307821880704i
2.4,31.5625,0.448657068015904 + 0.766619017667161i
2.4,31.625,0.481386326040337 + 0.744421948931487i
2.4,31.6875,0.513049648859571 + 0.720763188356586i
2.4,31.75,0.54357809551082 + 0.695692840363875i
2.4,31.8125,0.572905079914621 + 0.669264431949314i
