scenario,lens_angle_deg,horizontal_angle_deg,theta_deg,phi_deg,gain_db
Simul_-45deg,-45,-180.00000000,90.00000000,-180.00000000,-4.21402073
Simul_-45deg,-45,-179.63998413,90.00000000,-179.63998413,-4.37205410
Simul_-45deg,-45,-179.27998352,90.00000000,-179.27998352,-4.53171635
Simul_-45deg,-45,-178.91999817,90.00000000,-178.91999817,-4.69296646
Simul_-45deg,-45,-178.55998230,90.00000000,-178.55998230,-4.85575724
Simul_-45deg,-45,-178.19999695,90.00000000,-178.19999695,-5.02002335
Simul_-45deg,-45,-177.83999634,90.00000000,-177.83999634,-5.17282677
Simul_-45deg,-45,-177.47999573,90.00000000,-177.47999573,-5.30674982
Simul_-45deg,-45,-177.11999512,90.00000000,-177.11999512,-5.43589354
Simul_-45deg,-45,-176.75997925,90.00000000,-176.75997925,-5.55968237
Simul_-45deg,-45,-176.39999390,90.00000000,-176.39999390,-5.67753601
Simul_-45deg,-45,-176.03999329,90.00000000,-176.03999329,-5.78886127
Simul_-45deg,-45,-175.67999268,90.00000000,-175.67999268,-5.90147114
Simul_-45deg,-45,-175.31999207,90.00000000,-175.31999207,-6.00110006
Simul_-45deg,-45,-174.95999146,90.00000000,-174.95999146,-6.08524752
Simul_-45deg,-45,-174.59999084,90.00000000,-174.59999084,-6.15296125
Simul_-45deg,-45,-174.23999023,90.00000000,-174.23999023,-6.20344543
Simul_-45deg,-45,-173.87998962,90.00000000,-173.87998962,-6.26593590
Simul_-45deg,-45,-173.51998901,90.00000000,-173.51998901,-6.36380959
Simul_-45deg,-45,-173.15998840,90.00000000,-173.15998840,-6.43280745
Simul_-45deg,-45,-172.79998779,90.00000000,-172.79998779,-6.47150707
Simul_-45deg,-45,-172.43998718,90.00000000,-172.43998718,-6.47908688
Simul_-45deg,-45,-172.08000183,90.00000000,-172.08000183,-6.45538712
Simul_-45deg,-45,-171.71998596,90.00000000,-171.71998596,-6.50848007
Simul_-45deg,-45,-171.35998535,90.00000000,-171.35998535,-6.54304314
Simul_-45deg,-45,-170.99998474,90.00000000,-170.99998474,-6.52493000
Simul_-45deg,-45,-170.63998413,90.00000000,-170.63998413,-6.45479488
Simul_-45deg,-45,-170.27999878,90.00000000,-170.27999878,-6.33510780
Simul_-45deg,-45,-169.91998291,90.00000000,-169.91998291,-6.19976234
Simul_-45deg,-45,-169.55999756,90.00000000,-169.55999756,-6.10940647
Simul_-45deg,-45,-169.19999695,90.00000000,-169.19999695,-5.95215988
Simul_-45deg,-45,-168.83998108,90.00000000,-168.83998108,-5.73505640
Simul_-45deg,-45,-168.47999573,90.00000000,-168.47999573,-5.46687841
Simul_-45deg,-45,-168.11999512,90.00000000,-168.11999512,-5.15714645
Simul_-45deg,-45,-167.75999451,90.00000000,-167.75999451,-4.89316177
Simul_-45deg,-45,-167.39999390,90.00000000,-167.39999390,-4.62514067
Simul_-45deg,-45,-167.03997803,90.00000000,-167.03997803,-4.31906509
Simul_-45deg,-45,-166.67999268,90.00000000,-166.67999268,-3.98352909
Simul_-45deg,-45,-166.31999207,90.00000000,-166.31999207,-3.62635565
Simul_-45deg,-45,-165.95999146,90.00000000,-165.95999146,-3.27144432
Simul_-45deg,-45,-165.59999084,90.00000000,-165.59999084,-3.03589606
Simul_-45deg,-45,-165.23999023,90.00000000,-165.23999023,-2.78152347
Simul_-45deg,-45,-164.87998962,90.00000000,-164.87998962,-2.51214838
Simul_-45deg,-45,-164.51998901,90.00000000,-164.51998901,-2.23125839
Simul_-45deg,-45,-164.15998840,90.00000000,-164.15998840,-1.94196236
Simul_-45deg,-45,-163.79998779,90.00000000,-163.79998779,-1.74961817
Simul_-45deg,-45,-163.44000244,90.00000000,-163.44000244,-1.62934780
Simul_-45deg,-45,-163.07998657,90.00000000,-163.07998657,-1.49828601
Simul_-45deg,-45,-162.71998596,90.00000000,-162.71998596,-1.35748005
Simul_-45deg,-45,-162.36000061,90.00000000,-162.36000061,-1.20797598
Simul_-45deg,-45,-161.99998474,90.00000000,-161.99998474,-1.05079055
Simul_-45deg,-45,-161.63999939,90.00000000,-161.63999939,-1.08492160
Simul_-45deg,-45,-161.27999878,90.00000000,-161.27999878,-1.11046660
Simul_-45deg,-45,-160.91998291,90.00000000,-160.91998291,-1.12726855
Simul_-45deg,-45,-160.55999756,90.00000000,-160.55999756,-1.13522637
Simul_-45deg,-45,-160.19998169,90.00000000,-160.19998169,-1.13429141
Simul_-45deg,-45,-159.83999634,90.00000000,-159.83999634,-1.21057367
Simul_-45deg,-45,-159.47999573,90.00000000,-159.47999573,-1.38757408
Simul_-45deg,-45,-159.11997986,90.00000000,-159.11997986,-1.55751050
Simul_-45deg,-45,-158.75999451,90.00000000,-158.75999451,-1.71922755
Simul_-45deg,-45,-158.39999390,90.00000000,-158.39999390,-1.87152851
