scenario,lens_angle_deg,yz_angle_deg,theta_deg,phi_deg,gain_db
Simul_-45deg,-45,0.00000000,0.00000000,90.00000000,2.55431294
Simul_-45deg,-45,0.35999998,0.35990870,90.00000000,2.62362719
Simul_-45deg,-45,0.71999997,0.72009277,90.00000000,2.69541621
Simul_-45deg,-45,1.07999992,1.07992160,90.00000000,2.76941776
Simul_-45deg,-45,1.43999994,1.43994224,90.00000000,2.84560895
Simul_-45deg,-45,1.79999995,1.80004954,90.00000000,2.92383647
Simul_-45deg,-45,2.15999985,2.16002965,90.00000000,3.02594447
Simul_-45deg,-45,2.51999998,2.52002597,90.00000000,3.15613031
Simul_-45deg,-45,2.87999988,2.87997603,90.00000000,3.28627372
Simul_-45deg,-45,3.23999977,3.24002767,90.00000000,3.41631842
Simul_-45deg,-45,3.59999990,3.59999967,90.00000000,3.54609776
Simul_-45deg,-45,3.95999956,3.95997524,90.00000000,3.67555380
Simul_-45deg,-45,4.31999969,4.32001114,90.00000000,3.81552744
Simul_-45deg,-45,4.67999983,4.67998075,90.00000000,3.95526075
Simul_-45deg,-45,5.03999996,5.03998899,90.00000000,4.09337187
Simul_-45deg,-45,5.39999962,5.40000391,90.00000000,4.22986698
Simul_-45deg,-45,5.75999975,5.76000357,90.00000000,4.36475325
Simul_-45deg,-45,6.11999989,6.12000370,90.00000000,4.48862934
Simul_-45deg,-45,6.47999954,6.47998667,90.00000000,4.59234047
Simul_-45deg,-45,6.83999968,6.83999729,90.00000000,4.69490337
Simul_-45deg,-45,7.19999981,7.19998980,90.00000000,4.79632854
Simul_-45deg,-45,7.55999947,7.56000662,90.00000000,4.89665127
Simul_-45deg,-45,7.91999912,7.92000675,90.00000000,4.99588299
Simul_-45deg,-45,8.27999973,8.28000641,90.00000000,5.04692173
Simul_-45deg,-45,8.63999939,8.63999653,90.00000000,5.08445644
Simul_-45deg,-45,9.00000000,8.99999142,90.00000000,5.12207413
Simul_-45deg,-45,9.35999966,9.36000347,90.00000000,5.15977144
