m,n,x,y,z
1,1,-4.0,-18.0,25.0
1,2,-3.0,-18.0,25.0
1,3,-2.0,-18.0,25.0
1,4,-1.0,-18.0,25.0
1,5,0.0,-18.0,25.0
1,6,1.0,-18.0,25.0
1,7,2.0,-18.0,25.0
1,8,3.0,-18.0,25.0
1,9,4.0,-18.0,25.0
2,1,-4.0,-14.75,25.0
2,2,-3.0,-14.75,25.0
2,3,-2.0,-14.75,25.0
2,4,-1.0,-14.75,25.0
2,5,0.0,-14.75,25.0
2,6,1.0,-14.75,25.0
2,7,2.0,-14.75,25.0
2,8,3.0,-14.75,25.0
2,9,4.0,-14.75,25.0
3,1,-4.0,-11.5,25.0
3,2,-3.0,-11.5,25.0
3,3,-2.0,-11.5,25.0
3,4,-1.0,-11.5,25.0
3,5,0.0,-11.5,25.0
3,6,1.0,-11.5,25.0
3,7,2.0,-11.5,25.0
3,8,3.0,-11.5,25.0
3,9,4.0,-11.5,25.0
4,1,-4.0,-8.25,25.0
4,2,-3.0,-8.25,25.0
4,3,-2.0,-8.25,25.0
4,4,-1.0,-8.25,25.0
4,5,0.0,-8.25,25.0
4,6,1.0,-8.25,25.0
4,7,2.0,-8.25,25.0
4,8,3.0,-8.25,25.0
4,9,4.0,-8.25,25.0
5,1,-4.0,-5.0,25.0
5,2,-3.0,-5.0,25.0
5,3,-2.0,-5.0,25.0
5,4,-1.0,-5.0,25.0
5,5,0.0,-5.0,25.0
5,6,1.0,-5.0,25.0
5,7,2.0,-5.0,25.0
5,8,3.0,-5.0,25.0
5,9,4.0,-5.0,25.0
6,1,-4.0,-1.75,25.0
6,2,-3.0,-1.75,25.0
6,3,-2.0,-1.75,25.0
6,4,-1.0,-1.75,25.0
6,5,0.0,-1.75,25.0
6,6,1.0,-1.75,25.0
6,7,2.0,-1.75,25.0
6,8,3.0,-1.75,25.0
6,9,4.0,-1.75,25.0
7,1,-4.0,1.5,25.0
7,2,-3.0,1.5,25.0
7,3,-2.0,1.5,25.0
7,4,-1.0,1.5,25.0
7,5,0.0,1.5,25.0
7,6,1.0,1.5,25.0
7,7,2.0,1.5,25.0
7,8,3.0,1.5,25.0
7,9,4.0,1.5,25.0
8,1,-4.0,4.75,25.0
8,2,-3.0,4.75,25.0
8,3,-2.0,4.75,25.0
8,4,-1.0,4.75,25.0
8,5,0.0,4.75,25.0
8,6,1.0,4.75,25.0
8,7,2.0,4.75,25.0
8,8,3.0,4.75,25.0
8,9,4.0,4.75,25.0
9,1,-4.0,8.0,25.0
9,2,-3.0,8.0,25.0
9,3,-2.0,8.0,25.0
9,4,-1.0,8.0,25.0
9,5,0.0,8.0,25.0
9,6,1.0,8.0,25.0
9,7,2.0,8.0,25.0
9,8,3.0,8.0,25.0
9,9,4.0,8.0,25.0
