scenario,lens_angle_deg,vertical_angle_deg,theta_deg,phi_deg,gain_db
Simul_+0deg,0,0.00000000,0.00000000,0.00000000,-5.45998621
Simul_+0deg,0,0.35999998,0.35990870,0.00000000,-5.43697405
Simul_+0deg,0,0.71999997,0.72009277,0.00000000,-5.37853193
Simul_+0deg,0,1.07999992,1.07992160,0.00000000,-5.28617382
Simul_+0deg,0,1.43999994,1.43994224,0.00000000,-5.16191769
Simul_+0deg,0,1.79999995,1.80004954,0.00000000,-5.00847149
Simul_+0deg,0,2.15999985,2.16002965,0.00000000,-4.94323826
Simul_+0deg,0,2.51999998,2.52002597,0.00000000,-5.00074911
Simul_+0deg,0,2.87999988,2.87997603,0.00000000,-5.03941154
Simul_+0deg,0,3.23999977,3.24002767,0.00000000,-5.05872440
Simul_+0deg,0,3.59999990,3.59999967,0.00000000,-5.05841637
Simul_+0deg,0,3.95999956,3.95997524,0.00000000,-5.03849792
Simul_+0deg,0,4.31999969,4.32001114,0.00000000,-5.09265518
Simul_+0deg,0,4.67999983,4.67998075,0.00000000,-5.14590025
Simul_+0deg,0,5.03999996,5.03998899,0.00000000,-5.18651056
Simul_+0deg,0,5.39999962,5.40000391,0.00000000,-5.21411896
Simul_+0deg,0,5.75999975,5.76000357,0.00000000,-5.22847128
Simul_+0deg,0,6.11999989,6.12000370,0.00000000,-5.28297806
Simul_+0deg,0,6.47999954,6.47998667,0.00000000,-5.43466473
Simul_+0deg,0,6.83999968,6.83999729,0.00000000,-5.57739449
Simul_+0deg,0,7.19999981,7.19998980,0.00000000,-5.71005917
Simul_+0deg,0,7.55999947,7.56000662,0.00000000,-5.83158398
Simul_+0deg,0,7.91999912,7.92000675,0.00000000,-5.94087648
Simul_+0deg,0,8.27999973,8.28000641,0.00000000,-6.16219234
Simul_+0deg,0,8.63999939,8.63999653,0.00000000,-6.42104149
Simul_+0deg,0,9.00000000,8.99999142,0.00000000,-6.68330193
Simul_+0deg,0,9.35999966,9.36000347,0.00000000,-6.94861460
Simul_+0deg,0,9.72000027,9.72000504,0.00000000,-7.21648216
Simul_+0deg,0,10.07999992,10.07999039,0.00000000,-7.47818232
Simul_+0deg,0,10.43999863,10.43999195,0.00000000,-7.71483040
Simul_+0deg,0,10.79999924,10.80000591,0.00000000,-7.95603085
Simul_+0deg,0,11.15999889,11.15999031,0.00000000,-8.20176983
Simul_+0deg,0,11.51999950,11.51999664,0.00000000,-8.45207024
Simul_+0deg,0,11.87999916,11.88000298,0.00000000,-8.70686626
Simul_+0deg,0,12.23999977,12.24000549,0.00000000,-8.93313503
Simul_+0deg,0,12.59999943,12.60000420,0.00000000,-9.14326286
Simul_+0deg,0,12.95999908,12.95999718,0.00000000,-9.35236835
Simul_+0deg,0,13.31999969,13.31999779,0.00000000,-9.55978107
Simul_+0deg,0,13.67999935,13.68000603,0.00000000,-9.76472855
Simul_+0deg,0,14.03999901,14.04000568,0.00000000,-9.94897175
Simul_+0deg,0,14.39999962,14.39999866,0.00000000,-9.98276806
Simul_+0deg,0,14.75999832,14.75999737,0.00000000,-9.99869061
Simul_+0deg,0,15.11999893,15.12000275,0.00000000,-9.99653912
Simul_+0deg,0,15.47999954,15.48000336,0.00000000,-9.97634029
Simul_+0deg,0,15.83999825,15.84000015,0.00000000,-9.93834591
Simul_+0deg,0,16.19999886,16.19999313,0.00000000,-9.79836845
Simul_+0deg,0,16.55999947,16.56000137,0.00000000,-9.58323288
Simul_+0deg,0,16.92000008,16.91999626,0.00000000,-9.36440372
Simul_+0deg,0,17.27999878,17.27999496,0.00000000,-9.14290619
Simul_+0deg,0,17.63999939,17.64000320,0.00000000,-8.91964817
Simul_+0deg,0,18.00000000,17.99999428,0.00000000,-8.69544315
Simul_+0deg,0,18.35999870,18.36000061,0.00000000,-8.44225121
Simul_+0deg,0,18.71999931,18.71999741,0.00000000,-8.19189167
Simul_+0deg,0,19.07999992,19.08000183,0.00000000,-7.94466591
Simul_+0deg,0,19.44000053,19.43999863,0.00000000,-7.70083237
Simul_+0deg,0,19.79999924,19.79999924,0.00000000,-7.46056080
Simul_+0deg,0,20.15999985,20.15999603,0.00000000,-7.19013500
Simul_+0deg,0,20.51999855,20.51999664,0.00000000,-6.88439465
Simul_+0deg,0,20.87999725,20.88000298,0.00000000,-6.58672810
Simul_+0deg,0,21.23999786,21.24000168,0.00000000,-6.29690933
Simul_+0deg,0,21.59999847,21.59999657,0.00000000,-6.01468372
Simul_+0deg,0,21.95999908,21.95999527,0.00000000,-5.73978329
Simul_+0deg,0,22.31999779,22.31999969,0.00000000,-5.54119825
Simul_+0deg,0,22.67999840,22.67999649,0.00000000,-5.35281467
Simul_+0deg,0,23.03999901,23.04000282,0.00000000,-5.16581726
Simul_+0deg,0,23.39999771,23.39999390,0.00000000,-4.98037910
Simul_+0deg,0,23.75999832,23.75999641,0.00000000,-4.79661417
Simul_+0deg,0,24.11999893,24.11999702,0.00000000,-4.63653994
Simul_+0deg,0,24.47999954,24.48000336,0.00000000,-4.52126932
Simul_+0deg,0,24.83999825,24.84000015,0.00000000,-4.40661192
Simul_+0deg,0,25.19999886,25.19999886,0.00000000,-4.29259586
Simul_+0deg,0,25.55999947,25.56000137,0.00000000,-4.17924547
Simul_+0deg,0,25.91999817,25.92000008,0.00000000,-4.06658697
Simul_+0deg,0,26.27999878,26.28000259,0.00000000,-3.90845251
Simul_+0deg,0,26.63999939,26.63999557,0.00000000,-3.73904991
Simul_+0deg,0,27.00000000,26.99999809,0.00000000,-3.57172990
Simul_+0deg,0,27.35999870,27.35999870,0.00000000,-3.40650439
Simul_+0deg,0,27.71999931,27.71999931,0.00000000,-3.24337363
Simul_+0deg,0,28.07999802,28.08000183,0.00000000,-3.09419179
Simul_+0deg,0,28.43999863,28.43999672,0.00000000,-2.98591256
Simul_+0deg,0,28.79999924,28.80000305,0.00000000,-2.87545967
Simul_+0deg,0,29.15999794,29.15999794,0.00000000,-2.76307011
Simul_+0deg,0,29.51999664,29.51999664,0.00000000,-2.64895773
Simul_+0deg,0,29.87999916,29.88000298,0.00000000,-2.53332567
Simul_+0deg,0,30.23999786,30.23999786,0.00000000,-2.48006964
Simul_+0deg,0,30.59999657,30.59999657,0.00000000,-2.45560932
Simul_+0deg,0,30.95999908,30.95999908,0.00000000,-2.42778492
Simul_+0deg,0,31.31999779,31.31999779,0.00000000,-2.39666486
Simul_+0deg,0,31.67999649,31.67999268,0.00000000,-2.36231923
