scenario,waypoint,distance_along_m,time_s,median_pair_correlation,median_pair_decorrelation,minimum_pair_decorrelation,maximum_pair_decorrelation
linear_lens,0,0.0,0.0,0.562956,0.437044,0.085343,0.696913
linear_lens,1,0.95,0.95,0.411139,0.588861,0.250964,0.916718
linear_lens,2,1.9,1.9,0.49234,0.50766,0.20706,0.866046
linear_lens,3,2.85,2.85,0.424853,0.575147,0.186112,0.935873
linear_lens,4,3.8,3.8,0.441628,0.558372,0.194631,0.892946
linear_lens,5,4.75,4.75,0.456122,0.543878,0.170932,0.872362
linear_lens,6,5.7,5.7,0.490536,0.509464,0.190018,0.844089
linear_lens,7,6.65,6.65,0.521094,0.478906,0.173529,0.909488
linear_lens,8,7.6,7.6,0.478716,0.521284,0.102027,0.930536
linear_lens,9,8.55,8.55,0.486134,0.513866,0.083526,0.83974
linear_lens,10,9.5,9.5,0.478591,0.521409,0.034599,0.923957
linear_lens,11,10.45,10.45,0.486647,0.513353,0.103871,0.975611
linear_lens,12,11.4,11.4,0.507894,0.492106,0.154134,0.911901
linear_lens,13,12.35,12.35,0.510313,0.489687,0.147648,0.944607
linear_lens,14,13.3,13.3,0.478813,0.521187,0.170971,0.945624
linear_lens,15,14.25,14.25,0.409802,0.590198,0.274086,0.919648
linear_lens,16,15.2,15.2,0.456857,0.543143,0.111256,0.983482
linear_lens,17,16.15,16.15,0.42339,0.57661,0.144965,0.959521
linear_lens,18,17.1,17.1,0.410881,0.589119,0.12262,0.958965
linear_lens,19,18.05,18.05,0.434005,0.565995,0.138873,0.866688
linear_lens,20,19.0,19.0,0.485482,0.514518,0.20397,0.86127
linear_wolens,0,0.0,0.0,0.80651,0.19349,0.033849,0.565165
linear_wolens,1,0.95,0.95,0.652761,0.347239,0.08579,0.690616
linear_wolens,2,1.9,1.9,0.579634,0.420366,0.207358,0.78267
linear_wolens,3,2.85,2.85,0.64846,0.35154,0.155503,0.75189
linear_wolens,4,3.8,3.8,0.579178,0.420822,0.092129,0.821526
linear_wolens,5,4.75,4.75,0.644144,0.355856,0.123992,0.822421
linear_wolens,6,5.7,5.7,0.620051,0.379949,0.180527,0.780855
linear_wolens,7,6.65,6.65,0.563833,0.436167,0.195491,0.789293
linear_wolens,8,7.6,7.6,0.755922,0.244078,0.122655,0.606287
linear_wolens,9,8.55,8.55,0.426205,0.573795,0.304649,0.856239
linear_wolens,10,9.5,9.5,0.555842,0.444158,0.124462,0.817838
linear_wolens,11,10.45,10.45,0.484793,0.515207,0.295115,0.780206
linear_wolens,12,11.4,11.4,0.558637,0.441363,0.239359,0.76904
linear_wolens,13,12.35,12.35,0.605964,0.394036,0.199159,0.657644
linear_wolens,14,13.3,13.3,0.61605,0.38395,0.20963,0.617219
linear_wolens,15,14.25,14.25,0.696543,0.303457,0.100025,0.743094
linear_wolens,16,15.2,15.2,0.622838,0.377162,0.118976,0.779741
linear_wolens,17,16.15,16.15,0.60207,0.39793,0.254626,0.616751
linear_wolens,18,17.1,17.1,0.615197,0.384803,0.203592,0.628732
linear_wolens,19,18.05,18.05,0.592796,0.407204,0.26037,0.677941
linear_wolens,20,19.0,19.0,0.712199,0.287801,0.145563,0.468814
half_lens,0,0.0,0.0,0.441951,0.558049,0.119997,0.81874
half_lens,1,0.785149,0.785149,0.474896,0.525104,0.192641,0.844552
half_lens,2,1.570298,1.570298,0.432673,0.567327,0.187285,0.96959
half_lens,3,2.355447,2.355447,0.456139,0.543861,0.100768,0.9399
half_lens,4,3.140596,3.140596,0.436038,0.563962,0.186668,0.860998
half_lens,5,3.925745,3.925745,0.484717,0.515283,0.122135,0.888089
half_lens,6,4.710894,4.710894,0.477003,0.522997,0.131329,0.91501
half_lens,7,5.496043,5.496043,0.502557,0.497443,0.098585,0.964698
half_lens,8,6.281192,6.281192,0.583135,0.416865,0.138566,0.852079
half_lens,9,7.066341,7.066341,0.464785,0.535215,0.167424,0.898135
half_lens,10,7.85149,7.85149,0.425449,0.574551,0.14024,0.955118
half_lens,11,8.636639,8.636639,0.498743,0.501257,0.157723,0.904943
half_lens,12,9.421788,9.421788,0.523476,0.476524,0.144884,0.926964
half_lens,13,10.206937,10.206937,0.494834,0.505166,0.079047,0.825191
half_lens,14,10.992086,10.992086,0.542256,0.457744,0.125723,0.795316
half_lens,15,11.777235,11.777235,0.591572,0.408428,0.065616,0.946942
half_lens,16,12.562384,12.562384,0.526955,0.473045,0.091624,0.894245
half_lens,17,13.347533,13.347533,0.662612,0.337388,0.07435,0.701248
half_lens,18,14.132682,14.132682,0.750763,0.249237,0.06574,0.792162
half_lens,19,14.91783,14.91783,0.528336,0.471664,0.100809,0.787429
half_lens,20,15.702979,15.702979,0.651848,0.348152,0.108905,0.723663
half_lens,21,16.488128,16.488128,0.572925,0.427075,0.061372,0.86882
half_lens,22,17.273277,17.273277,0.656674,0.343326,0.104815,0.693913
half_lens,23,18.058426,18.058426,0.656775,0.343225,0.116174,0.756046
half_lens,24,18.843575,18.843575,0.622303,0.377697,0.087122,0.836259
half_lens,25,19.628724,19.628724,0.638987,0.361013,0.14877,0.788843
half_lens,26,20.413873,20.413873,0.508155,0.491845,0.150286,0.774286
half_lens,27,21.199022,21.199022,0.511354,0.488646,0.16885,0.949448
half_lens,28,21.984171,21.984171,0.559122,0.440878,0.086259,0.760443
half_lens,29,22.76932,22.76932,0.487763,0.512237,0.12348,0.812187
half_lens,30,23.554469,23.554469,0.492279,0.507721,0.148333,0.950229
half_lens,31,24.339618,24.339618,0.530335,0.469665,0.195551,0.911933
half_lens,32,25.124767,25.124767,0.459167,0.540833,0.190942,0.943711
half_lens,33,25.909916,25.909916,0.479387,0.520613,0.197473,0.911731
half_lens,34,26.695065,26.695065,0.473943,0.526057,0.172077,0.922654
half_lens,35,27.480214,27.480214,0.50194,0.49806,0.12951,0.950153
half_lens,36,28.265363,28.265363,0.46503,0.53497,0.186335,0.845772
half_wolens,0,0.0,0.0,0.626117,0.373883,0.051837,0.800864
half_wolens,1,0.785149,0.785149,0.635254,0.364746,0.070738,0.692063
half_wolens,2,1.570298,1.570298,0.830221,0.169779,0.03632,0.344196
half_wolens,3,2.355447,2.355447,0.803454,0.196546,0.03712,0.471091
half_wolens,4,3.140596,3.140596,0.875682,0.124318,0.042664,0.233562
half_wolens,5,3.925745,3.925745,0.851338,0.148662,0.06713,0.289618
half_wolens,6,4.710894,4.710894,0.922322,0.077678,0.037872,0.152324
half_wolens,7,5.496043,5.496043,0.927047,0.072953,0.041833,0.120718
half_wolens,8,6.281192,6.281192,0.851594,0.148406,0.093167,0.224054
half_wolens,9,7.066341,7.066341,0.888885,0.111115,0.053987,0.151413
half_wolens,10,7.85149,7.85149,0.910847,0.089153,0.059274,0.133371
half_wolens,11,8.636639,8.636639,0.828751,0.171249,0.048071,0.259421
half_wolens,12,9.421788,9.421788,0.886367,0.113633,0.046617,0.192756
half_wolens,13,10.206937,10.206937,0.939259,0.060741,0.029907,0.115676
half_wolens,14,10.992086,10.992086,0.875629,0.124371,0.043397,0.204243
half_wolens,15,11.777235,11.777235,0.933834,0.066166,0.034237,0.107812
half_wolens,16,12.562384,12.562384,0.94399,0.05601,0.017677,0.096587
