scenario,waypoint,distance_along_m,time_s,median_pair_correlation,median_pair_decorrelation,minimum_pair_decorrelation,maximum_pair_decorrelation
full_lens,0,0.0,0.0,0.441951,0.558049,0.119996,0.818681
full_lens,1,0.785149,0.785149,0.474896,0.525104,0.192649,0.84454
full_lens,2,1.570298,1.570298,0.432702,0.567298,0.187207,0.969459
full_lens,3,2.355447,2.355447,0.456151,0.543849,0.100844,0.939928
full_lens,4,3.140596,3.140596,0.436029,0.563971,0.186701,0.861536
full_lens,5,3.925745,3.925745,0.484719,0.515281,0.122135,0.888088
full_lens,6,4.710894,4.710894,0.476996,0.523004,0.131372,0.915009
full_lens,7,5.496043,5.496043,0.502554,0.497446,0.098585,0.96469
full_lens,8,6.281192,6.281192,0.583127,0.416873,0.138571,0.852078
full_lens,9,7.066341,7.066341,0.46479,0.53521,0.167422,0.898135
full_lens,10,7.85149,7.85149,0.425451,0.574549,0.140239,0.955107
full_lens,11,8.636639,8.636639,0.498748,0.501252,0.157719,0.904943
full_lens,12,9.421788,9.421788,0.523474,0.476526,0.144884,0.926952
full_lens,13,10.206937,10.206937,0.494824,0.505176,0.079081,0.82517
full_lens,14,10.992086,10.992086,0.542254,0.457746,0.125723,0.795315
full_lens,15,11.777235,11.777235,0.591572,0.408428,0.065616,0.946941
full_lens,16,12.562384,12.562384,0.526936,0.473064,0.091728,0.894249
full_lens,17,13.347533,13.347533,0.662626,0.337374,0.074349,0.701188
full_lens,18,14.132682,14.132682,0.750753,0.249247,0.065798,0.792173
full_lens,19,14.91783,14.91783,0.528336,0.471664,0.100825,0.787429
full_lens,20,15.702979,15.702979,0.651847,0.348153,0.108908,0.723648
full_lens,21,16.488128,16.488128,0.572929,0.427071,0.061372,0.868821
full_lens,22,17.273277,17.273277,0.656672,0.343328,0.10482,0.693917
full_lens,23,18.058426,18.058426,0.656931,0.343069,0.116176,0.75521
full_lens,24,18.843575,18.843575,0.622302,0.377698,0.087138,0.836259
full_lens,25,19.628724,19.628724,0.638987,0.361013,0.148763,0.788883
full_lens,26,20.413873,20.413873,0.508303,0.491697,0.150291,0.774307
full_lens,27,21.199022,21.199022,0.511366,0.488634,0.168852,0.949481
full_lens,28,21.984171,21.984171,0.559122,0.440878,0.086259,0.760428
full_lens,29,22.76932,22.76932,0.487768,0.512232,0.123491,0.812161
full_lens,30,23.554469,23.554469,0.492275,0.507725,0.148376,0.9502
full_lens,31,24.339618,24.339618,0.530336,0.469664,0.195549,0.911933
full_lens,32,25.124767,25.124767,0.459167,0.540833,0.190942,0.943711
full_lens,33,25.909916,25.909916,0.479403,0.520597,0.197375,0.91156
full_lens,34,26.695065,26.695065,0.473945,0.526055,0.17208,0.922653
full_lens,35,27.480214,27.480214,0.501943,0.498057,0.129501,0.95015
full_lens,36,28.265363,28.265363,0.465035,0.534965,0.186336,0.845771
full_lens,37,29.050512,29.050512,0.480069,0.519931,0.193536,0.912058
full_lens,38,29.835661,29.835661,0.423739,0.576261,0.125839,0.870941
full_lens,39,30.62081,30.62081,0.405976,0.594024,0.165162,0.870484
full_lens,40,31.405959,31.405959,0.394326,0.605674,0.226748,0.953192
full_lens,41,32.191108,32.191108,0.415947,0.584053,0.210226,0.964793
full_lens,42,32.976257,32.976257,0.468982,0.531018,0.204938,0.877857
full_lens,43,33.761406,33.761406,0.47448,0.52552,0.145964,0.880442
full_lens,44,34.546555,34.546555,0.543081,0.456919,0.072195,0.945016
full_lens,45,35.331704,35.331704,0.612894,0.387106,0.091868,0.822416
full_lens,46,36.116853,36.116853,0.540787,0.459213,0.114602,0.855277
full_lens,47,36.902002,36.902002,0.618594,0.381406,0.068714,0.858509
full_lens,48,37.687151,37.687151,0.699658,0.300342,0.060425,0.715464
full_lens,49,38.4723,38.4723,0.759055,0.240945,0.045906,0.661951
full_lens,50,39.257449,39.257449,0.77953,0.22047,0.043441,0.572979
full_lens,51,40.042598,40.042598,0.713841,0.286159,0.040818,0.684498
full_lens,52,40.827747,40.827747,0.614267,0.385733,0.073654,0.940095
full_lens,53,41.612896,41.612896,0.894907,0.105093,0.011385,0.24032
full_lens,54,42.398045,42.398045,0.999904,9.6e-05,8e-06,0.000306
full_lens,55,43.183193,43.183193,0.741079,0.258921,0.047185,0.547551
full_lens,56,43.968342,43.968342,0.61862,0.38138,0.108902,0.876582
full_lens,57,44.753491,44.753491,0.553241,0.446759,0.086442,0.959549
full_lens,58,45.53864,45.53864,0.560017,0.439983,0.147091,0.759937
full_lens,59,46.323789,46.323789,0.454886,0.545114,0.148936,0.907839
full_lens,60,47.108938,47.108938,0.51113,0.48887,0.188446,0.866403
full_lens,61,47.894087,47.894087,0.461182,0.538818,0.20469,0.922768
full_lens,62,48.679236,48.679236,0.419746,0.580254,0.148327,0.900341
full_lens,63,49.464385,49.464385,0.47895,0.52105,0.13113,0.891547
full_lens,64,50.249534,50.249534,0.458993,0.541007,0.168743,0.922607
full_lens,65,51.034683,51.034683,0.441892,0.558108,0.133048,0.93505
full_lens,66,51.819832,51.819832,0.412923,0.587077,0.160512,0.957672
full_lens,67,52.604981,52.604981,0.485348,0.514652,0.141761,0.878789
full_lens,68,53.39013,53.39013,0.423848,0.576152,0.167609,0.961699
full_lens,69,54.175279,54.175279,0.396271,0.603729,0.177493,0.916131
full_lens,70,54.960428,54.960428,0.424069,0.575931,0.176836,0.863646
full_lens,71,55.745577,55.745577,0.437706,0.562294,0.123277,0.808148
full_lens,72,56.530726,56.530726,0.441952,0.558048,0.119998,0.818677
