scenario,waypoint,distance_along_m,time_s,median_pair_correlation,median_pair_decorrelation,minimum_pair_decorrelation,maximum_pair_decorrelation
full_wolens,0,0.0,0.0,0.626119,0.373881,0.051838,0.800865
full_wolens,1,0.785149,0.785149,0.635225,0.364775,0.070752,0.691933
full_wolens,2,1.570298,1.570298,0.830209,0.169791,0.036449,0.344519
full_wolens,3,2.355447,2.355447,0.803465,0.196535,0.037125,0.471026
full_wolens,4,3.140596,3.140596,0.875683,0.124317,0.04265,0.233579
full_wolens,5,3.925745,3.925745,0.851336,0.148664,0.06713,0.289618
full_wolens,6,4.710894,4.710894,0.922325,0.077675,0.03787,0.152319
full_wolens,7,5.496043,5.496043,0.927047,0.072953,0.041834,0.120722
full_wolens,8,6.281192,6.281192,0.851595,0.148405,0.093174,0.224054
full_wolens,9,7.066341,7.066341,0.888886,0.111114,0.053987,0.151435
full_wolens,10,7.85149,7.85149,0.910846,0.089154,0.059274,0.133407
full_wolens,11,8.636639,8.636639,0.82875,0.17125,0.048071,0.259421
full_wolens,12,9.421788,9.421788,0.886365,0.113635,0.046616,0.19275
full_wolens,13,10.206937,10.206937,0.939259,0.060741,0.029908,0.115676
full_wolens,14,10.992086,10.992086,0.875641,0.124359,0.043395,0.204243
full_wolens,15,11.777235,11.777235,0.933829,0.066171,0.034249,0.10793
full_wolens,16,12.562384,12.562384,0.943988,0.056012,0.017685,0.096587
full_wolens,17,13.347533,13.347533,0.939051,0.060949,0.011792,0.111753
full_wolens,18,14.132682,14.132682,0.964078,0.035922,0.007283,0.098102
full_wolens,19,14.91783,14.91783,0.928632,0.071368,0.015532,0.121158
full_wolens,20,15.702979,15.702979,0.876691,0.123309,0.050725,0.217191
full_wolens,21,16.488128,16.488128,0.81072,0.18928,0.050566,0.340079
full_wolens,22,17.273277,17.273277,0.837116,0.162884,0.024693,0.300487
full_wolens,23,18.058426,18.058426,0.781946,0.218054,0.098153,0.403257
full_wolens,24,18.843575,18.843575,0.735742,0.264258,0.032875,0.475743
full_wolens,25,19.628724,19.628724,0.836134,0.163866,0.076655,0.263242
full_wolens,26,20.413873,20.413873,0.737645,0.262355,0.192029,0.392833
full_wolens,27,21.199022,21.199022,0.679426,0.320574,0.176419,0.477236
full_wolens,28,21.984171,21.984171,0.758921,0.241079,0.116596,0.398532
full_wolens,29,22.76932,22.76932,0.624798,0.375202,0.177273,0.552356
full_wolens,30,23.554469,23.554469,0.681673,0.318327,0.098832,0.723572
full_wolens,31,24.339618,24.339618,0.783722,0.216278,0.123789,0.446725
full_wolens,32,25.124767,25.124767,0.536014,0.463986,0.241786,0.906749
full_wolens,33,25.909916,25.909916,0.611381,0.388619,0.231776,0.651529
full_wolens,34,26.695065,26.695065,0.53805,0.46195,0.246735,0.713117
full_wolens,35,27.480214,27.480214,0.587048,0.412952,0.206149,0.705567
full_wolens,36,28.265363,28.265363,0.711827,0.288173,0.120547,0.601759
full_wolens,37,29.050512,29.050512,0.627818,0.372182,0.173568,0.679781
full_wolens,38,29.835661,29.835661,0.654281,0.345719,0.156175,0.670939
full_wolens,39,30.62081,30.62081,0.650182,0.349818,0.131236,0.636831
full_wolens,40,31.405959,31.405959,0.635518,0.364482,0.101892,0.685846
full_wolens,41,32.191108,32.191108,0.632556,0.367444,0.072639,0.757233
full_wolens,42,32.976257,32.976257,0.564634,0.435366,0.0715,0.938142
full_wolens,43,33.761406,33.761406,0.584603,0.415397,0.05946,0.809549
full_wolens,44,34.546555,34.546555,0.608626,0.391374,0.065863,0.838739
full_wolens,45,35.331704,35.331704,0.721051,0.278949,0.031553,0.569384
full_wolens,46,36.116853,36.116853,0.773341,0.226659,0.035462,0.425808
full_wolens,47,36.902002,36.902002,0.837986,0.162014,0.01381,0.299989
full_wolens,48,37.687151,37.687151,0.857633,0.142367,0.01273,0.221944
full_wolens,49,38.4723,38.4723,0.861343,0.138657,0.024731,0.249779
full_wolens,50,39.257449,39.257449,0.806513,0.193487,0.021724,0.358724
full_wolens,51,40.042598,40.042598,0.630106,0.369894,0.020821,0.718816
full_wolens,52,40.827747,40.827747,0.61005,0.38995,0.114875,0.772117
full_wolens,53,41.612896,41.612896,0.906927,0.093073,0.011891,0.178378
full_wolens,54,42.398045,42.398045,0.522636,0.477364,1e-06,0.950282
full_wolens,55,43.183193,43.183193,0.794133,0.205867,0.03047,0.382543
full_wolens,56,43.968342,43.968342,0.550176,0.449824,0.107175,0.697306
full_wolens,57,44.753491,44.753491,0.474017,0.525983,0.15995,0.846797
full_wolens,58,45.53864,45.53864,0.484669,0.515331,0.23885,0.904583
full_wolens,59,46.323789,46.323789,0.501769,0.498231,0.09475,0.847039
full_wolens,60,47.108938,47.108938,0.649734,0.350266,0.072806,0.574235
full_wolens,61,47.894087,47.894087,0.724233,0.275767,0.131693,0.486698
full_wolens,62,48.679236,48.679236,0.753756,0.246244,0.129674,0.456436
full_wolens,63,49.464385,49.464385,0.715241,0.284759,0.130491,0.413464
full_wolens,64,50.249534,50.249534,0.771943,0.228057,0.088649,0.40767
full_wolens,65,51.034683,51.034683,0.548768,0.451232,0.119422,0.736898
full_wolens,66,51.819832,51.819832,0.505926,0.494074,0.104633,0.870872
full_wolens,67,52.604981,52.604981,0.512042,0.487958,0.081027,0.915659
full_wolens,68,53.39013,53.39013,0.475109,0.524891,0.084913,0.946113
full_wolens,69,54.175279,54.175279,0.519418,0.480582,0.078486,0.889623
full_wolens,70,54.960428,54.960428,0.577693,0.422307,0.060945,0.818635
full_wolens,71,55.745577,55.745577,0.59126,0.40874,0.067927,0.831085
full_wolens,72,56.530726,56.530726,0.626122,0.373878,0.051838,0.800857
