scenario,waypoint,distance_along_m,time_s,median_pair_correlation,median_pair_decorrelation,minimum_pair_decorrelation,maximum_pair_decorrelation
half_lens,0,0.0,0.0,0.441951,0.558049,0.119997,0.81874
half_lens,1,0.785149,0.785149,0.474896,0.525104,0.192641,0.844552
half_lens,2,1.570298,1.570298,0.432673,0.567327,0.187285,0.96959
half_lens,3,2.355447,2.355447,0.456139,0.543861,0.100768,0.9399
half_lens,4,3.140596,3.140596,0.436038,0.563962,0.186668,0.860998
half_lens,5,3.925745,3.925745,0.484717,0.515283,0.122135,0.888089
half_lens,6,4.710894,4.710894,0.477003,0.522997,0.131329,0.91501
half_lens,7,5.496043,5.496043,0.502557,0.497443,0.098585,0.964698
half_lens,8,6.281192,6.281192,0.583135,0.416865,0.138566,0.852079
half_lens,9,7.066341,7.066341,0.464785,0.535215,0.167424,0.898135
half_lens,10,7.85149,7.85149,0.425449,0.574551,0.14024,0.955118
half_lens,11,8.636639,8.636639,0.498743,0.501257,0.157723,0.904943
half_lens,12,9.421788,9.421788,0.523476,0.476524,0.144884,0.926964
half_lens,13,10.206937,10.206937,0.494834,0.505166,0.079047,0.825191
half_lens,14,10.992086,10.992086,0.542256,0.457744,0.125723,0.795316
half_lens,15,11.777235,11.777235,0.591572,0.408428,0.065616,0.946942
half_lens,16,12.562384,12.562384,0.526955,0.473045,0.091624,0.894245
half_lens,17,13.347533,13.347533,0.662612,0.337388,0.07435,0.701248
half_lens,18,14.132682,14.132682,0.750763,0.249237,0.06574,0.792162
half_lens,19,14.91783,14.91783,0.528336,0.471664,0.100809,0.787429
half_lens,20,15.702979,15.702979,0.651848,0.348152,0.108905,0.723663
half_lens,21,16.488128,16.488128,0.572925,0.427075,0.061372,0.86882
half_lens,22,17.273277,17.273277,0.656674,0.343326,0.104815,0.693913
half_lens,23,18.058426,18.058426,0.656775,0.343225,0.116174,0.756046
half_lens,24,18.843575,18.843575,0.622303,0.377697,0.087122,0.836259
half_lens,25,19.628724,19.628724,0.638987,0.361013,0.14877,0.788843
half_lens,26,20.413873,20.413873,0.508155,0.491845,0.150286,0.774286
half_lens,27,21.199022,21.199022,0.511354,0.488646,0.16885,0.949448
half_lens,28,21.984171,21.984171,0.559122,0.440878,0.086259,0.760443
half_lens,29,22.76932,22.76932,0.487763,0.512237,0.12348,0.812187
half_lens,30,23.554469,23.554469,0.492279,0.507721,0.148333,0.950229
half_lens,31,24.339618,24.339618,0.530335,0.469665,0.195551,0.911933
half_lens,32,25.124767,25.124767,0.459167,0.540833,0.190942,0.943711
half_lens,33,25.909916,25.909916,0.479387,0.520613,0.197473,0.911731
half_lens,34,26.695065,26.695065,0.473943,0.526057,0.172077,0.922654
half_lens,35,27.480214,27.480214,0.50194,0.49806,0.12951,0.950153
half_lens,36,28.265363,28.265363,0.46503,0.53497,0.186335,0.845772
