scenario,waypoint,distance_along_m,time_s,median_pair_correlation,median_pair_decorrelation,minimum_pair_decorrelation,maximum_pair_decorrelation
half_wolens,0,0.0,0.0,0.626117,0.373883,0.051837,0.800864
half_wolens,1,0.785149,0.785149,0.635254,0.364746,0.070738,0.692063
half_wolens,2,1.570298,1.570298,0.830221,0.169779,0.03632,0.344196
half_wolens,3,2.355447,2.355447,0.803454,0.196546,0.03712,0.471091
half_wolens,4,3.140596,3.140596,0.875682,0.124318,0.042664,0.233562
half_wolens,5,3.925745,3.925745,0.851338,0.148662,0.06713,0.289618
half_wolens,6,4.710894,4.710894,0.922322,0.077678,0.037872,0.152324
half_wolens,7,5.496043,5.496043,0.927047,0.072953,0.041833,0.120718
half_wolens,8,6.281192,6.281192,0.851594,0.148406,0.093167,0.224054
half_wolens,9,7.066341,7.066341,0.888885,0.111115,0.053987,0.151413
half_wolens,10,7.85149,7.85149,0.910847,0.089153,0.059274,0.133371
half_wolens,11,8.636639,8.636639,0.828751,0.171249,0.048071,0.259421
half_wolens,12,9.421788,9.421788,0.886367,0.113633,0.046617,0.192756
half_wolens,13,10.206937,10.206937,0.939259,0.060741,0.029907,0.115676
half_wolens,14,10.992086,10.992086,0.875629,0.124371,0.043397,0.204243
half_wolens,15,11.777235,11.777235,0.933834,0.066166,0.034237,0.107812
half_wolens,16,12.562384,12.562384,0.94399,0.05601,0.017677,0.096587
half_wolens,17,13.347533,13.347533,0.939051,0.060949,0.011787,0.111778
half_wolens,18,14.132682,14.132682,0.964079,0.035921,0.007279,0.098106
half_wolens,19,14.91783,14.91783,0.928641,0.071359,0.01555,0.12116
half_wolens,20,15.702979,15.702979,0.876687,0.123313,0.050718,0.217222
half_wolens,21,16.488128,16.488128,0.810719,0.189281,0.050639,0.340073
half_wolens,22,17.273277,17.273277,0.837115,0.162885,0.024693,0.300487
half_wolens,23,18.058426,18.058426,0.781946,0.218054,0.098153,0.403257
half_wolens,24,18.843575,18.843575,0.735744,0.264256,0.032873,0.475728
half_wolens,25,19.628724,19.628724,0.836157,0.163843,0.07666,0.263264
half_wolens,26,20.413873,20.413873,0.737646,0.262354,0.192006,0.392835
half_wolens,27,21.199022,21.199022,0.679414,0.320586,0.17641,0.477283
half_wolens,28,21.984171,21.984171,0.758923,0.241077,0.116583,0.398532
half_wolens,29,22.76932,22.76932,0.624791,0.375209,0.177268,0.552358
half_wolens,30,23.554469,23.554469,0.681646,0.318354,0.098969,0.723529
half_wolens,31,24.339618,24.339618,0.783724,0.216276,0.12378,0.446725
half_wolens,32,25.124767,25.124767,0.536021,0.463979,0.241787,0.906617
half_wolens,33,25.909916,25.909916,0.611375,0.388625,0.231793,0.651203
half_wolens,34,26.695065,26.695065,0.538063,0.461937,0.246739,0.713228
half_wolens,35,27.480214,27.480214,0.587031,0.412969,0.206399,0.70557
half_wolens,36,28.265363,28.265363,0.711843,0.288157,0.120553,0.601754
