scenario,waypoint,distance_along_m,time_s,median_pair_correlation,median_pair_decorrelation,minimum_pair_decorrelation,maximum_pair_decorrelation
linear_lens,0,0.0,0.0,0.562956,0.437044,0.085343,0.696913
linear_lens,1,0.95,0.95,0.411139,0.588861,0.250964,0.916718
linear_lens,2,1.9,1.9,0.49234,0.50766,0.20706,0.866046
linear_lens,3,2.85,2.85,0.424853,0.575147,0.186112,0.935873
linear_lens,4,3.8,3.8,0.441628,0.558372,0.194631,0.892946
linear_lens,5,4.75,4.75,0.456122,0.543878,0.170932,0.872362
linear_lens,6,5.7,5.7,0.490536,0.509464,0.190018,0.844089
linear_lens,7,6.65,6.65,0.521094,0.478906,0.173529,0.909488
linear_lens,8,7.6,7.6,0.478716,0.521284,0.102027,0.930536
linear_lens,9,8.55,8.55,0.486134,0.513866,0.083526,0.83974
linear_lens,10,9.5,9.5,0.478591,0.521409,0.034599,0.923957
linear_lens,11,10.45,10.45,0.486647,0.513353,0.103871,0.975611
linear_lens,12,11.4,11.4,0.507894,0.492106,0.154134,0.911901
linear_lens,13,12.35,12.35,0.510313,0.489687,0.147648,0.944607
linear_lens,14,13.3,13.3,0.478813,0.521187,0.170971,0.945624
linear_lens,15,14.25,14.25,0.409802,0.590198,0.274086,0.919648
linear_lens,16,15.2,15.2,0.456857,0.543143,0.111256,0.983482
linear_lens,17,16.15,16.15,0.42339,0.57661,0.144965,0.959521
linear_lens,18,17.1,17.1,0.410881,0.589119,0.12262,0.958965
linear_lens,19,18.05,18.05,0.434005,0.565995,0.138873,0.866688
linear_lens,20,19.0,19.0,0.485482,0.514518,0.20397,0.86127
