scenario,waypoint,distance_along_m,time_s,median_pair_correlation,median_pair_decorrelation,minimum_pair_decorrelation,maximum_pair_decorrelation
linear_wolens,0,0.0,0.0,0.80651,0.19349,0.033849,0.565165
linear_wolens,1,0.95,0.95,0.652761,0.347239,0.08579,0.690616
linear_wolens,2,1.9,1.9,0.579634,0.420366,0.207358,0.78267
linear_wolens,3,2.85,2.85,0.64846,0.35154,0.155503,0.75189
linear_wolens,4,3.8,3.8,0.579178,0.420822,0.092129,0.821526
linear_wolens,5,4.75,4.75,0.644144,0.355856,0.123992,0.822421
linear_wolens,6,5.7,5.7,0.620051,0.379949,0.180527,0.780855
linear_wolens,7,6.65,6.65,0.563833,0.436167,0.195491,0.789293
linear_wolens,8,7.6,7.6,0.755922,0.244078,0.122655,0.606287
linear_wolens,9,8.55,8.55,0.426205,0.573795,0.304649,0.856239
linear_wolens,10,9.5,9.5,0.555842,0.444158,0.124462,0.817838
linear_wolens,11,10.45,10.45,0.484793,0.515207,0.295115,0.780206
linear_wolens,12,11.4,11.4,0.558637,0.441363,0.239359,0.76904
linear_wolens,13,12.35,12.35,0.605964,0.394036,0.199159,0.657644
linear_wolens,14,13.3,13.3,0.61605,0.38395,0.20963,0.617219
linear_wolens,15,14.25,14.25,0.696543,0.303457,0.100025,0.743094
linear_wolens,16,15.2,15.2,0.622838,0.377162,0.118976,0.779741
linear_wolens,17,16.15,16.15,0.60207,0.39793,0.254626,0.616751
linear_wolens,18,17.1,17.1,0.615197,0.384803,0.203592,0.628732
linear_wolens,19,18.05,18.05,0.592796,0.407204,0.26037,0.677941
linear_wolens,20,19.0,19.0,0.712199,0.287801,0.145563,0.468814
