scenario,waypoint,distance_along_m,time_s,cond_median,cond_median_db,erank_median,capacity_10db
linear_lens,0,0.0,0.0,72.699887,37.230675,3.240796,18.805384
linear_lens,1,0.95,0.95,51.715368,34.272392,3.720231,20.061278
linear_lens,2,1.9,1.9,49.45722,33.884594,3.889464,20.602467
linear_lens,3,2.85,2.85,48.155838,33.652979,3.863838,20.195806
linear_lens,4,3.8,3.8,48.932106,33.791878,4.301744,21.534757
linear_lens,5,4.75,4.75,46.855763,33.41526,4.311202,21.570756
linear_lens,6,5.7,5.7,44.424712,32.952492,3.866016,20.588877
linear_lens,7,6.65,6.65,44.025395,32.874065,3.848922,20.576138
linear_lens,8,7.6,7.6,50.698499,34.099902,3.408793,19.674853
linear_lens,9,8.55,8.55,66.801763,36.495759,2.678811,17.420565
linear_lens,10,9.5,9.5,154.643721,43.786646,2.087086,14.47798
linear_lens,11,10.45,10.45,66.277112,36.427272,2.702299,17.249924
linear_lens,12,11.4,11.4,54.669594,34.754917,3.356215,19.067533
linear_lens,13,12.35,12.35,40.003104,32.041874,3.978019,21.132627
linear_lens,14,13.3,13.3,38.746635,31.76468,4.147872,21.396499
linear_lens,15,14.25,14.25,43.78664,32.826832,4.259004,21.417098
linear_lens,16,15.2,15.2,44.880924,33.041236,4.2479,21.589537
linear_lens,17,16.15,16.15,51.841475,34.293547,4.169999,20.941889
linear_lens,18,17.1,17.1,44.267994,32.921797,4.179079,20.957545
linear_lens,19,18.05,18.05,51.377428,34.215447,4.076903,20.96701
linear_lens,20,19.0,19.0,39.282744,31.884036,4.295514,21.616995
linear_wolens,0,0.0,0.0,136.416748,42.697354,2.86083,16.188242
linear_wolens,1,0.95,0.95,113.715183,41.116369,3.330013,17.759491
linear_wolens,2,1.9,1.9,78.750722,37.925091,3.71881,19.460924
linear_wolens,3,2.85,2.85,112.454003,41.019498,3.814448,19.623593
linear_wolens,4,3.8,3.8,137.475253,42.764491,3.78574,19.74294
linear_wolens,5,4.75,4.75,237.53317,47.514485,3.51223,18.974265
linear_wolens,6,5.7,5.7,448.708975,53.039295,3.822909,19.621165
linear_wolens,7,6.65,6.65,278.5212,48.897165,3.706353,19.494561
linear_wolens,8,7.6,7.6,311.418597,49.866891,2.638332,16.531341
linear_wolens,9,8.55,8.55,283.006956,49.035942,2.817328,17.095453
linear_wolens,10,9.5,9.5,233.547812,47.367516,1.868662,13.450759
linear_wolens,11,10.45,10.45,329.430145,50.355267,2.48657,16.174617
linear_wolens,12,11.4,11.4,415.798701,52.377663,2.568161,16.683399
linear_wolens,13,12.35,12.35,486.617485,53.743754,3.128503,18.279614
linear_wolens,14,13.3,13.3,507.280274,54.104959,2.999205,17.62578
linear_wolens,15,14.25,14.25,264.73126,48.456105,3.03018,17.439441
linear_wolens,16,15.2,15.2,90.464828,39.129595,3.263265,18.22897
linear_wolens,17,16.15,16.15,83.133884,38.395561,3.598713,19.573409
linear_wolens,18,17.1,17.1,58.899786,35.402274,3.8159,20.098083
linear_wolens,19,18.05,18.05,50.157624,34.006739,3.946634,20.325384
linear_wolens,20,19.0,19.0,59.177882,35.443188,3.670634,19.441816
half_lens,0,0.0,0.0,54.502219,34.728284,3.47207,19.501181
half_lens,1,0.785149,0.785149,68.809576,36.752978,3.324891,18.972399
half_lens,2,1.570298,1.570298,84.57383,38.54472,2.777037,17.569983
half_lens,3,2.355447,2.355447,57.37969,35.175164,3.347529,19.270992
half_lens,4,3.140596,3.140596,62.042911,35.853843,3.237656,19.000082
half_lens,5,3.925745,3.925745,87.162682,38.806612,2.792886,17.552429
half_lens,6,4.710894,4.710894,60.082078,35.574899,3.078254,18.557889
half_lens,7,5.496043,5.496043,50.69878,34.09995,3.420015,19.834391
half_lens,8,6.281192,6.281192,61.66829,35.801238,3.341809,19.52736
