scenario,waypoint,distance_along_m,time_s,cond_median,cond_median_db,erank_median,capacity_10db
full_lens,0,0.0,0.0,54.402436,34.712367,3.471723,19.501214
full_lens,1,0.785149,0.785149,68.831814,36.755784,3.32512,18.972349
full_lens,2,1.570298,1.570298,84.545189,38.541778,2.776714,17.570008
full_lens,3,2.355447,2.355447,57.574407,35.204589,3.347527,19.27092
full_lens,4,3.140596,3.140596,62.18626,35.873889,3.237786,19.000216
full_lens,5,3.925745,3.925745,87.282456,38.818539,2.792954,17.552471
full_lens,6,4.710894,4.710894,60.161606,35.586388,3.078532,18.558109
full_lens,7,5.496043,5.496043,50.636297,34.089239,3.419986,19.834532
full_lens,8,6.281192,6.281192,61.663179,35.800518,3.341569,19.52744
full_lens,9,7.066341,7.066341,60.567261,35.644759,3.361926,19.19157
full_lens,10,7.85149,7.85149,77.74453,37.813397,3.049111,18.606815
full_lens,11,8.636639,8.636639,63.664092,36.077891,3.436883,19.6415
full_lens,12,9.421788,9.421788,45.858965,33.228485,3.646855,20.38399
full_lens,13,10.206937,10.206937,46.363377,33.323501,3.774396,20.656396
full_lens,14,10.992086,10.992086,45.472775,33.155029,3.640162,20.256437
full_lens,15,11.777235,11.777235,52.511576,34.405101,3.570417,20.041759
full_lens,16,12.562384,12.562384,62.990203,35.98546,3.425505,19.668899
full_lens,17,13.347533,13.347533,70.396469,36.951018,3.297748,19.476426
full_lens,18,14.132682,14.132682,51.558499,34.246005,3.351531,19.390904
full_lens,19,14.91783,14.91783,40.032674,32.048292,3.433702,20.074269
full_lens,20,15.702979,15.702979,41.861953,32.43639,3.462068,19.821238
full_lens,21,16.488128,16.488128,53.672298,34.595004,3.539126,20.175152
full_lens,22,17.273277,17.273277,60.512284,35.636871,3.465059,19.980419
full_lens,23,18.058426,18.058426,60.006181,35.56392,3.237076,19.288992
full_lens,24,18.843575,18.843575,54.764942,34.770053,3.198591,19.153977
full_lens,25,19.628724,19.628724,67.353953,36.567262,3.040169,18.587119
full_lens,26,20.413873,20.413873,61.45045,35.770501,3.140458,18.495965
full_lens,27,21.199022,21.199022,70.323133,36.941964,3.230063,19.175926
full_lens,28,21.984171,21.984171,46.45072,33.339849,3.449323,20.032259
full_lens,29,22.76932,22.76932,46.9656,33.435597,3.595042,20.322
full_lens,30,23.554469,23.554469,60.855163,35.685949,3.532819,19.845436
full_lens,31,24.339618,24.339618,78.088221,37.851711,3.128598,18.451851
full_lens,32,25.124767,25.124767,55.418575,34.873107,3.673037,20.089898
full_lens,33,25.909916,25.909916,47.181893,33.475507,4.091691,21.056323
full_lens,34,26.695065,26.695065,67.365029,36.56869,3.558265,19.734874
full_lens,35,27.480214,27.480214,53.071859,34.497286,4.040871,20.942234
full_lens,36,28.265363,28.265363,51.712454,34.271903,4.150159,21.348342
full_lens,37,29.050512,29.050512,36.993858,31.362593,4.184623,21.517263
full_lens,38,29.835661,29.835661,39.055651,31.833678,4.202796,21.472542
full_lens,39,30.62081,30.62081,41.403522,32.340746,4.135029,21.253607
full_lens,40,31.405959,31.405959,42.846711,32.63835,4.020828,20.948777
full_lens,41,32.191108,32.191108,45.180476,33.099016,3.740944,20.297399
full_lens,42,32.976257,32.976257,51.55899,34.246088,3.487765,19.705635
full_lens,43,33.761406,33.761406,53.018132,34.488488,3.504228,19.610064
full_lens,44,34.546555,34.546555,53.12138,34.505387,3.745425,20.045948
full_lens,45,35.331704,35.331704,79.669664,38.02586,3.265836,18.873081
full_lens,46,36.116853,36.116853,78.725415,37.922299,2.841683,17.4646
full_lens,47,36.902002,36.902002,81.937946,38.269701,2.504419,16.625136
full_lens,48,37.687151,37.687151,109.941966,40.82327,2.629025,16.915644
full_lens,49,38.4723,38.4723,81.942454,38.270179,3.148997,18.755406
full_lens,50,39.257449,39.257449,61.247174,35.741721,3.738961,20.361111
full_lens,51,40.042598,40.042598,68.805203,36.752426,3.693108,19.863051
full_lens,52,40.827747,40.827747,72.748677,37.236502,3.296829,18.278944
full_lens,53,41.612896,41.612896,144.27971,43.184105,1.938576,13.873709
full_lens,54,42.398045,42.398045,2204.421941,66.865894,1.012737,6.695484
full_lens,55,43.183193,43.183193,155.17736,43.816567,1.880291,13.180476
full_lens,56,43.968342,43.968342,70.815688,37.00259,3.12701,17.508777
full_lens,57,44.753491,44.753491,58.155496,35.291815,3.40125,19.344963
full_lens,58,45.53864,45.53864,48.911333,33.78819,3.822113,20.688283
full_lens,59,46.323789,46.323789,62.908005,35.974118,3.895231,20.402735
full_lens,60,47.108938,47.108938,50.094421,33.995787,3.689132,20.0469
full_lens,61,47.894087,47.894087,58.595543,35.357292,3.380522,19.20474
full_lens,62,48.679236,48.679236,51.986537,34.317818,3.235327,18.960415
full_lens,63,49.464385,49.464385,67.568455,36.59488,2.872809,17.976174
full_lens,64,50.249534,50.249534,70.420703,36.954007,3.07907,18.391196
full_lens,65,51.034683,51.034683,59.81405,35.536064,2.952419,18.116724
full_lens,66,51.819832,51.819832,62.722166,35.948421,2.894851,18.069731
full_lens,67,52.604981,52.604981,72.014695,37.148422,2.892237,18.250194
full_lens,68,53.39013,53.39013,60.709437,35.665124,3.13213,18.752155
full_lens,69,54.175279,54.175279,65.330409,36.302308,3.093924,18.804225
full_lens,70,54.960428,54.960428,51.960047,34.313391,3.382336,19.373856
full_lens,71,55.745577,55.745577,54.774654,34.771593,3.701056,19.677717
full_lens,72,56.530726,56.530726,54.467129,34.72269,3.472188,19.501436
