scenario,waypoint,distance_along_m,time_s,cond_median,cond_median_db,erank_median,capacity_10db
full_wolens,0,0.0,0.0,135.773758,42.656317,3.088936,17.358588
full_wolens,1,0.785149,0.785149,118.193006,41.451836,3.158765,17.21504
full_wolens,2,1.570298,1.570298,117.112925,41.372097,3.016237,17.224457
full_wolens,3,2.355447,2.355447,130.359426,42.302849,3.378416,17.711442
full_wolens,4,3.140596,3.140596,126.397677,42.034782,3.524306,18.348981
full_wolens,5,3.925745,3.925745,157.460647,43.943441,3.437724,17.730923
full_wolens,6,4.710894,4.710894,279.674993,48.933073,3.485089,18.304372
full_wolens,7,5.496043,5.496043,185.550935,45.369263,3.593082,18.660367
full_wolens,8,6.281192,6.281192,190.924011,45.617211,3.592417,18.548148
full_wolens,9,7.066341,7.066341,159.336633,44.046313,3.647993,18.864527
full_wolens,10,7.85149,7.85149,151.845101,43.628016,3.714027,18.980976
full_wolens,11,8.636639,8.636639,116.0653,41.294048,3.805171,19.533401
full_wolens,12,9.421788,9.421788,85.460852,38.635344,3.855156,19.50779
full_wolens,13,10.206937,10.206937,155.490446,43.834074,4.078296,20.013128
full_wolens,14,10.992086,10.992086,395.38458,51.940395,3.799443,19.186489
full_wolens,15,11.777235,11.777235,746.885953,57.465086,3.806564,18.897255
full_wolens,16,12.562384,12.562384,805.126281,58.11728,3.460996,17.702825
full_wolens,17,13.347533,13.347533,1045.365781,60.385366,3.308463,17.15868
full_wolens,18,14.132682,14.132682,654.862306,56.323,3.327748,17.19402
full_wolens,19,14.91783,14.91783,666.70601,56.478687,3.356067,17.356158
full_wolens,20,15.702979,15.702979,617.43907,55.811882,3.589999,18.247817
full_wolens,21,16.488128,16.488128,367.966253,51.31616,3.980354,19.810643
full_wolens,22,17.273277,17.273277,251.80983,48.021454,4.116532,20.309312
full_wolens,23,18.058426,18.058426,154.618097,43.785206,4.033607,20.110955
full_wolens,24,18.843575,18.843575,91.007405,39.181535,4.128394,20.371591
full_wolens,25,19.628724,19.628724,96.52189,39.692516,4.082558,20.441687
full_wolens,26,20.413873,20.413873,118.787097,41.495385,3.876356,19.895981
