scenario,waypoint,distance_along_m,time_s,cond_median,cond_median_db,erank_median,capacity_10db
half_lens,0,0.0,0.0,54.502219,34.728284,3.47207,19.501181
half_lens,1,0.785149,0.785149,68.809576,36.752978,3.324891,18.972399
half_lens,2,1.570298,1.570298,84.57383,38.54472,2.777037,17.569983
half_lens,3,2.355447,2.355447,57.37969,35.175164,3.347529,19.270992
half_lens,4,3.140596,3.140596,62.042911,35.853843,3.237656,19.000082
half_lens,5,3.925745,3.925745,87.162682,38.806612,2.792886,17.552429
half_lens,6,4.710894,4.710894,60.082078,35.574899,3.078254,18.557889
half_lens,7,5.496043,5.496043,50.69878,34.09995,3.420015,19.834391
half_lens,8,6.281192,6.281192,61.66829,35.801238,3.341809,19.52736
half_lens,9,7.066341,7.066341,60.535339,35.64018,3.362196,19.191653
half_lens,10,7.85149,7.85149,77.539405,37.790449,3.048817,18.606408
half_lens,11,8.636639,8.636639,63.743563,36.088727,3.436748,19.641332
half_lens,12,9.421788,9.421788,45.822947,33.22166,3.647139,20.384181
half_lens,13,10.206937,10.206937,46.39988,33.330337,3.774471,20.656299
half_lens,14,10.992086,10.992086,45.54184,33.168212,3.640353,20.256558
half_lens,15,11.777235,11.777235,52.519278,34.406375,3.570614,20.04215
half_lens,16,12.562384,12.562384,62.967767,35.982366,3.425642,19.669004
half_lens,17,13.347533,13.347533,70.422128,36.954183,3.297682,19.476487
half_lens,18,14.132682,14.132682,51.522733,34.239978,3.351498,19.390658
half_lens,19,14.91783,14.91783,40.04129,32.050161,3.433634,20.074264
half_lens,20,15.702979,15.702979,41.876217,32.439349,3.462476,19.821486
half_lens,21,16.488128,16.488128,53.605969,34.584263,3.539201,20.175012
half_lens,22,17.273277,17.273277,60.462224,35.629682,3.465257,19.980156
half_lens,23,18.058426,18.058426,59.933077,35.553332,3.23734,19.288979
half_lens,24,18.843575,18.843575,54.804435,34.776314,3.198531,19.153996
half_lens,25,19.628724,19.628724,67.293371,36.559446,3.040261,18.586884
half_lens,26,20.413873,20.413873,61.843297,35.825853,3.140209,18.495868
half_lens,27,21.199022,21.199022,70.425864,36.954644,3.229874,19.176098
half_lens,28,21.984171,21.984171,46.441129,33.338055,3.449508,20.032384
half_lens,29,22.76932,22.76932,47.018443,33.445365,3.595087,20.322044
half_lens,30,23.554469,23.554469,60.782428,35.675561,3.532714,19.845251
half_lens,31,24.339618,24.339618,78.193256,37.863386,3.128814,18.451983
half_lens,32,25.124767,25.124767,55.577171,34.897929,3.6731,20.089922
half_lens,33,25.909916,25.909916,47.204275,33.479627,4.091664,21.05588
half_lens,34,26.695065,26.695065,67.407131,36.574117,3.558172,19.73454
half_lens,35,27.480214,27.480214,53.03768,34.49169,4.04102,20.942204
half_lens,36,28.265363,28.265363,51.568868,34.247752,4.150144,21.348608
