scenario,waypoint,distance_along_m,time_s,cond_median,cond_median_db,erank_median,capacity_10db
half_wolens,0,0.0,0.0,135.529175,42.640656,3.088818,17.358584
half_wolens,1,0.785149,0.785149,117.796811,41.422671,3.158745,17.215075
half_wolens,2,1.570298,1.570298,117.634688,41.410708,3.01614,17.224285
half_wolens,3,2.355447,2.355447,129.689508,42.258097,3.378334,17.711588
half_wolens,4,3.140596,3.140596,126.815602,42.063454,3.524262,18.348557
half_wolens,5,3.925745,3.925745,157.452815,43.943009,3.437609,17.730959
half_wolens,6,4.710894,4.710894,279.229363,48.919222,3.485055,18.304283
half_wolens,7,5.496043,5.496043,184.589742,45.324151,3.593233,18.660412
half_wolens,8,6.281192,6.281192,192.548706,45.690812,3.592308,18.548174
half_wolens,9,7.066341,7.066341,159.620895,44.061795,3.64808,18.864585
half_wolens,10,7.85149,7.85149,152.174036,43.646811,3.713947,18.980894
half_wolens,11,8.636639,8.636639,116.069487,41.294361,3.804982,19.533352
half_wolens,12,9.421788,9.421788,85.664618,38.65603,3.855176,19.507586
half_wolens,13,10.206937,10.206937,154.304295,43.76756,4.078312,20.013183
half_wolens,14,10.992086,10.992086,400.175558,52.045011,3.799625,19.186654
half_wolens,15,11.777235,11.777235,746.687797,57.462781,3.806558,18.897243
half_wolens,16,12.562384,12.562384,810.240174,58.172275,3.46077,17.702745
half_wolens,17,13.347533,13.347533,1045.403466,60.385679,3.308459,17.15877
half_wolens,18,14.132682,14.132682,664.067456,56.444244,3.327746,17.19404
half_wolens,19,14.91783,14.91783,666.29704,56.473358,3.356126,17.35617
half_wolens,20,15.702979,15.702979,623.224765,55.892894,3.590027,18.247863
half_wolens,21,16.488128,16.488128,370.805221,51.382917,3.980415,19.810647
half_wolens,22,17.273277,17.273277,254.603872,48.1173,4.116293,20.309499
half_wolens,23,18.058426,18.058426,154.991831,43.806176,4.03373,20.111023
half_wolens,24,18.843575,18.843575,90.980142,39.178932,4.128223,20.371458
half_wolens,25,19.628724,19.628724,96.643306,39.703436,4.082563,20.441772
half_wolens,26,20.413873,20.413873,118.851212,41.500072,3.876014,19.895859
half_wolens,27,21.199022,21.199022,110.45292,40.863544,4.181122,20.572767
half_wolens,28,21.984171,21.984171,146.953043,43.343572,4.036638,20.030826
half_wolens,29,22.76932,22.76932,130.055244,42.282557,3.960063,19.705614
half_wolens,30,23.554469,23.554469,138.190984,42.809594,3.495337,18.799088
half_wolens,31,24.339618,24.339618,142.935422,43.102797,3.357606,18.203926
half_wolens,32,25.124767,25.124767,127.163811,42.087271,3.500702,18.899228
half_wolens,33,25.909916,25.909916,76.627618,37.687707,4.042243,20.290143
half_wolens,34,26.695065,26.695065,65.269548,36.294212,4.061554,20.611938
half_wolens,35,27.480214,27.480214,65.813955,36.36636,3.832218,20.024806
half_wolens,36,28.265363,28.265363,57.453436,35.18632,3.633705,19.423545
