scenario,waypoint,distance_along_m,time_s,cond_median,cond_median_db,erank_median,capacity_10db
linear_lens,0,0.0,0.0,72.699887,37.230675,3.240796,18.805384
linear_lens,1,0.95,0.95,51.715368,34.272392,3.720231,20.061278
linear_lens,2,1.9,1.9,49.45722,33.884594,3.889464,20.602467
linear_lens,3,2.85,2.85,48.155838,33.652979,3.863838,20.195806
linear_lens,4,3.8,3.8,48.932106,33.791878,4.301744,21.534757
linear_lens,5,4.75,4.75,46.855763,33.41526,4.311202,21.570756
linear_lens,6,5.7,5.7,44.424712,32.952492,3.866016,20.588877
linear_lens,7,6.65,6.65,44.025395,32.874065,3.848922,20.576138
linear_lens,8,7.6,7.6,50.698499,34.099902,3.408793,19.674853
linear_lens,9,8.55,8.55,66.801763,36.495759,2.678811,17.420565
linear_lens,10,9.5,9.5,154.643721,43.786646,2.087086,14.47798
linear_lens,11,10.45,10.45,66.277112,36.427272,2.702299,17.249924
linear_lens,12,11.4,11.4,54.669594,34.754917,3.356215,19.067533
linear_lens,13,12.35,12.35,40.003104,32.041874,3.978019,21.132627
linear_lens,14,13.3,13.3,38.746635,31.76468,4.147872,21.396499
linear_lens,15,14.25,14.25,43.78664,32.826832,4.259004,21.417098
linear_lens,16,15.2,15.2,44.880924,33.041236,4.2479,21.589537
linear_lens,17,16.15,16.15,51.841475,34.293547,4.169999,20.941889
linear_lens,18,17.1,17.1,44.267994,32.921797,4.179079,20.957545
linear_lens,19,18.05,18.05,51.377428,34.215447,4.076903,20.96701
linear_lens,20,19.0,19.0,39.282744,31.884036,4.295514,21.616995
