scenario,waypoint,distance_along_m,time_s,cond_median,cond_median_db,erank_median,capacity_10db
linear_wolens,0,0.0,0.0,136.416748,42.697354,2.86083,16.188242
linear_wolens,1,0.95,0.95,113.715183,41.116369,3.330013,17.759491
linear_wolens,2,1.9,1.9,78.750722,37.925091,3.71881,19.460924
linear_wolens,3,2.85,2.85,112.454003,41.019498,3.814448,19.623593
linear_wolens,4,3.8,3.8,137.475253,42.764491,3.78574,19.74294
linear_wolens,5,4.75,4.75,237.53317,47.514485,3.51223,18.974265
linear_wolens,6,5.7,5.7,448.708975,53.039295,3.822909,19.621165
linear_wolens,7,6.65,6.65,278.5212,48.897165,3.706353,19.494561
linear_wolens,8,7.6,7.6,311.418597,49.866891,2.638332,16.531341
linear_wolens,9,8.55,8.55,283.006956,49.035942,2.817328,17.095453
linear_wolens,10,9.5,9.5,233.547812,47.367516,1.868662,13.450759
linear_wolens,11,10.45,10.45,329.430145,50.355267,2.48657,16.174617
linear_wolens,12,11.4,11.4,415.798701,52.377663,2.568161,16.683399
linear_wolens,13,12.35,12.35,486.617485,53.743754,3.128503,18.279614
linear_wolens,14,13.3,13.3,507.280274,54.104959,2.999205,17.62578
linear_wolens,15,14.25,14.25,264.73126,48.456105,3.03018,17.439441
linear_wolens,16,15.2,15.2,90.464828,39.129595,3.263265,18.22897
linear_wolens,17,16.15,16.15,83.133884,38.395561,3.598713,19.573409
linear_wolens,18,17.1,17.1,58.899786,35.402274,3.8159,20.098083
linear_wolens,19,18.05,18.05,50.157624,34.006739,3.946634,20.325384
linear_wolens,20,19.0,19.0,59.177882,35.443188,3.670634,19.441816
