scenario,waypoint,distance_along_m,time_s,mean_spatial_correlation,mean_spatial_decorrelation,min_pair_decorrelation,max_pair_decorrelation
linear_lens,0,0.0,0.0,0.502038,0.497962,0.108807,0.917057
linear_lens,1,0.95,0.95,0.403274,0.596726,0.24634,0.987212
linear_lens,2,1.9,1.9,0.491915,0.508085,0.205899,0.866874
linear_lens,3,2.85,2.85,0.424038,0.575962,0.186681,0.937205
linear_lens,4,3.8,3.8,0.441563,0.558437,0.194219,0.893799
linear_lens,5,4.75,4.75,0.455806,0.544194,0.172596,0.870731
linear_lens,6,5.7,5.7,0.490738,0.509262,0.188653,0.845989
linear_lens,7,6.65,6.65,0.520788,0.479212,0.172907,0.912157
linear_lens,8,7.6,7.6,0.478635,0.521365,0.101963,0.931512
linear_lens,9,8.55,8.55,0.485895,0.514105,0.08347,0.841102
linear_lens,10,9.5,9.5,0.477573,0.522427,0.034668,0.925479
linear_lens,11,10.45,10.45,0.486806,0.513194,0.103737,0.976393
linear_lens,12,11.4,11.4,0.507891,0.492109,0.153609,0.910366
linear_lens,13,12.35,12.35,0.510471,0.489529,0.147208,0.945099
linear_lens,14,13.3,13.3,0.478652,0.521348,0.17121,0.945856
linear_lens,15,14.25,14.25,0.409644,0.590356,0.274549,0.920088
linear_lens,16,15.2,15.2,0.456403,0.543597,0.11159,0.985196
linear_lens,17,16.15,16.15,0.423837,0.576163,0.145309,0.958773
linear_lens,18,17.1,17.1,0.40766,0.59234,0.120697,0.965731
linear_lens,19,18.05,18.05,0.417159,0.582841,0.152373,0.901976
linear_lens,20,19.0,19.0,0.446808,0.553192,0.214168,0.908013
linear_wolens,0,0.0,0.0,0.728841,0.271159,0.050169,0.70158
linear_wolens,1,0.95,0.95,0.646542,0.353458,0.091633,0.696763
linear_wolens,2,1.9,1.9,0.579497,0.420503,0.206527,0.781401
linear_wolens,3,2.85,2.85,0.647778,0.352222,0.156272,0.749907
linear_wolens,4,3.8,3.8,0.578727,0.421273,0.091841,0.822453
linear_wolens,5,4.75,4.75,0.643633,0.356367,0.123962,0.822644
linear_wolens,6,5.7,5.7,0.619971,0.380029,0.180153,0.78199
linear_wolens,7,6.65,6.65,0.563917,0.436083,0.195817,0.788448
linear_wolens,8,7.6,7.6,0.756045,0.243955,0.122463,0.60551
linear_wolens,9,8.55,8.55,0.425293,0.574707,0.303879,0.857726
linear_wolens,10,9.5,9.5,0.529759,0.470241,0.139939,0.914101
linear_wolens,11,10.45,10.45,0.484533,0.515467,0.29354,0.784634
linear_wolens,12,11.4,11.4,0.558927,0.441073,0.240752,0.767428
linear_wolens,13,12.35,12.35,0.605769,0.394231,0.199576,0.656537
linear_wolens,14,13.3,13.3,0.616084,0.383916,0.210948,0.618368
linear_wolens,15,14.25,14.25,0.69641,0.30359,0.099687,0.742051
linear_wolens,16,15.2,15.2,0.622434,0.377566,0.119604,0.781146
linear_wolens,17,16.15,16.15,0.602545,0.397455,0.256552,0.608054
linear_wolens,18,17.1,17.1,0.615264,0.384736,0.204983,0.629869
linear_wolens,19,18.05,18.05,0.592331,0.407669,0.262663,0.669575
linear_wolens,20,19.0,19.0,0.706548,0.293452,0.156419,0.450259
half_lens,0,0.0,0.0,0.439342,0.560658,0.123447,0.826561
half_lens,1,0.785149,0.785149,0.473961,0.526039,0.192773,0.85402
half_lens,2,1.570298,1.570298,0.431726,0.568274,0.188854,0.982776
half_lens,3,2.355447,2.355447,0.447249,0.552751,0.105773,0.980935
half_lens,4,3.140596,3.140596,0.430184,0.569816,0.183812,0.86783
half_lens,5,3.925745,3.925745,0.484928,0.515072,0.120569,0.891952
