scenario,waypoint,distance_along_m,time_s,mean_spatial_correlation,mean_spatial_decorrelation,min_pair_decorrelation,max_pair_decorrelation
full_lens,0,0.0,0.0,0.439346,0.560654,0.123436,0.826503
full_lens,1,0.785149,0.785149,0.473961,0.526039,0.192797,0.854016
full_lens,2,1.570298,1.570298,0.431754,0.568246,0.18878,0.982803
full_lens,3,2.355447,2.355447,0.44726,0.55274,0.105843,0.980625
full_lens,4,3.140596,3.140596,0.430194,0.569806,0.183845,0.867837
full_lens,5,3.925745,3.925745,0.48493,0.51507,0.120569,0.891952
full_lens,6,4.710894,4.710894,0.47485,0.52515,0.131281,0.914849
full_lens,7,5.496043,5.496043,0.5009,0.4991,0.098849,0.972743
full_lens,8,6.281192,6.281192,0.581964,0.418036,0.138568,0.85868
full_lens,9,7.066341,7.066341,0.463556,0.536444,0.165677,0.907441
full_lens,10,7.85149,7.85149,0.423911,0.576089,0.138952,0.960569
full_lens,11,8.636639,8.636639,0.473669,0.526331,0.165221,0.919534
full_lens,12,9.421788,9.421788,0.522543,0.477457,0.146127,0.923835
full_lens,13,10.206937,10.206937,0.494358,0.505642,0.080189,0.824746
full_lens,14,10.992086,10.992086,0.542021,0.457979,0.126489,0.800645
full_lens,15,11.777235,11.777235,0.591426,0.408574,0.065088,0.941898
full_lens,16,12.562384,12.562384,0.525573,0.474427,0.09169,0.900611
full_lens,17,13.347533,13.347533,0.661781,0.338219,0.076372,0.703471
full_lens,18,14.132682,14.132682,0.749516,0.250484,0.065913,0.789652
full_lens,19,14.91783,14.91783,0.525541,0.474459,0.100926,0.785379
full_lens,20,15.702979,15.702979,0.649481,0.350519,0.109187,0.725089
full_lens,21,16.488128,16.488128,0.570518,0.429482,0.06218,0.887819
full_lens,22,17.273277,17.273277,0.657346,0.342654,0.103404,0.683551
full_lens,23,18.058426,18.058426,0.656738,0.343262,0.117065,0.755555
full_lens,24,18.843575,18.843575,0.621253,0.378747,0.088157,0.834193
full_lens,25,19.628724,19.628724,0.636662,0.363338,0.151078,0.800037
full_lens,26,20.413873,20.413873,0.507242,0.492758,0.150616,0.776144
full_lens,27,21.199022,21.199022,0.511167,0.488833,0.168107,0.950931
full_lens,28,21.984171,21.984171,0.559576,0.440424,0.086196,0.757395
full_lens,29,22.76932,22.76932,0.486714,0.513286,0.123823,0.813229
full_lens,30,23.554469,23.554469,0.492752,0.507248,0.148452,0.951305
full_lens,31,24.339618,24.339618,0.528868,0.471132,0.196063,0.91443
full_lens,32,25.124767,25.124767,0.458205,0.541795,0.189466,0.944492
full_lens,33,25.909916,25.909916,0.478645,0.521355,0.199014,0.919478
full_lens,34,26.695065,26.695065,0.470297,0.529703,0.171378,0.934195
full_lens,35,27.480214,27.480214,0.501226,0.498774,0.130415,0.958312
full_lens,36,28.265363,28.265363,0.422788,0.577212,0.208921,0.866193
full_lens,37,29.050512,29.050512,0.47781,0.52219,0.193383,0.910652
full_lens,38,29.835661,29.835661,0.420285,0.579715,0.130199,0.886431
full_lens,39,30.62081,30.62081,0.405263,0.594737,0.169691,0.887639
full_lens,40,31.405959,31.405959,0.393691,0.606309,0.228038,0.953939
full_lens,41,32.191108,32.191108,0.415896,0.584104,0.21156,0.967354
full_lens,42,32.976257,32.976257,0.466738,0.533262,0.20752,0.896414
full_lens,43,33.761406,33.761406,0.473731,0.526269,0.148113,0.872768
full_lens,44,34.546555,34.546555,0.537947,0.462053,0.074224,0.945308
full_lens,45,35.331704,35.331704,0.609514,0.390486,0.0947,0.828362
full_lens,46,36.116853,36.116853,0.543527,0.456473,0.116295,0.879951
full_lens,47,36.902002,36.902002,0.615029,0.384971,0.069967,0.854481
full_lens,48,37.687151,37.687151,0.699771,0.300229,0.060384,0.714681
full_lens,49,38.4723,38.4723,0.760228,0.239772,0.045554,0.661173
full_lens,50,39.257449,39.257449,0.778446,0.221554,0.044092,0.566236
full_lens,51,40.042598,40.042598,0.713718,0.286282,0.040661,0.684837
full_lens,52,40.827747,40.827747,0.61223,0.38777,0.075302,0.96268
full_lens,53,41.612896,41.612896,0.89451,0.10549,0.01141,0.241119
full_lens,54,42.398045,42.398045,0.249728,0.750272,0.161843,0.986006
full_lens,55,43.183193,43.183193,0.739387,0.260613,0.047032,0.548128
full_lens,56,43.968342,43.968342,0.60826,0.39174,0.110621,0.975896
full_lens,57,44.753491,44.753491,0.55394,0.44606,0.086526,0.960127
full_lens,58,45.53864,45.53864,0.55266,0.44734,0.140632,0.811818
full_lens,59,46.323789,46.323789,0.455149,0.544851,0.14891,0.907784
full_lens,60,47.108938,47.108938,0.510384,0.489616,0.187245,0.87189
full_lens,61,47.894087,47.894087,0.460722,0.539278,0.205183,0.930119
full_lens,62,48.679236,48.679236,0.4165,0.5835,0.155298,0.916621
full_lens,63,49.464385,49.464385,0.475515,0.524485,0.140944,0.877211
full_lens,64,50.249534,50.249534,0.456937,0.543063,0.170204,0.962525
full_lens,65,51.034683,51.034683,0.438516,0.561484,0.133546,0.95858
full_lens,66,51.819832,51.819832,0.41322,0.58678,0.161198,0.961049
full_lens,67,52.604981,52.604981,0.483852,0.516148,0.140882,0.858326
full_lens,68,53.39013,53.39013,0.421024,0.578976,0.167301,0.975675
full_lens,69,54.175279,54.175279,0.38704,0.61296,0.178171,0.968994
full_lens,70,54.960428,54.960428,0.409818,0.590182,0.171824,0.855522
full_lens,71,55.745577,55.745577,0.426524,0.573476,0.134726,0.842521
full_lens,72,56.530726,56.530726,0.439345,0.560655,0.123436,0.826499
