scenario,waypoint,distance_along_m,time_s,mean_spatial_correlation,mean_spatial_decorrelation,min_pair_decorrelation,max_pair_decorrelation
full_wolens,0,0.0,0.0,0.62446,0.37554,0.055148,0.793519
full_wolens,1,0.785149,0.785149,0.635132,0.364868,0.074345,0.694246
full_wolens,2,1.570298,1.570298,0.828778,0.171222,0.036912,0.342696
full_wolens,3,2.355447,2.355447,0.798629,0.201371,0.040712,0.456652
full_wolens,4,3.140596,3.140596,0.874997,0.125003,0.04593,0.245906
full_wolens,5,3.925745,3.925745,0.851099,0.148901,0.06751,0.273785
full_wolens,6,4.710894,4.710894,0.921783,0.078217,0.03842,0.155416
full_wolens,7,5.496043,5.496043,0.926877,0.073123,0.042177,0.123685
full_wolens,8,6.281192,6.281192,0.851115,0.148885,0.093959,0.222792
full_wolens,9,7.066341,7.066341,0.888863,0.111137,0.053683,0.152155
full_wolens,10,7.85149,7.85149,0.910473,0.089527,0.05901,0.135395
full_wolens,11,8.636639,8.636639,0.828066,0.171934,0.048649,0.257488
full_wolens,12,9.421788,9.421788,0.885999,0.114001,0.046939,0.195738
full_wolens,13,10.206937,10.206937,0.938992,0.061008,0.03008,0.117271
full_wolens,14,10.992086,10.992086,0.875655,0.124345,0.043387,0.203863
full_wolens,15,11.777235,11.777235,0.933446,0.066554,0.03519,0.109434
full_wolens,16,12.562384,12.562384,0.944195,0.055805,0.018967,0.092381
full_wolens,17,13.347533,13.347533,0.938722,0.061278,0.012042,0.110927
full_wolens,18,14.132682,14.132682,0.963749,0.036251,0.007602,0.096202
full_wolens,19,14.91783,14.91783,0.928208,0.071792,0.015284,0.122289
full_wolens,20,15.702979,15.702979,0.876069,0.123931,0.049985,0.213836
full_wolens,21,16.488128,16.488128,0.810553,0.189447,0.051413,0.339445
full_wolens,22,17.273277,17.273277,0.837305,0.162695,0.024764,0.302778
full_wolens,23,18.058426,18.058426,0.781572,0.218428,0.098504,0.398694
full_wolens,24,18.843575,18.843575,0.735506,0.264494,0.032813,0.475892
full_wolens,25,19.628724,19.628724,0.836007,0.163993,0.076958,0.26489
full_wolens,26,20.413873,20.413873,0.737532,0.262468,0.192457,0.39364
full_wolens,27,21.199022,21.199022,0.67938,0.32062,0.176749,0.476231
full_wolens,28,21.984171,21.984171,0.759457,0.240543,0.116697,0.401022
full_wolens,29,22.76932,22.76932,0.624574,0.375426,0.177463,0.555371
full_wolens,30,23.554469,23.554469,0.678493,0.321507,0.099693,0.720789
full_wolens,31,24.339618,24.339618,0.78442,0.21558,0.128541,0.435936
full_wolens,32,25.124767,25.124767,0.533136,0.466864,0.245019,0.912875
full_wolens,33,25.909916,25.909916,0.611259,0.388741,0.235836,0.649434
full_wolens,34,26.695065,26.695065,0.53605,0.46395,0.249114,0.716315
full_wolens,35,27.480214,27.480214,0.586661,0.413339,0.206371,0.708657
full_wolens,36,28.265363,28.265363,0.711366,0.288634,0.118029,0.60268
full_wolens,37,29.050512,29.050512,0.629831,0.370169,0.191788,0.671495
full_wolens,38,29.835661,29.835661,0.65342,0.34658,0.15968,0.676315
full_wolens,39,30.62081,30.62081,0.649432,0.350568,0.129413,0.644627
full_wolens,40,31.405959,31.405959,0.635445,0.364555,0.10226,0.690281
full_wolens,41,32.191108,32.191108,0.632449,0.367551,0.072758,0.761118
full_wolens,42,32.976257,32.976257,0.561299,0.438701,0.071781,0.982575
full_wolens,43,33.761406,33.761406,0.582201,0.417799,0.060303,0.823318
full_wolens,44,34.546555,34.546555,0.611115,0.388885,0.06321,0.825004
full_wolens,45,35.331704,35.331704,0.717973,0.282027,0.032922,0.572076
full_wolens,46,36.116853,36.116853,0.772696,0.227304,0.035335,0.427552
full_wolens,47,36.902002,36.902002,0.836739,0.163261,0.014496,0.300861
full_wolens,48,37.687151,37.687151,0.857506,0.142494,0.013356,0.221657
full_wolens,49,38.4723,38.4723,0.860153,0.139847,0.025221,0.250199
full_wolens,50,39.257449,39.257449,0.80394,0.19606,0.021993,0.363311
full_wolens,51,40.042598,40.042598,0.630199,0.369801,0.020539,0.720248
full_wolens,52,40.827747,40.827747,0.606452,0.393548,0.117626,0.777548
full_wolens,53,41.612896,41.612896,0.906102,0.093898,0.012572,0.178718
full_wolens,54,42.398045,42.398045,0.250614,0.749386,9.4e-05,0.999966
full_wolens,55,43.183193,43.183193,0.791438,0.208562,0.030815,0.384008
full_wolens,56,43.968342,43.968342,0.549842,0.450158,0.10904,0.697218
full_wolens,57,44.753491,44.753491,0.471355,0.528645,0.157971,0.839687
full_wolens,58,45.53864,45.53864,0.480892,0.519108,0.249197,0.909663
