scenario,waypoint,distance_along_m,time_s,mean_spatial_correlation,mean_spatial_decorrelation,min_pair_decorrelation,max_pair_decorrelation
half_lens,0,0.0,0.0,0.439342,0.560658,0.123447,0.826561
half_lens,1,0.785149,0.785149,0.473961,0.526039,0.192773,0.85402
half_lens,2,1.570298,1.570298,0.431726,0.568274,0.188854,0.982776
half_lens,3,2.355447,2.355447,0.447249,0.552751,0.105773,0.980935
half_lens,4,3.140596,3.140596,0.430184,0.569816,0.183812,0.86783
half_lens,5,3.925745,3.925745,0.484928,0.515072,0.120569,0.891952
half_lens,6,4.710894,4.710894,0.474856,0.525144,0.131239,0.914849
half_lens,7,5.496043,5.496043,0.500903,0.499097,0.098849,0.972752
half_lens,8,6.281192,6.281192,0.581972,0.418028,0.138562,0.858682
half_lens,9,7.066341,7.066341,0.463551,0.536449,0.16568,0.907441
half_lens,10,7.85149,7.85149,0.423912,0.576088,0.138952,0.960583
half_lens,11,8.636639,8.636639,0.473664,0.526336,0.165239,0.919534
half_lens,12,9.421788,9.421788,0.522545,0.477455,0.146127,0.923845
half_lens,13,10.206937,10.206937,0.494367,0.505633,0.080156,0.82476
half_lens,14,10.992086,10.992086,0.542022,0.457978,0.126489,0.800646
half_lens,15,11.777235,11.777235,0.591426,0.408574,0.065089,0.941899
half_lens,16,12.562384,12.562384,0.525592,0.474408,0.091584,0.900612
half_lens,17,13.347533,13.347533,0.661767,0.338233,0.076373,0.703549
half_lens,18,14.132682,14.132682,0.749524,0.250476,0.065854,0.789647
half_lens,19,14.91783,14.91783,0.52554,0.47446,0.100929,0.785379
half_lens,20,15.702979,15.702979,0.649482,0.350518,0.109183,0.7251
half_lens,21,16.488128,16.488128,0.570514,0.429486,0.06218,0.887817
half_lens,22,17.273277,17.273277,0.657348,0.342652,0.103404,0.683547
half_lens,23,18.058426,18.058426,0.656584,0.343416,0.117061,0.756335
half_lens,24,18.843575,18.843575,0.621253,0.378747,0.088142,0.834194
half_lens,25,19.628724,19.628724,0.636663,0.363337,0.151087,0.800037
half_lens,26,20.413873,20.413873,0.507097,0.492903,0.150608,0.77614
half_lens,27,21.199022,21.199022,0.511156,0.488844,0.168105,0.950902
half_lens,28,21.984171,21.984171,0.559577,0.440423,0.086196,0.757405
half_lens,29,22.76932,22.76932,0.48671,0.51329,0.123811,0.813249
half_lens,30,23.554469,23.554469,0.492755,0.507245,0.148408,0.951342
half_lens,31,24.339618,24.339618,0.528868,0.471132,0.196062,0.91443
half_lens,32,25.124767,25.124767,0.458206,0.541794,0.189466,0.944492
half_lens,33,25.909916,25.909916,0.478631,0.521369,0.199101,0.919557
half_lens,34,26.695065,26.695065,0.470295,0.529705,0.171377,0.934197
half_lens,35,27.480214,27.480214,0.501224,0.498776,0.130423,0.958311
half_lens,36,28.265363,28.265363,0.422784,0.577216,0.208921,0.8662
