scenario,waypoint,distance_along_m,time_s,mean_spatial_correlation,mean_spatial_decorrelation,min_pair_decorrelation,max_pair_decorrelation
half_wolens,0,0.0,0.0,0.624459,0.375541,0.055148,0.793519
half_wolens,1,0.785149,0.785149,0.635163,0.364837,0.074329,0.694379
half_wolens,2,1.570298,1.570298,0.828789,0.171211,0.03678,0.342389
half_wolens,3,2.355447,2.355447,0.798619,0.201381,0.040708,0.456721
half_wolens,4,3.140596,3.140596,0.874995,0.125005,0.045942,0.245893
half_wolens,5,3.925745,3.925745,0.8511,0.1489,0.06751,0.273785
half_wolens,6,4.710894,4.710894,0.921781,0.078219,0.038421,0.155421
half_wolens,7,5.496043,5.496043,0.926878,0.073122,0.042178,0.12368
half_wolens,8,6.281192,6.281192,0.851114,0.148886,0.093954,0.222792
half_wolens,9,7.066341,7.066341,0.888863,0.111137,0.053683,0.152135
half_wolens,10,7.85149,7.85149,0.910472,0.089528,0.05901,0.135403
half_wolens,11,8.636639,8.636639,0.828067,0.171933,0.048585,0.257465
half_wolens,12,9.421788,9.421788,0.886,0.114,0.04694,0.195743
half_wolens,13,10.206937,10.206937,0.938992,0.061008,0.03008,0.117271
half_wolens,14,10.992086,10.992086,0.875642,0.124358,0.043394,0.203863
half_wolens,15,11.777235,11.777235,0.933451,0.066549,0.035179,0.109429
half_wolens,16,12.562384,12.562384,0.944197,0.055803,0.018983,0.092383
half_wolens,17,13.347533,13.347533,0.938723,0.061277,0.012051,0.110943
half_wolens,18,14.132682,14.132682,0.963751,0.036249,0.007595,0.096204
half_wolens,19,14.91783,14.91783,0.928216,0.071784,0.015298,0.122292
half_wolens,20,15.702979,15.702979,0.876069,0.123931,0.049974,0.213866
half_wolens,21,16.488128,16.488128,0.810551,0.189449,0.05149,0.339441
half_wolens,22,17.273277,17.273277,0.837304,0.162696,0.024764,0.302778
half_wolens,23,18.058426,18.058426,0.781572,0.218428,0.098504,0.398694
half_wolens,24,18.843575,18.843575,0.735507,0.264493,0.032811,0.475881
half_wolens,25,19.628724,19.628724,0.836029,0.163971,0.076958,0.264916
half_wolens,26,20.413873,20.413873,0.737533,0.262467,0.192429,0.393642
half_wolens,27,21.199022,21.199022,0.679369,0.320631,0.176743,0.476219
half_wolens,28,21.984171,21.984171,0.759459,0.240541,0.116681,0.401022
half_wolens,29,22.76932,22.76932,0.624566,0.375434,0.177457,0.555373
half_wolens,30,23.554469,23.554469,0.67847,0.32153,0.099762,0.720748
half_wolens,31,24.339618,24.339618,0.784426,0.215574,0.128533,0.435936
half_wolens,32,25.124767,25.124767,0.533141,0.466859,0.245018,0.912873
half_wolens,33,25.909916,25.909916,0.611254,0.388746,0.236214,0.649192
half_wolens,34,26.695065,26.695065,0.536059,0.463941,0.249117,0.71642
half_wolens,35,27.480214,27.480214,0.586647,0.413353,0.20661,0.708659
half_wolens,36,28.265363,28.265363,0.711381,0.288619,0.118026,0.602683
