scenario,waypoint,distance_along_m,time_s,mean_spatial_correlation,mean_spatial_decorrelation,min_pair_decorrelation,max_pair_decorrelation
linear_lens,0,0.0,0.0,0.502038,0.497962,0.108807,0.917057
linear_lens,1,0.95,0.95,0.403274,0.596726,0.24634,0.987212
linear_lens,2,1.9,1.9,0.491915,0.508085,0.205899,0.866874
linear_lens,3,2.85,2.85,0.424038,0.575962,0.186681,0.937205
linear_lens,4,3.8,3.8,0.441563,0.558437,0.194219,0.893799
linear_lens,5,4.75,4.75,0.455806,0.544194,0.172596,0.870731
linear_lens,6,5.7,5.7,0.490738,0.509262,0.188653,0.845989
linear_lens,7,6.65,6.65,0.520788,0.479212,0.172907,0.912157
linear_lens,8,7.6,7.6,0.478635,0.521365,0.101963,0.931512
linear_lens,9,8.55,8.55,0.485895,0.514105,0.08347,0.841102
linear_lens,10,9.5,9.5,0.477573,0.522427,0.034668,0.925479
linear_lens,11,10.45,10.45,0.486806,0.513194,0.103737,0.976393
linear_lens,12,11.4,11.4,0.507891,0.492109,0.153609,0.910366
linear_lens,13,12.35,12.35,0.510471,0.489529,0.147208,0.945099
linear_lens,14,13.3,13.3,0.478652,0.521348,0.17121,0.945856
linear_lens,15,14.25,14.25,0.409644,0.590356,0.274549,0.920088
linear_lens,16,15.2,15.2,0.456403,0.543597,0.11159,0.985196
linear_lens,17,16.15,16.15,0.423837,0.576163,0.145309,0.958773
linear_lens,18,17.1,17.1,0.40766,0.59234,0.120697,0.965731
linear_lens,19,18.05,18.05,0.417159,0.582841,0.152373,0.901976
linear_lens,20,19.0,19.0,0.446808,0.553192,0.214168,0.908013
