scenario,waypoint,distance_along_m,time_s,mean_raw_cross_correlation,mean_raw_difference_power,min_raw_difference_power,max_raw_difference_power
full_lens,0,0.0,0.0,1.031038e-10,5.690453e-10,6.010478e-11,1.897084e-09
full_lens,1,0.785149,0.785149,1.183784e-10,5.928361e-10,7.577251e-11,1.649646e-09
full_lens,2,1.570298,1.570298,1.094777e-10,5.915612e-10,7.808745e-11,1.74347e-09
full_lens,3,2.355447,2.355447,1.248645e-10,6.452667e-10,8.816988e-11,1.632785e-09
full_lens,4,3.140596,3.140596,1.133753e-10,6.587943e-10,6.483024e-11,1.881971e-09
full_lens,5,3.925745,3.925745,1.300062e-10,6.701741e-10,5.944653e-11,2.386909e-09
full_lens,6,4.710894,4.710894,1.145791e-10,5.593736e-10,6.88653e-11,1.946553e-09
full_lens,7,5.496043,5.496043,1.115283e-10,5.406636e-10,9.019547e-11,1.887276e-09
full_lens,8,6.281192,6.281192,1.255272e-10,5.562286e-10,8.140572e-11,1.556045e-09
full_lens,9,7.066341,7.066341,8.835648e-11,4.447316e-10,7.124359e-11,1.123817e-09
full_lens,10,7.85149,7.85149,8.149003e-11,3.982184e-10,4.631508e-11,1.037385e-09
full_lens,11,8.636639,8.636639,8.124331e-11,3.236623e-10,7.961788e-11,7.239841e-10
full_lens,12,9.421788,9.421788,9.256487e-11,3.32039e-10,5.125872e-11,6.878264e-10
full_lens,13,10.206937,10.206937,7.394103e-11,3.628743e-10,4.738223e-11,1.147185e-09
full_lens,14,10.992086,10.992086,7.562756e-11,3.324477e-10,7.745346e-11,8.498305e-10
full_lens,15,11.777235,11.777235,1.096442e-10,4.204209e-10,5.648474e-11,1.640619e-09
full_lens,16,12.562384,12.562384,6.967317e-11,3.03651e-10,4.743509e-11,1.032486e-09
full_lens,17,13.347533,13.347533,1.24706e-10,4.392308e-10,6.628631e-11,1.417068e-09
full_lens,18,14.132682,14.132682,1.096545e-10,3.53871e-10,3.23466e-11,1.660058e-09
full_lens,19,14.91783,14.91783,7.842234e-11,3.310459e-10,7.255883e-11,1.125993e-09
full_lens,20,15.702979,15.702979,9.370387e-11,2.919146e-10,4.91189e-11,7.793078e-10
