scenario,waypoint,distance_along_m,time_s,mean_raw_cross_correlation,mean_raw_difference_power,min_raw_difference_power,max_raw_difference_power
full_wolens,0,0.0,0.0,1.054841e-10,2.134911e-10,2.425242e-11,5.451964e-10
full_wolens,1,0.785149,0.785149,1.066302e-10,2.752466e-10,4.994598e-11,4.994711e-10
full_wolens,2,1.570298,1.570298,1.64833e-10,4.077219e-10,1.158463e-10,7.118693e-10
full_wolens,3,2.355447,2.355447,1.26433e-10,3.226235e-10,8.112238e-11,6.240844e-10
full_wolens,4,3.140596,3.140596,1.807409e-10,4.474972e-10,1.020903e-10,8.074963e-10
full_wolens,5,3.925745,3.925745,1.25771e-10,3.199753e-10,7.621812e-11,6.286842e-10
full_wolens,6,4.710894,4.710894,1.908346e-10,4.606454e-10,3.884475e-11,7.555156e-10
full_wolens,7,5.496043,5.496043,1.860695e-10,4.449556e-10,6.939631e-11,8.022095e-10
full_wolens,8,6.281192,6.281192,1.058159e-10,2.765306e-10,5.332426e-11,4.585915e-10
full_wolens,9,7.066341,7.066341,1.456377e-10,3.635303e-10,3.659273e-11,6.498396e-10
full_wolens,10,7.85149,7.85149,1.298397e-10,3.180447e-10,4.532248e-11,5.806747e-10
full_wolens,11,8.636639,8.636639,9.314922e-11,2.461802e-10,5.628033e-11,4.15644e-10
full_wolens,12,9.421788,9.421788,1.462289e-10,3.614771e-10,4.341153e-11,6.283634e-10
full_wolens,13,10.206937,10.206937,1.471081e-10,3.435146e-10,5.879356e-11,6.057089e-10
full_wolens,14,10.992086,10.992086,1.403244e-10,3.351952e-10,3.472682e-11,5.785679e-10
full_wolens,15,11.777235,11.777235,1.155113e-10,2.578771e-10,3.043987e-11,4.703422e-10
full_wolens,16,12.562384,12.562384,1.073819e-10,2.464072e-10,2.528171e-11,4.344981e-10
full_wolens,17,13.347533,13.347533,1.064171e-10,1.537333e-10,1.436868e-11,4.273705e-10
full_wolens,18,14.132682,14.132682,9.748857e-11,7.667974e-12,1.497244e-12,2.084992e-11
full_wolens,19,14.91783,14.91783,8.819886e-11,1.35249e-10,1.316856e-11,3.677131e-10
full_wolens,20,15.702979,15.702979,9.033555e-11,2.215419e-10,4.536463e-11,3.87173e-10
full_wolens,21,16.488128,16.488128,7.35938e-11,1.920715e-10,6.638943e-11,3.305338e-10
full_wolens,22,17.273277,17.273277,6.841804e-11,1.82e-10,4.614024e-11,2.989497e-10
full_wolens,23,18.058426,18.058426,6.222763e-11,1.736824e-10,3.108645e-11,2.924283e-10
full_wolens,24,18.843575,18.843575,5.016588e-11,1.50863e-10,4.478794e-11,2.343026e-10
full_wolens,25,19.628724,19.628724,6.541385e-11,1.736629e-10,2.667882e-11,2.718551e-10
full_wolens,26,20.413873,20.413873,4.6943e-11,1.417647e-10,4.93699e-11,2.330118e-10
full_wolens,27,21.199022,21.199022,3.886728e-11,1.276231e-10,4.783928e-11,2.202664e-10
full_wolens,28,21.984171,21.984171,5.352393e-11,1.575725e-10,4.276706e-11,2.555728e-10
full_wolens,29,22.76932,22.76932,2.642762e-11,9.410127e-11,3.920553e-11,1.555775e-10
full_wolens,30,23.554469,23.554469,2.501401e-11,8.180716e-11,2.07403e-11,1.256381e-10
full_wolens,31,24.339618,24.339618,4.402721e-11,1.237986e-10,3.157933e-11,2.232738e-10
