scenario,waypoint,distance_along_m,time_s,mean_raw_cross_correlation,mean_raw_difference_power,min_raw_difference_power,max_raw_difference_power
half_lens,0,0.0,0.0,1.031026e-10,5.690314e-10,6.011196e-11,1.896911e-09
half_lens,1,0.785149,0.785149,1.183782e-10,5.928433e-10,7.580445e-11,1.649651e-09
half_lens,2,1.570298,1.570298,1.094738e-10,5.9155e-10,7.809398e-11,1.74338e-09
half_lens,3,2.355447,2.355447,1.248573e-10,6.452449e-10,8.817484e-11,1.632791e-09
half_lens,4,3.140596,3.140596,1.133655e-10,6.588196e-10,6.484055e-11,1.882015e-09
half_lens,5,3.925745,3.925745,1.300062e-10,6.70174e-10,5.944653e-11,2.386909e-09
half_lens,6,4.710894,4.710894,1.145795e-10,5.593728e-10,6.886532e-11,1.946631e-09
half_lens,7,5.496043,5.496043,1.115286e-10,5.406636e-10,9.019507e-11,1.887276e-09
half_lens,8,6.281192,6.281192,1.255271e-10,5.562249e-10,8.140701e-11,1.556037e-09
half_lens,9,7.066341,7.066341,8.835428e-11,4.447353e-10,7.12435e-11,1.123922e-09
half_lens,10,7.85149,7.85149,8.148965e-11,3.982187e-10,4.631847e-11,1.037385e-09
half_lens,11,8.636639,8.636639,8.124196e-11,3.236625e-10,7.961788e-11,7.239838e-10
half_lens,12,9.421788,9.421788,9.256435e-11,3.320374e-10,5.125955e-11,6.878267e-10
half_lens,13,10.206937,10.206937,7.39414e-11,3.628736e-10,4.73824e-11,1.147185e-09
half_lens,14,10.992086,10.992086,7.562744e-11,3.324472e-10,7.745346e-11,8.498304e-10
half_lens,15,11.777235,11.777235,1.096442e-10,4.204209e-10,5.648513e-11,1.640619e-09
half_lens,16,12.562384,12.562384,6.967082e-11,3.036533e-10,4.743522e-11,1.032601e-09
half_lens,17,13.347533,13.347533,1.247052e-10,4.392325e-10,6.628343e-11,1.417068e-09
half_lens,18,14.132682,14.132682,1.096552e-10,3.538691e-10,3.2346e-11,1.660065e-09
half_lens,19,14.91783,14.91783,7.842214e-11,3.310459e-10,7.255894e-11,1.125991e-09
half_lens,20,15.702979,15.702979,9.370351e-11,2.919148e-10,4.911889e-11,7.79308e-10
half_lens,21,16.488128,16.488128,8.981741e-11,3.339991e-10,4.642157e-11,1.000624e-09
half_lens,22,17.273277,17.273277,1.284098e-10,3.736422e-10,9.008424e-11,1.212763e-09
half_lens,23,18.058426,18.058426,1.372685e-10,3.762925e-10,1.030823e-10,8.512791e-10
half_lens,24,18.843575,18.843575,1.25468e-10,4.263641e-10,9.749795e-11,1.33762e-09
half_lens,25,19.628724,19.628724,1.588758e-10,5.309606e-10,1.313344e-10,1.951541e-09
half_lens,26,20.413873,20.413873,1.055416e-10,5.19375e-10,6.947768e-11,1.858547e-09
half_lens,27,21.199022,21.199022,1.216654e-10,4.884649e-10,8.985255e-11,1.659482e-09
half_lens,28,21.984171,21.984171,1.510632e-10,6.382813e-10,5.871343e-11,1.925738e-09
half_lens,29,22.76932,22.76932,1.364294e-10,6.935597e-10,1.416798e-10,2.103475e-09
half_lens,30,23.554469,23.554469,1.440241e-10,6.308187e-10,1.721227e-10,1.807946e-09
half_lens,31,24.339618,24.339618,1.450788e-10,6.265207e-10,1.73428e-10,1.712544e-09
half_lens,32,25.124767,25.124767,1.013872e-10,4.940331e-10,1.173644e-10,1.212302e-09
half_lens,33,25.909916,25.909916,1.005535e-10,4.735185e-10,8.768686e-11,1.084065e-09
half_lens,34,26.695065,26.695065,7.800163e-11,3.815931e-10,7.909827e-11,8.767289e-10
half_lens,35,27.480214,27.480214,6.808494e-11,2.945245e-10,7.331315e-11,6.439711e-10
half_lens,36,28.265363,28.265363,5.635598e-11,2.772493e-10,9.676596e-11,6.024706e-10
