scenario,waypoint,distance_along_m,time_s,mean_raw_cross_correlation,mean_raw_difference_power,min_raw_difference_power,max_raw_difference_power
half_wolens,0,0.0,0.0,1.054843e-10,2.134915e-10,2.425409e-11,5.452023e-10
half_wolens,1,0.785149,0.785149,1.066379e-10,2.752514e-10,4.993806e-11,4.994608e-10
half_wolens,2,1.570298,1.570298,1.6484e-10,4.077399e-10,1.158483e-10,7.118842e-10
half_wolens,3,2.355447,2.355447,1.264331e-10,3.226249e-10,8.111983e-11,6.240886e-10
half_wolens,4,3.140596,3.140596,1.807405e-10,4.474981e-10,1.020968e-10,8.074929e-10
half_wolens,5,3.925745,3.925745,1.25771e-10,3.199751e-10,7.62189e-11,6.286835e-10
half_wolens,6,4.710894,4.710894,1.908343e-10,4.606458e-10,3.884689e-11,7.555164e-10
half_wolens,7,5.496043,5.496043,1.860697e-10,4.449559e-10,6.939578e-11,8.022052e-10
half_wolens,8,6.281192,6.281192,1.058159e-10,2.765311e-10,5.332519e-11,4.585965e-10
half_wolens,9,7.066341,7.066341,1.456377e-10,3.635307e-10,3.659281e-11,6.498396e-10
half_wolens,10,7.85149,7.85149,1.298398e-10,3.180456e-10,4.532248e-11,5.806825e-10
half_wolens,11,8.636639,8.636639,9.314934e-11,2.461796e-10,5.628135e-11,4.156338e-10
half_wolens,12,9.421788,9.421788,1.462294e-10,3.614771e-10,4.341182e-11,6.283634e-10
half_wolens,13,10.206937,10.206937,1.471081e-10,3.435146e-10,5.879357e-11,6.05709e-10
half_wolens,14,10.992086,10.992086,1.403239e-10,3.351916e-10,3.47301e-11,5.785646e-10
half_wolens,15,11.777235,11.777235,1.155123e-10,2.578778e-10,3.044881e-11,4.70344e-10
half_wolens,16,12.562384,12.562384,1.073819e-10,2.464071e-10,2.528013e-11,4.345029e-10
half_wolens,17,13.347533,13.347533,1.064184e-10,1.537583e-10,1.442085e-11,4.274112e-10
half_wolens,18,14.132682,14.132682,9.748847e-11,7.667346e-12,1.495972e-12,2.084999e-11
half_wolens,19,14.91783,14.91783,8.819899e-11,1.352497e-10,1.317085e-11,3.677137e-10
half_wolens,20,15.702979,15.702979,9.033552e-11,2.215421e-10,4.537228e-11,3.871743e-10
half_wolens,21,16.488128,16.488128,7.359332e-11,1.920731e-10,6.63892e-11,3.305371e-10
half_wolens,22,17.273277,17.273277,6.841848e-11,1.820015e-10,4.614024e-11,2.989498e-10
half_wolens,23,18.058426,18.058426,6.222761e-11,1.736823e-10,3.108644e-11,2.924283e-10
half_wolens,24,18.843575,18.843575,5.016606e-11,1.508631e-10,4.478741e-11,2.342752e-10
half_wolens,25,19.628724,19.628724,6.54132e-11,1.73661e-10,2.667917e-11,2.718546e-10
half_wolens,26,20.413873,20.413873,4.694305e-11,1.417647e-10,4.936373e-11,2.330053e-10
half_wolens,27,21.199022,21.199022,3.886692e-11,1.276241e-10,4.784031e-11,2.202659e-10
half_wolens,28,21.984171,21.984171,5.352323e-11,1.575701e-10,4.276744e-11,2.555724e-10
half_wolens,29,22.76932,22.76932,2.642747e-11,9.410196e-11,3.92152e-11,1.55578e-10
half_wolens,30,23.554469,23.554469,2.501296e-11,8.180602e-11,2.074133e-11,1.256274e-10
half_wolens,31,24.339618,24.339618,4.40273e-11,1.237983e-10,3.157934e-11,2.232722e-10
half_wolens,32,25.124767,25.124767,2.131063e-11,8.739099e-11,4.799161e-11,1.418676e-10
half_wolens,33,25.909916,25.909916,2.936177e-11,1.02646e-10,4.083566e-11,1.763593e-10
half_wolens,34,26.695065,26.695065,2.014752e-11,7.932216e-11,4.654581e-11,1.125438e-10
half_wolens,35,27.480214,27.480214,3.195956e-11,8.743646e-11,4.291851e-11,1.583815e-10
half_wolens,36,28.265363,28.265363,3.356081e-11,3.221966e-11,1.384149e-11,6.614917e-11
