scenario,waypoint,distance_along_m,time_s,mean_raw_cross_correlation,mean_raw_difference_power,min_raw_difference_power,max_raw_difference_power
linear_wolens,0,0.0,0.0,1.232019e-10,1.02946e-10,1.813057e-11,3.177505e-10
linear_wolens,1,0.95,0.95,1.132687e-10,2.911832e-10,4.797284e-11,5.521718e-10
linear_wolens,2,1.9,1.9,1.136107e-10,4.256831e-10,1.293486e-10,7.199231e-10
linear_wolens,3,2.85,2.85,1.305637e-10,4.42683e-10,1.756185e-10,7.28426e-10
linear_wolens,4,3.8,3.8,1.183789e-10,4.515788e-10,2.667461e-10,7.275201e-10
linear_wolens,5,4.75,4.75,9.441415e-11,3.285335e-10,1.544891e-10,4.817542e-10
linear_wolens,6,5.7,5.7,7.413481e-11,2.676757e-10,9.142291e-11,4.372501e-10
linear_wolens,7,6.65,6.65,4.731396e-11,1.874711e-10,7.171992e-11,2.76509e-10
linear_wolens,8,7.6,7.6,4.016507e-11,1.171536e-10,3.745231e-11,1.944968e-10
linear_wolens,9,8.55,8.55,1.490106e-11,7.121738e-11,3.487827e-11,1.056345e-10
linear_wolens,10,9.5,9.5,1.131535e-11,2.521147e-11,7.082091e-12,4.81133e-11
linear_wolens,11,10.45,10.45,1.250901e-11,5.181196e-11,2.063807e-11,8.501139e-11
linear_wolens,12,11.4,11.4,1.376984e-11,5.410902e-11,2.46461e-11,8.557096e-11
linear_wolens,13,12.35,12.35,2.275744e-11,8.352636e-11,4.60428e-11,1.185693e-10
linear_wolens,14,13.3,13.3,2.829009e-11,1.026115e-10,4.199178e-11,1.679301e-10
linear_wolens,15,14.25,14.25,3.906509e-11,1.256468e-10,3.736347e-11,1.84966e-10
linear_wolens,16,15.2,15.2,3.786298e-11,1.353342e-10,6.512541e-11,2.280755e-10
linear_wolens,17,16.15,16.15,3.860413e-11,1.399069e-10,5.29923e-11,2.103005e-10
linear_wolens,18,17.1,17.1,3.314966e-11,1.17315e-10,4.234955e-11,1.845205e-10
linear_wolens,19,18.05,18.05,2.7247e-11,5.615582e-11,2.890438e-11,1.028095e-10
linear_wolens,20,19.0,19.0,3.250931e-11,3.020812e-11,1.447774e-11,6.508852e-11
